acc,acc_labels,cell,cell_size,epoch,exp,f1,f1_labels,loss,lr,model,prec,prec_labels,prob,recall,recall_labels,train_mode
0.7842222222222223,"[0.7566666666666667, 0.7383333333333333, 0.9166666666666666, 0.5505555555555556, 0.9588888888888889]",1.0,28.0,1.0,0.0,0.14595698837245236,"[0.013513513513513487, 0.004228329809725146, 0.02597402597402584, 0.6860690725649974, 0.0]",0.47828284998734794,0.0001,vgg16,0.31996151996151995,"[0.49999999999999994, 0.33333333333333326, 0.1818181818181818, 0.5846560846560847, 0.0]",0.2,0.17060198739715654,"[0.00684931506849315, 0.002127659574468085, 0.013986013986013986, 0.8300469483568075, 0.0]",train
0.802015113350126,"[0.792191435768262, 0.7329974811083123, 0.9408060453400504, 0.5768261964735516, 0.9672544080604534]",1.0,28.0,1.0,0.0,0.1463258785942491,"[0.0, 0.0, 0.0, 0.7316293929712454, 0.0]",0.43300869315862656,0.0001,vgg16,0.11536523929471032,"[0.0, 0.0, 0.0, 0.5768261964735516, 0.0]",0.2,0.2,"[0.0, 0.0, 0.0, 1.0, 0.0]",valid
0.792,"[0.7566666666666667, 0.7388888888888889, 0.9205555555555556, 0.585, 0.9588888888888889]",1.0,28.0,2.0,0.0,0.14707757704569596,"[0.0, 0.0, 0.0, 0.7353878852284799, 0.0]",0.4540409098068873,0.0001,vgg16,0.11808873720136519,"[0.0, 0.0, 0.0, 0.590443686006826, 0.0]",0.2,0.19492957746478873,"[0.0, 0.0, 0.0, 0.9746478873239437, 0.0]",train
0.802015113350126,"[0.792191435768262, 0.7329974811083123, 0.9408060453400504, 0.5768261964735516, 0.9672544080604534]",1.0,28.0,2.0,0.0,0.1463258785942491,"[0.0, 0.0, 0.0, 0.7316293929712454, 0.0]",0.42974450811743736,0.0001,vgg16,0.11536523929471032,"[0.0, 0.0, 0.0, 0.5768261964735516, 0.0]",0.2,0.2,"[0.0, 0.0, 0.0, 1.0, 0.0]",valid
0.7934444444444445,"[0.7566666666666667, 0.7388888888888889, 0.9205555555555556, 0.5922222222222222, 0.9588888888888889]",1.0,28.0,3.0,0.0,0.1474964234620886,"[0.0, 0.0, 0.0, 0.737482117310443, 0.0]",0.4542194512155321,0.0001,vgg16,0.11912189485846332,"[0.0, 0.0, 0.0, 0.5956094742923166, 0.0]",0.2,0.19361502347417842,"[0.0, 0.0, 0.0, 0.968075117370892, 0.0]",train
0.802015113350126,"[0.792191435768262, 0.7329974811083123, 0.9408060453400504, 0.5768261964735516, 0.9672544080604534]",1.0,28.0,3.0,0.0,0.1463258785942491,"[0.0, 0.0, 0.0, 0.7316293929712454, 0.0]",0.43167659640312195,0.0001,vgg16,0.11536523929471032,"[0.0, 0.0, 0.0, 0.5768261964735516, 0.0]",0.2,0.2,"[0.0, 0.0, 0.0, 1.0, 0.0]",valid
0.7932222222222223,"[0.7566666666666667, 0.7388888888888889, 0.9205555555555556, 0.5911111111111111, 0.9588888888888889]",1.0,28.0,4.0,0.0,0.1475409836065573,"[0.0, 0.0, 0.0, 0.7377049180327865, 0.0]",0.45198801871803074,0.0001,vgg16,0.11889718552556003,"[0.0, 0.0, 0.0, 0.5944859276278002, 0.0]",0.2,0.1943661971830986,"[0.0, 0.0, 0.0, 0.971830985915493, 0.0]",train
0.802015113350126,"[0.792191435768262, 0.7329974811083123, 0.9408060453400504, 0.5768261964735516, 0.9672544080604534]",1.0,28.0,4.0,0.0,0.1463258785942491,"[0.0, 0.0, 0.0, 0.7316293929712454, 0.0]",0.43301885575056076,0.0001,vgg16,0.11536523929471032,"[0.0, 0.0, 0.0, 0.5768261964735516, 0.0]",0.2,0.2,"[0.0, 0.0, 0.0, 1.0, 0.0]",valid
0.7926666666666667,"[0.7561111111111111, 0.7388888888888889, 0.9205555555555556, 0.5888888888888889, 0.9588888888888889]",1.0,28.0,5.0,0.0,0.14423511680482282,"[0.0, 0.0, 0.0, 0.7211755840241141, 0.0]",0.452277304397689,0.0001,vgg16,0.12045311516677155,"[0.0, 0.0, 0.0, 0.6022655758338578, 0.0]",0.2,0.17971830985915493,"[0.0, 0.0, 0.0, 0.8985915492957747, 0.0]",train
0.802015113350126,"[0.792191435768262, 0.7329974811083123, 0.9408060453400504, 0.5768261964735516, 0.9672544080604534]",1.0,28.0,5.0,0.0,0.1463258785942491,"[0.0, 0.0, 0.0, 0.7316293929712454, 0.0]",0.4316781014204025,0.0001,vgg16,0.11536523929471032,"[0.0, 0.0, 0.0, 0.5768261964735516, 0.0]",0.2,0.2,"[0.0, 0.0, 0.0, 1.0, 0.0]",valid
