mask_use,aux,aux_batch,freeze_mode,lr,exp,cell,cell_size,prob,train_mode,epoch,acc,f1,loss,prec,recall
True,False,4,False,0.0001,0,True,14,0.2,train,0,0.6665213600697472,0.6961874503574266,0.6006342768669128,0.7292013311148087,0.666033434650456
True,False,4,False,0.0001,0,True,14,0.2,valid,0,0.6866666666666666,0.7459459459459459,0.6000579595565796,0.7095115681233933,0.7863247863247863
True,False,4,False,0.0001,0,True,14,0.2,train,1,0.6652136006974717,0.6930455635491607,0.6395375728607178,0.7310286677908938,0.6588145896656535
True,False,4,False,0.0001,0,True,14,0.2,valid,1,0.6833333333333333,0.7397260273972605,0.5810174345970154,0.712401055408971,0.7692307692307693
True,False,4,False,0.0001,0,True,14,0.2,train,2,0.6678291194420227,0.6951999999999999,0.6375413537025452,0.7339527027027027,0.6603343465045592
True,False,4,False,0.0001,0,True,14,0.2,valid,2,0.6766666666666666,0.7342465753424657,0.6114504933357239,0.7071240105540897,0.7635327635327636
True,False,4,False,0.0001,0,True,14,0.2,train,3,0.6678291194420227,0.695808383233533,0.6190376281738281,0.732968881412952,0.6622340425531915
True,False,4,False,0.0001,0,True,14,0.2,valid,3,0.7016666666666667,0.7584345479082321,0.6164757013320923,0.7205128205128205,0.8005698005698005
True,False,4,False,0.0001,0,True,14,0.2,train,4,0.6700087183958152,0.6994839221913458,0.6239461302757263,0.7323358270989194,0.6694528875379939
True,False,4,False,0.0001,0,True,14,0.2,valid,4,0.68,0.7412398921832883,0.6131122708320618,0.7033248081841432,0.7834757834757835
True,False,4,False,0.0001,0,True,14,0.2,train,5,0.6717523975588492,0.7016640253565769,0.6004462242126465,0.7330298013245033,0.6728723404255319
True,False,4,False,0.0001,0,True,14,0.2,valid,5,0.6916666666666667,0.749661705006766,0.5658679604530334,0.7139175257731959,0.7891737891737892
True,False,4,False,0.0001,0,True,14,0.2,train,6,0.6678291194420227,0.6982178217821783,0.6317108273506165,0.729114971050455,0.6698328267477204
True,False,4,False,0.0001,0,True,14,0.2,valid,6,0.6766666666666666,0.7371273712737126,0.5598013401031494,0.7028423772609819,0.7749287749287749
True,False,4,False,0.0001,0,True,14,0.2,train,7,0.6697907585004359,0.7006520450503853,0.6500284671783447,0.7299300123507616,0.6736322188449848
True,False,4,False,0.0001,0,True,14,0.2,valid,7,0.69,0.7486486486486487,0.6054545640945435,0.712082262210797,0.7891737891737892
True,False,4,False,0.0001,0,True,14,0.2,train,8,0.6769834350479512,0.7079227433977139,0.5915663838386536,0.7354627354627354,0.682370820668693
True,False,4,False,0.0001,0,True,14,0.2,valid,8,0.6833333333333333,0.745308310991957,0.6362820267677307,0.7037974683544304,0.792022792022792
True,False,4,False,0.0001,0,True,14,0.2,train,9,0.6761115954664342,0.707018927444795,0.6143472194671631,0.7348360655737705,0.6812310030395137
True,False,4,False,0.0001,0,True,14,0.2,valid,9,0.69,0.7499999999999999,0.6245487332344055,0.7099236641221374,0.7948717948717948
True,False,4,False,0.0001,0,True,14,0.2,train,10,0.6728421970357454,0.7035354532885641,0.6243540048599243,0.732620320855615,0.6766717325227963
True,False,4,False,0.0001,0,True,14,0.2,valid,10,0.695,0.7550200803212852,0.6275482177734375,0.7121212121212122,0.8034188034188035
True,False,4,False,0.0001,0,True,14,0.2,train,11,0.6743679163034002,0.7067137809187278,0.5763993859291077,0.7311129163281884,0.6838905775075987
True,False,4,False,0.0001,0,True,14,0.2,valid,11,0.7066666666666667,0.7659574468085107,0.5930176377296448,0.7182044887780549,0.8205128205128205
