acc,acc_labels,bce1_loss,bce2_loss,epoch,exp,f1,f1_labels,jaccard,loss,lr,prec,prec_labels,recall,recall_labels,train_mode,train_type
0.8077000000000002,"[0.745, 0.7275, 0.882, 0.7385, 0.9455]",0.029537348817102613,0.49623923510313034,0.0,1.0,0.26120960538335825,"[0.3749999999999995, 0.031971580817051364, 0.11278195488721755, 0.7682764731945053, 0.018018018018017567]",0.0,0.5257765839993954,0.0001,0.3194510722624439,"[0.4526627218934911, 0.20454545454545456, 0.11904761904761904, 0.7946837763519706, 0.02631578947368421]",0.24036679255047094,"[0.3200836820083682, 0.017341040462427744, 0.10714285714285714, 0.7435677530017153, 0.0136986301369863]",train,ynet
0.8340067340067339,"[0.8131313131313131, 0.7255892255892256, 0.9158249158249159, 0.7609427609427609, 0.9545454545454546]",0.03427623387736579,0.42070402354002,0.0,1.0,0.24868682768418893,"[0.43076923076923035, 0.0, 0.0, 0.8126649076517144, 0.0]",0.0,0.4549802586436272,0.0001,0.27361596009975064,"[0.6, 0.0, 0.0, 0.7680798004987531, 0.0]",0.23974901960784317,"[0.336, 0.0, 0.0, 0.8627450980392157, 0.0]",valid,ynet
0.8375,"[0.8015, 0.7405, 0.93, 0.752, 0.9635]",0.02990087673533708,0.4477414356544614,1.0,1.0,0.2500820212242244,"[0.46278755074424854, 0.003838771593090203, 0.0, 0.7837837837837833, 0.0]",0.0,0.4295080402493477,0.0001,0.390431645879188,"[0.6551724137931034, 0.4999999999999998, 0.0, 0.7969858156028369, 0.0]",0.22613587498174503,"[0.3577405857740586, 0.0019267822736030828, 0.0, 0.7710120068610634, 0.0]",train,ynet
0.835016835016835,"[0.8131313131313131, 0.7306397306397306, 0.9158249158249159, 0.7609427609427609, 0.9545454545454546]",0.03375102644010137,0.40262023160854976,1.0,1.0,0.2610784292620151,"[0.4637681159420285, 0.036144578313252976, 0.0, 0.805479452054794, 0.0]",0.0,0.41776225765546166,0.0001,0.47471392140194857,"[0.5853658536585366, 0.9999999999999997, 0.0, 0.7882037533512064, 0.0]",0.24518686394803318,"[0.384, 0.018404907975460124, 0.0, 0.8235294117647058, 0.0]",valid,ynet
0.8366,"[0.7985, 0.7375, 0.93, 0.7535, 0.9635]",0.03003229066108664,0.4268547522028287,2.0,1.0,0.25242128224745713,"[0.46194926568758293, 0.007561436672967826, 0.0, 0.7925957088767349, 0.0]",0.0,0.4153765033185482,0.0001,0.32324918261569074,"[0.6383763837638377, 0.19999999999999996, 0.0, 0.7778695293146161, 0.0]",0.23473369474484745,"[0.3619246861924686, 0.0038535645472061657, 0.0, 0.8078902229845626, 0.0]",train,ynet
0.837037037037037,"[0.8249158249158249, 0.7138047138047138, 0.9158249158249159, 0.7760942760942761, 0.9545454545454546]",0.03340429914597836,0.39525300131903757,2.0,1.0,0.25852036577969895,"[0.46391752577319534, 0.011627906976744087, 0.0, 0.8170563961485552, 0.0]",0.0,0.413229384024938,0.0001,0.3131975453714584,"[0.6521739130434783, 0.11111111111111109, 0.0, 0.8027027027027027, 0.0]",0.2396135484868794,"[0.36, 0.006134969325153374, 0.0, 0.8319327731092437, 0.0]",valid,ynet
0.8408,"[0.807, 0.7425, 0.9305, 0.7605, 0.9635]",0.03000935927964747,0.41281308015808466,3.0,1.0,0.2646041449831369,"[0.47554347826086907, 0.0373831775700934, 0.014184397163120551, 0.7959096719216016, 0.0]",0.0,0.4006286281347275,0.0001,0.6188299562189444,"[0.6782945736434108, 0.625, 0.9999999999999989, 0.7908552074513124, 0.0]",0.23870972520189843,"[0.36610878661087864, 0.019267822736030827, 0.007142857142857143, 0.8010291595197255, 0.0]",train,ynet
0.8383838383838385,"[0.8114478114478114, 0.7255892255892256, 0.9175084175084175, 0.7828282828282829, 0.9545454545454546]",0.03344723445285733,0.3900119347497821,3.0,1.0,0.23143637885590537,"[0.27272727272727243, 0.012121212121212099, 0.03921568627450976, 0.8331177231565325, 0.0]",0.0,0.4078647774954637,0.0001,0.5996352785145886,"[0.7241379310344828, 0.4999999999999998, 0.9999999999999989, 0.7740384615384616, 0.0]",0.21921915072777579,"[0.168, 0.006134969325153374, 0.02, 0.9019607843137255, 0.0]",valid,ynet
0.8436,"[0.8185, 0.741, 0.9305, 0.7645, 0.9635]",0.030071228759363293,0.4038531620800495,4.0,1.0,0.2819675488546213,"[0.5229960578186591, 0.044280442804427965, 0.04137931034482752, 0.8011819333051915, 0.0]",0.0,0.39833219729363917,0.0001,0.5227561045662588,"[0.7031802120141343, 0.5217391304347826, 0.5999999999999999, 0.7888611803823774, 0.0]",0.2549523207719805,"[0.41631799163179917, 0.023121387283236993, 0.02142857142857143, 0.8138936535162951, 0.0]",train,ynet
0.8397306397306398,"[0.8148148148148148, 0.7239057239057239, 0.9158249158249159, 0.7895622895622896, 0.9545454545454546]",0.03340466307786604,0.3858759553730488,4.0,1.0,0.29605243854030017,"[0.4711538461538457, 0.012048192771084302, 0.16666666666666638, 0.8303934871099045, 0.0]",0.0,0.4025664155681928,0.0001,0.44579158740224056,"[0.5903614457831325, 0.33333333333333326, 0.4999999999999999, 0.8052631578947368, 0.0]",0.2710555652936021,"[0.392, 0.006134969325153374, 0.1, 0.8571428571428571, 0.0]",valid,ynet
