mask_use,freeze_mode,lr,exp,train_mode,epoch,loss,prec,recall,acc,f1
False,False,0.01,0,train,0,0.7728195190429688,0.6513761467889908,0.7013677811550152,0.6133391455972101,0.6754482253933407
False,False,0.01,0,valid,0,0.6433835625648499,0.6750629722921915,0.7635327635327636,0.6466666666666666,0.716577540106952
False,False,0.01,0,train,1,0.6021620631217957,0.7055518836748182,0.8111702127659575,0.6974716652136007,0.7546836337928596
False,False,0.01,0,valid,1,0.6469815969467163,0.6851851851851852,0.6324786324786325,0.615,0.6577777777777778
False,False,0.01,0,train,2,0.7235816717147827,0.7142348754448399,0.7625379939209727,0.6887532693984307,0.7375964718853363
False,False,0.01,0,valid,2,0.6837121844291687,0.6333333333333333,0.9202279202279202,0.6416666666666667,0.7502903600464577
False,False,0.01,0,train,3,0.681420087814331,0.71712158808933,0.7686170212765957,0.6933304272013949,0.7419768934531451
False,False,0.01,0,valid,3,0.6729558110237122,0.6666666666666666,0.8603988603988604,0.6666666666666666,0.7512437810945273
False,False,0.01,0,train,4,0.502248227596283,0.7314403010605542,0.8123100303951368,0.7212292938099389,0.7697569756975697
False,False,0.01,0,valid,4,0.7284967303276062,0.6928746928746928,0.8034188034188035,0.6766666666666666,0.7440633245382586
False,False,0.01,0,train,5,0.5514024496078491,0.7438474870017331,0.8153495440729484,0.7329991281604185,0.7779590357078122
False,False,0.01,0,valid,5,0.7393256425857544,0.7389937106918238,0.6695156695156695,0.6683333333333333,0.70254110612855
False,False,0.01,0,train,6,0.5411952137947083,0.7329023477373257,0.8183890577507599,0.724716652136007,0.7732902530963921
False,False,0.01,0,valid,6,0.727076530456543,0.7396449704142012,0.7122507122507122,0.685,0.7256894049346879
False,False,0.01,0,train,7,0.5793942809104919,0.7373630258041711,0.7925531914893617,0.7190496948561464,0.7639626442043582
False,False,0.01,0,valid,7,0.6513698697090149,0.6964285714285714,0.7777777777777778,0.6716666666666666,0.7348586810228801
False,False,0.01,0,train,8,0.6657291054725647,0.7430968192939532,0.8077507598784195,0.7295117698343505,0.774076096850537
False,False,0.01,0,valid,8,0.6697268486022949,0.7075471698113207,0.6410256410256411,0.635,0.6726457399103138
False,False,0.01,0,train,9,0.5411748290061951,0.7527193618564177,0.7887537993920972,0.7301656495204882,0.7703153988868275
False,False,0.01,0,valid,9,0.8470050096511841,0.7389937106918238,0.6695156695156695,0.6683333333333333,0.70254110612855
False,False,0.01,0,train,10,0.48015403747558594,0.7568045245669848,0.8134498480243161,0.743025283347864,0.7841054751876946
False,False,0.01,0,valid,10,0.6317323446273804,0.6634844868735084,0.792022792022792,0.6433333333333333,0.722077922077922
False,False,0.01,0,train,11,0.5513755083084106,0.7662200282087447,0.8256079027355623,0.7554489973844812,0.7948061448427213
False,False,0.01,0,valid,11,0.6764956712722778,0.7146814404432132,0.7350427350427351,0.6733333333333333,0.7247191011235956
False,False,0.01,0,train,12,0.582850456237793,0.7645400070497004,0.8240881458966566,0.7534873583260681,0.7931980252331322
False,False,0.01,0,valid,12,0.7265368700027466,0.7379310344827587,0.6096866096866097,0.645,0.6677067082683307
False,False,0.01,0,train,13,0.43634355068206787,0.7701067615658364,0.8221884498480243,0.7571926765475152,0.7952958471150313
False,False,0.01,0,valid,13,0.6486487984657288,0.7078651685393258,0.717948717948718,0.6616666666666666,0.7128712871287128
False,False,0.01,0,train,14,0.5792972445487976,0.7925281102647805,0.8301671732522796,0.777898866608544,0.8109111152347374
False,False,0.01,0,valid,14,0.66227126121521,0.6952141057934509,0.7863247863247863,0.6733333333333333,0.7379679144385027
False,False,0.01,0,train,15,0.48035740852355957,0.7742523705324581,0.8066109422492401,0.7541412380122058,0.7901004838109416
False,False,0.01,0,valid,15,0.7665368914604187,0.7009063444108762,0.6609686609686609,0.6366666666666667,0.6803519061583577
False,False,0.01,0,train,16,0.47684311866760254,0.7750803284541236,0.8248480243161094,0.762205754141238,0.7991901343640715
False,False,0.01,0,valid,16,0.7918287515640259,0.6462585034013606,0.5413105413105413,0.5583333333333333,0.5891472868217054
False,False,0.01,0,train,17,0.5903545022010803,0.7863619876677548,0.8237082066869301,0.7704882301656495,0.8046019669697532
False,False,0.01,0,valid,17,0.7808221578598022,0.7229916897506925,0.7435897435897436,0.6833333333333333,0.7331460674157304
False,False,0.01,0,train,18,0.43203988671302795,0.7835901110713006,0.8309270516717325,0.7713600697471665,0.8065646321224414
False,False,0.01,0,valid,18,0.8853171467781067,0.6503856041131105,0.7207977207977208,0.61,0.6837837837837837
False,False,0.01,0,train,19,0.5002168416976929,0.7790948275862069,0.8240881458966566,0.7650392327811683,0.80096011816839
False,False,0.01,0,valid,19,0.813652753829956,0.6975308641975309,0.6438746438746439,0.6283333333333333,0.6696296296296297
False,False,0.01,0,train,20,0.5162830352783203,0.7900318133616119,0.8491641337386018,0.7840017436791631,0.8185314045046694
False,False,0.01,0,valid,20,0.7859768867492676,0.7245283018867924,0.5470085470085471,0.6133333333333333,0.6233766233766234
False,False,0.01,0,train,21,0.4044797122478485,0.7993527508090615,0.8446048632218845,0.789232781168265,0.8213559948272677
False,False,0.01,0,valid,21,0.8221321702003479,0.6794520547945205,0.7065527065527065,0.6333333333333333,0.6927374301675978
False,False,0.01,0,train,22,0.3529852330684662,0.8178239083750894,0.868161094224924,0.8134263295553618,0.8422410615554736
False,False,0.01,0,valid,22,0.7307879328727722,0.6917293233082706,0.7863247863247863,0.67,0.736
False,False,0.01,0,train,23,0.4106449484825134,0.8149620527647271,0.8567629179331308,0.8062336530078466,0.8353398777551398
