acc,acc_labels,cell,cell_size,epoch,exp,f1,f1_labels,freeze_mode,loss,lr,mask_use,model,prec,prec_labels,prob,recall,recall_labels,train_mode
0.7513684210526316,"[0.6947368421052632, 0.6736842105263158, 0.9026315789473685, 0.5347368421052632, 0.9510526315789474]",1.0,14.0,0.0,0.0,0.22049750298640602,"[0.16184971098265852, 0.22885572139303437, 0.06091370558375597, 0.6298157453936343, 0.021052631578947063]",0.0,0.586017051848926,0.0001,1.0,vgg16,0.2641603203822551,"[0.23931623931623933, 0.30363036303630364, 0.125, 0.5972994440031771, 0.05555555555555555]",0.2,0.2050470239713657,"[0.1222707423580786, 0.18363273453093812, 0.040268456375838924, 0.6660761736049602, 0.012987012987012988]",train
0.7694524495677233,"[0.7881844380403458, 0.739193083573487, 0.9236311239193083, 0.4322766570605187, 0.9639769452449568]",1.0,14.0,0.0,0.0,0.04004404499106474,"[0.026490066225165487, 0.0, 0.15873015873015825, 0.01499999999999997, 0.0]",0.0,0.5406389585930667,0.0001,1.0,vgg16,0.2121212121212121,"[0.33333333333333326, 0.0, 0.22727272727272727, 0.49999999999999994, 0.0]",0.2,0.028671707231688104,"[0.013793103448275862, 0.0, 0.12195121951219512, 0.007614213197969543, 0.0]",valid
0.757578947368421,"[0.7021052631578948, 0.6773684210526316, 0.9047368421052632, 0.5536842105263158, 0.95]",1.0,14.0,1.0,0.0,0.21815129084844434,"[0.1725146198830405, 0.1859229747675958, 0.042328042328042, 0.6495867768595035, 0.04040404040404006]",0.0,0.557145056677492,0.0001,1.0,vgg16,0.2677158359296785,"[0.2610619469026549, 0.2777777777777778, 0.1, 0.6088303640588691, 0.09090909090909091]",0.2,0.20351050057816739,"[0.12882096069868995, 0.13972055888223553, 0.026845637583892617, 0.6961913197519929, 0.025974025974025976]",train
0.7726224783861672,"[0.7910662824207493, 0.7247838616714697, 0.9380403458213257, 0.4452449567723343, 0.9639769452449568]",1.0,14.0,1.0,0.0,0.03021110169786571,"[0.0, 0.04020100502512546, 0.0, 0.11085450346420309, 0.0]",0.0,0.5228751351078638,0.0001,1.0,vgg16,0.16752136752136754,"[0.0, 0.2222222222222222, 0.0, 0.6153846153846154, 0.0]",0.2,0.0166026306195137,"[0.0, 0.022099447513812154, 0.0, 0.06091370558375635, 0.0]",valid
0.761578947368421,"[0.7157894736842105, 0.6747368421052632, 0.9110526315789473, 0.5578947368421052, 0.9484210526315789]",1.0,14.0,2.0,0.0,0.2177280190323704,"[0.17431192660550415, 0.1759999999999996, 0.06629834254143617, 0.6520298260149126, 0.019999999999999647]",0.0,0.5370305015852577,0.0001,1.0,vgg16,0.27986123804634744,"[0.29081632653061223, 0.26506024096385544, 0.1875, 0.6124513618677043, 0.043478260869565216]",0.2,0.20130464082502558,"[0.12445414847161572, 0.1317365269461078, 0.040268456375838924, 0.6970770593445527, 0.012987012987012988]",train
0.8002881844380404,"[0.7910662824207493, 0.7363112391930836, 0.9409221902017291, 0.5677233429394812, 0.9654178674351584]",1.0,14.0,2.0,0.0,0.14485294117647046,"[0.0, 0.0, 0.0, 0.7242647058823524, 0.0]",0.0,0.466645965044447,0.0001,1.0,vgg16,0.11354466858789625,"[0.0, 0.0, 0.0, 0.5677233429394812, 0.0]",0.2,0.2,"[0.0, 0.0, 0.0, 1.0, 0.0]",valid
0.7654736842105263,"[0.7142105263157895, 0.6831578947368421, 0.9057894736842105, 0.57, 0.9542105263157895]",1.0,14.0,3.0,0.0,0.20953427327981516,"[0.13397129186602832, 0.15449438202247148, 0.032432432432432115, 0.6622571310458861, 0.06451612903225777]",0.0,0.5296043163851688,0.0001,1.0,vgg16,0.28018955661192985,"[0.2485207100591716, 0.26066350710900477, 0.08333333333333333, 0.6209302325581395, 0.1875]",0.2,0.19401123533593273,"[0.09170305676855896, 0.10978043912175649, 0.020134228187919462, 0.7094774136403897, 0.03896103896103896]",train
0.7971181556195964,"[0.7723342939481268, 0.739193083573487, 0.9409221902017291, 0.5677233429394812, 0.9654178674351584]",1.0,14.0,3.0,0.0,0.1731138107416878,"[0.1413043478260866, 0.0, 0.0, 0.7242647058823524, 0.0]",0.0,0.4782967768984733,0.0001,1.0,vgg16,0.1802113352545629,"[0.3333333333333333, 0.0, 0.0, 0.5677233429394812, 0.0]",0.2,0.2179310344827586,"[0.0896551724137931, 0.0, 0.0, 1.0, 0.0]",valid
0.7596842105263159,"[0.7189473684210527, 0.6721052631578948, 0.91, 0.541578947368421, 0.9557894736842105]",1.0,14.0,4.0,0.0,0.21079307658458277,"[0.18098159509202413, 0.15924426450742193, 0.04469273743016732, 0.6457909719398124, 0.023255813953488184]",0.0,0.528582712811859,0.0001,1.0,vgg16,0.2782787940641983,"[0.30412371134020616, 0.24583333333333332, 0.13333333333333333, 0.5969924812030075, 0.11111111111111109]",0.2,0.1979390637639902,"[0.12882096069868995, 0.11776447105788423, 0.026845637583892617, 0.7032772364924712, 0.012987012987012988]",train
0.7734870317002882,"[0.7910662824207493, 0.739193083573487, 0.9409221902017291, 0.43515850144092216, 0.9610951008645533]",1.0,14.0,4.0,0.0,0.01876822782638524,"[0.0, 0.0, 0.0, 0.024875621890547223, 0.06896551724137898]",0.0,0.5009228312711922,0.0001,1.0,vgg16,0.1583333333333333,"[0.0, 0.0, 0.0, 0.6249999999999999, 0.16666666666666663]",0.2,0.01123372323990289,"[0.0, 0.0, 0.0, 0.012690355329949238, 0.043478260869565216]",valid
0.7654736842105263,"[0.7210526315789474, 0.6821052631578948, 0.9121052631578948, 0.5578947368421052, 0.9542105263157895]",1.0,14.0,5.0,0.0,0.19763782365060878,"[0.13114754098360618, 0.1703296703296699, 0.03468208092485525, 0.6520298260149126, 0.0]",0.0,0.5230261211332522,0.0001,1.0,vgg16,0.25474740198170226,"[0.2631578947368421, 0.27312775330396477, 0.125, 0.6124513618677043, 0.0]",0.2,0.18566000541678737,"[0.08733624454148471, 0.12375249500998003, 0.020134228187919462, 0.6970770593445527, 0.0]",train
0.8005763688760806,"[0.7867435158501441, 0.739193083573487, 0.9409221902017291, 0.5706051873198847, 0.9654178674351584]",1.0,14.0,5.0,0.0,0.14696573208722732,"[0.013333333333333268, 0.0, 0.0, 0.7214953271028033, 0.0]",0.0,0.44149478305157996,0.0001,1.0,vgg16,0.15420118343195266,"[0.19999999999999996, 0.0, 0.0, 0.5710059171597633, 0.0]",0.2,0.19731839663924383,"[0.006896551724137931, 0.0, 0.0, 0.9796954314720813, 0.0]",valid
0.7662105263157895,"[0.7115789473684211, 0.6842105263157895, 0.9147368421052632, 0.5652631578947368, 0.9552631578947368]",1.0,14.0,6.0,0.0,0.1825957808189162,"[0.10749185667752405, 0.13043478260869526, 0.012195121951219346, 0.6628571428571423, 0.0]",0.0,0.5210620099776669,0.0001,1.0,vgg16,0.22619724207157965,"[0.21153846153846154, 0.23809523809523808, 0.06666666666666665, 0.6146858440575321, 0.0]",0.2,0.1775609439165365,"[0.07205240174672489, 0.08982035928143713, 0.006711409395973154, 0.7192205491585474, 0.0]",train
0.7965417867435158,"[0.7910662824207493, 0.739193083573487, 0.9409221902017291, 0.5446685878962536, 0.9668587896253602]",1.0,14.0,6.0,0.0,0.08467153284671525,"[0.0, 0.0, 0.0, 0.42335766423357624, 0.0]",0.0,0.45187481616040787,0.0001,1.0,vgg16,0.15064935064935064,"[0.0, 0.0, 0.0, 0.7532467532467533, 0.0]",0.2,0.05888324873096447,"[0.0, 0.0, 0.0, 0.29441624365482233, 0.0]",valid
0.769157894736842,"[0.7368421052631579, 0.6968421052631579, 0.9110526315789473, 0.5452631578947369, 0.9557894736842105]",1.0,14.0,7.0,0.0,0.200476272546607,"[0.17491749174917456, 0.16034985422740486, 0.0, 0.6438582028029673, 0.023255813953488184]",0.0,0.5076582665114027,0.0001,1.0,vgg16,0.27373506891625626,"[0.3581081081081081, 0.2972972972972973, 0.0, 0.6021588280647648, 0.11111111111111109]",0.2,0.18605011958308615,"[0.11572052401746726, 0.10978043912175649, 0.0, 0.691762621789194, 0.012987012987012988]",train
0.8080691642651298,"[0.7910662824207493, 0.739193083573487, 0.9409221902017291, 0.6023054755043228, 0.9668587896253602]",1.0,14.0,7.0,0.0,0.14237995824634644,"[0.0, 0.0, 0.0, 0.7118997912317322, 0.0]",0.0,0.4463769411869186,0.0001,1.0,vgg16,0.12092198581560283,"[0.0, 0.0, 0.0, 0.6046099290780141, 0.0]",0.2,0.1730964467005076,"[0.0, 0.0, 0.0, 0.8654822335025381, 0.0]",valid
0.7707368421052632,"[0.7231578947368421, 0.6936842105263158, 0.9168421052631579, 0.5631578947368421, 0.9568421052631579]",1.0,14.0,8.0,0.0,0.20295161241011822,"[0.13201320132013164, 0.1364985163204744, 0.03658536585365837, 0.6631493506493501, 0.046511627906976556]",0.0,0.5133160841308142,0.0001,1.0,vgg16,0.3140746929952619,"[0.2702702702702703, 0.2658959537572254, 0.19999999999999998, 0.6119850187265917, 0.22222222222222218]",0.2,0.1897820226180491,"[0.08733624454148471, 0.09181636726546906, 0.020134228187919462, 0.7236492471213464, 0.025974025974025976]",train
0.8034582132564841,"[0.7910662824207493, 0.739193083573487, 0.9409221902017291, 0.5806916426512968, 0.9654178674351584]",1.0,14.0,8.0,0.0,0.10717703349282286,"[0.0, 0.0, 0.0, 0.5358851674641143, 0.0]",0.0,0.4448561018748249,0.0001,1.0,vgg16,0.14420600858369098,"[0.0, 0.0, 0.0, 0.721030042918455, 0.0]",0.2,0.08527918781725888,"[0.0, 0.0, 0.0, 0.4263959390862944, 0.0]",valid
0.7688421052631579,"[0.7236842105263158, 0.6973684210526315, 0.9136842105263158, 0.5573684210526316, 0.9521052631578948]",1.0,14.0,9.0,0.0,0.18747066679465468,"[0.10865874363327636, 0.17266187050359671, 0.0, 0.6560327198364003, 0.0]",0.0,0.5121056569642142,0.0001,1.0,vgg16,0.23259513041539703,"[0.24427480916030533, 0.30927835051546393, 0.0, 0.6094224924012158, 0.0]",0.2,0.1799985255816107,"[0.06986899563318777, 0.11976047904191617, 0.0, 0.7103631532329495, 0.0]",train
0.805763688760807,"[0.7910662824207493, 0.7377521613832853, 0.9394812680115274, 0.5994236311239193, 0.9610951008645533]",1.0,14.0,9.0,0.0,0.13333333333333325,"[0.0, 0.0, 0.0, 0.6666666666666662, 0.0]",0.0,0.46144926955374027,0.0001,1.0,vgg16,0.12636363636363637,"[0.0, 0.0, 0.0, 0.6318181818181818, 0.0]",0.2,0.14111675126903553,"[0.0, 0.0, 0.0, 0.7055837563451777, 0.0]",valid
0.7685263157894738,"[0.7194736842105263, 0.68, 0.9184210526315789, 0.5678947368421052, 0.9568421052631579]",1.0,14.0,10.0,0.0,0.18909157692961095,"[0.10420168067226857, 0.126436781609195, 0.025157232704402396, 0.6658526658526652, 0.02380952380952366]",0.0,0.5074419743528492,0.0001,1.0,vgg16,0.2821478792365258,"[0.22627737226277372, 0.22564102564102564, 0.19999999999999996, 0.6159638554216867, 0.14285714285714285]",0.2,0.18129095186198427,"[0.06768558951965066, 0.08782435129740519, 0.013422818791946308, 0.7245349867139061, 0.012987012987012988]",train
0.8008645533141211,"[0.7910662824207493, 0.739193083573487, 0.9394812680115274, 0.5677233429394812, 0.9668587896253602]",1.0,14.0,10.0,0.0,0.14485294117647046,"[0.0, 0.0, 0.0, 0.7242647058823524, 0.0]",0.0,0.4602150964222366,0.0001,1.0,vgg16,0.11354466858789625,"[0.0, 0.0, 0.0, 0.5677233429394812, 0.0]",0.2,0.2,"[0.0, 0.0, 0.0, 1.0, 0.0]",valid
0.7728421052631579,"[0.7342105263157894, 0.6968421052631579, 0.9173684210526316, 0.5615789473684211, 0.9542105263157895]",1.0,14.0,11.0,0.0,0.19007556414389248,"[0.1367521367521364, 0.12990936555891203, 0.0, 0.6612444082960547, 0.022471910112359317]",0.0,0.49777797633095794,0.0001,1.0,vgg16,0.25533058081698595,"[0.31496062992125984, 0.2670807453416149, 0.0, 0.6112781954887218, 0.08333333333333331]",0.2,0.18125157791859564,"[0.08733624454148471, 0.08582834331337326, 0.0, 0.7201062887511072, 0.012987012987012988]",train
0.8008645533141211,"[0.7910662824207493, 0.739193083573487, 0.9394812680115274, 0.5677233429394812, 0.9668587896253602]",1.0,14.0,11.0,0.0,0.14485294117647046,"[0.0, 0.0, 0.0, 0.7242647058823524, 0.0]",0.0,0.43383366577059246,0.0001,1.0,vgg16,0.11354466858789625,"[0.0, 0.0, 0.0, 0.5677233429394812, 0.0]",0.2,0.2,"[0.0, 0.0, 0.0, 1.0, 0.0]",valid
0.7738947368421053,"[0.7257894736842105, 0.6994736842105264, 0.9157894736842105, 0.5705263157894737, 0.9578947368421052]",1.0,14.0,12.0,0.0,0.18973225133821328,"[0.14729950900163627, 0.12018489984591645, 0.012345679012345531, 0.6688311688311682, 0.0]",0.0,0.4993966793151278,0.0001,1.0,vgg16,0.2503565403829779,"[0.29411764705882354, 0.2635135135135135, 0.07692307692307691, 0.6172284644194757, 0.0]",0.2,0.18253168403033077,"[0.0982532751091703, 0.07784431137724551, 0.006711409395973154, 0.7298494242692648, 0.0]",train
0.8023054755043229,"[0.792507204610951, 0.739193083573487, 0.9394812680115274, 0.5734870317002881, 0.9668587896253602]",1.0,14.0,12.0,0.0,0.1530834879406307,"[0.03999999999999993, 0.0, 0.0, 0.7254174397031535, 0.0]",0.0,0.4518527742341268,0.0001,1.0,vgg16,0.23432748538011694,"[0.5999999999999999, 0.0, 0.0, 0.5716374269005848, 0.0]",0.2,0.20261508839488887,"[0.020689655172413793, 0.0, 0.0, 0.9923857868020305, 0.0]",valid
0.7768421052631579,"[0.7321052631578947, 0.6978947368421052, 0.9163157894736842, 0.5826315789473684, 0.9552631578947368]",1.0,14.0,13.0,0.0,0.18688141929109295,"[0.14165261382799293, 0.11419753086419716, 0.0, 0.6785569517632747, 0.0]",0.0,0.49373950162216235,0.0001,1.0,vgg16,0.2376744658999624,"[0.3111111111111111, 0.25170068027210885, 0.0, 0.625560538116592, 0.0]",0.2,0.18138387823005653,"[0.09170305676855896, 0.07385229540918163, 0.0, 0.7413640389725421, 0.0]",train
0.8008645533141211,"[0.7910662824207493, 0.739193083573487, 0.9394812680115274, 0.5677233429394812, 0.9668587896253602]",1.0,14.0,13.0,0.0,0.14485294117647046,"[0.0, 0.0, 0.0, 0.7242647058823524, 0.0]",0.0,0.4315142538264501,0.0001,1.0,vgg16,0.11354466858789625,"[0.0, 0.0, 0.0, 0.5677233429394812, 0.0]",0.2,0.2,"[0.0, 0.0, 0.0, 1.0, 0.0]",valid
0.7728421052631578,"[0.7310526315789474, 0.6947368421052632, 0.9168421052631579, 0.5657894736842105, 0.9557894736842105]",1.0,14.0,14.0,0.0,0.18199513812935825,"[0.1174438687392052, 0.12912912912912877, 0.0, 0.6634026927784572, 0.0]",0.0,0.49307912172455537,0.0001,1.0,vgg16,0.2313150206507379,"[0.2809917355371901, 0.2606060606060606, 0.0, 0.6149773071104387, 0.0]",0.2,0.1760340879849485,"[0.07423580786026202, 0.08582834331337326, 0.0, 0.7201062887511072, 0.0]",train
0.8011527377521613,"[0.7910662824207493, 0.739193083573487, 0.9394812680115274, 0.569164265129683, 0.9668587896253602]",1.0,14.0,14.0,0.0,0.14498620055197783,"[0.0, 0.0, 0.0, 0.7249310027598892, 0.0]",0.0,0.44936480046176225,0.0001,1.0,vgg16,0.11370851370851372,"[0.0, 0.0, 0.0, 0.5685425685425686, 0.0]",0.2,0.2,"[0.0, 0.0, 0.0, 1.0, 0.0]",valid
0.7745263157894737,"[0.72, 0.6989473684210527, 0.9205263157894736, 0.5757894736842105, 0.9573684210526315]",1.0,14.0,15.0,0.0,0.19239074764649097,"[0.14193548387096735, 0.11999999999999965, 0.025806451612903153, 0.6742118027485847, 0.0]",0.0,0.49905425270921305,0.0001,1.0,vgg16,0.2973515174980541,"[0.2716049382716049, 0.26174496644295303, 0.33333333333333326, 0.6200743494423792, 0.0]",0.2,0.18520876387193755,"[0.09606986899563319, 0.07784431137724551, 0.013422818791946308, 0.7387068201948627, 0.0]",train
0.8014409221902017,"[0.7910662824207493, 0.739193083573487, 0.9394812680115274, 0.5706051873198847, 0.9668587896253602]",1.0,14.0,15.0,0.0,0.14501845018450177,"[0.0, 0.0, 0.0, 0.7250922509225088, 0.0]",0.0,0.4537834696632495,0.0001,1.0,vgg16,0.11391304347826088,"[0.0, 0.0, 0.0, 0.5695652173913044, 0.0]",0.2,0.19949238578680203,"[0.0, 0.0, 0.0, 0.9974619289340102, 0.0]",valid
0.7736842105263159,"[0.73, 0.7057894736842105, 0.9189473684210526, 0.5563157894736842, 0.9573684210526315]",1.0,14.0,16.0,0.0,0.19210154238685542,"[0.14642262895174674, 0.14132104454685065, 0.012820512820512735, 0.6599435256151669, 0.0]",0.0,0.4938613345356364,0.0001,1.0,vgg16,0.27262840862840865,"[0.3076923076923077, 0.30666666666666664, 0.14285714285714285, 0.605925925925926, 0.0]",0.2,0.1838265264741963,"[0.09606986899563319, 0.09181636726546906, 0.006711409395973154, 0.7245349867139061, 0.0]",train
0.8008645533141211,"[0.7910662824207493, 0.739193083573487, 0.9394812680115274, 0.5677233429394812, 0.9668587896253602]",1.0,14.0,16.0,0.0,0.14485294117647046,"[0.0, 0.0, 0.0, 0.7242647058823524, 0.0]",0.0,0.4390082762395735,0.0001,1.0,vgg16,0.11354466858789625,"[0.0, 0.0, 0.0, 0.5677233429394812, 0.0]",0.2,0.2,"[0.0, 0.0, 0.0, 1.0, 0.0]",valid
0.7711578947368422,"[0.7326315789473684, 0.6884210526315789, 0.9194736842105263, 0.5578947368421052, 0.9573684210526315]",1.0,14.0,17.0,0.0,0.18482570101033402,"[0.11188811188811155, 0.12684365781710874, 0.02547770700636933, 0.6599190283400804, 0.0]",0.0,0.49711988533013746,0.0001,1.0,vgg16,0.2762790027812868,"[0.2807017543859649, 0.24293785310734464, 0.24999999999999994, 0.6077554064131245, 0.0]",0.2,0.1781995851349468,"[0.06986899563318777, 0.08582834331337326, 0.013422818791946308, 0.7218777679362267, 0.0]",train
0.8048991354466859,"[0.7910662824207493, 0.739193083573487, 0.9394812680115274, 0.5878962536023055, 0.9668587896253602]",1.0,14.0,17.0,0.0,0.14718710785284977,"[0.01360544217687072, 0.0, 0.0, 0.722330097087378, 0.0]",0.0,0.4368448852420711,0.0001,1.0,vgg16,0.21698113207547162,"[0.4999999999999998, 0.0, 0.0, 0.5849056603773585, 0.0]",0.2,0.19021179765447227,"[0.006896551724137931, 0.0, 0.0, 0.9441624365482234, 0.0]",valid
0.7734736842105263,"[0.7210526315789474, 0.7068421052631579, 0.9163157894736842, 0.5657894736842105, 0.9573684210526315]",1.0,14.0,18.0,0.0,0.18518903515592366,"[0.07665505226480804, 0.15987933634992424, 0.0, 0.6653144016227175, 0.02409638554216854]",0.0,0.500499283287086,0.0001,1.0,vgg16,0.25945095759948805,"[0.1896551724137931, 0.3271604938271605, 0.0, 0.6137724550898204, 0.16666666666666663]",0.2,0.17862336730750958,"[0.048034934497816595, 0.10578842315369262, 0.0, 0.7263064658990257, 0.012987012987012988]",train
0.8014409221902017,"[0.7910662824207493, 0.739193083573487, 0.9394812680115274, 0.5706051873198847, 0.9668587896253602]",1.0,14.0,18.0,0.0,0.14491682070240286,"[0.0, 0.0, 0.0, 0.7245841035120143, 0.0]",0.0,0.43815848831650167,0.0001,1.0,vgg16,0.11395348837209303,"[0.0, 0.0, 0.0, 0.5697674418604651, 0.0]",0.2,0.19898477157360406,"[0.0, 0.0, 0.0, 0.9949238578680203, 0.0]",valid
0.7752631578947369,"[0.7294736842105263, 0.7036842105263158, 0.9184210526315789, 0.5705263157894737, 0.9542105263157895]",1.0,14.0,19.0,0.0,0.20132767663432558,"[0.15460526315789438, 0.14826021180030222, 0.012738853503184617, 0.6685621445978873, 0.022471910112359317]",0.0,0.49242313770871415,0.0001,1.0,vgg16,0.2890642035508877,"[0.31333333333333335, 0.30625, 0.12499999999999997, 0.6174043510877719, 0.08333333333333331]",0.2,0.1898173171227001,"[0.10262008733624454, 0.09780439121756487, 0.006711409395973154, 0.728963684676705, 0.012987012987012988]",train
