acc,acc_labels,bce_loss,cell,cell_size,epoch,exp,f1,f1_labels,loss,lr,model,pair,pair_loss,prec,prec_labels,prob,recall,recall_labels,train_mode
0.9675,"[0.9855555555555555, 0.9494444444444444]",0.09044892319685055,0.0,[56],1.0,0.0,0.9337468663792645,"[0.9696261682242985, 0.8978675645342307]",0.5157307258910603,0.0001,resnet50,1.0,0.4252818028132121,0.9714708656763913,"[0.992822966507177, 0.9501187648456056]",[0.1],0.8992762071310599,"[0.9474885844748858, 0.851063829787234]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",2.1494075655937195,0.0,[56],1.0,0.0,0.0,"[0.0, 0.0]",2.1494075655937195,0.0001,resnet50,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9875,"[0.9905555555555555, 0.9844444444444445]",0.04651517580366797,0.0,[56],2.0,0.0,0.9750546199078634,"[0.980346820809248, 0.9697624190064789]",0.4590819878710641,0.0001,resnet50,1.0,0.41256681134303413,0.9888116808414479,"[0.9929742388758782, 0.9846491228070176]",[0.1],0.9616778393082677,"[0.9680365296803652, 0.9553191489361702]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",2.094653755426407,0.0,[56],2.0,0.0,0.0,"[0.0, 0.0]",2.094653755426407,0.0001,resnet50,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9936111111111111,"[0.995, 0.9922222222222222]",0.02709165718147738,0.0,[56],3.0,0.0,0.9872665851330384,"[0.9896193771626292, 0.9849137931034477]",0.42497488525178695,0.0001,resnet50,1.0,0.3978832282953792,0.9989082969432315,"[1.0, 0.9978165938864629]",[0.1],0.9758962401632177,"[0.9794520547945206, 0.9723404255319149]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",1.4197081178426743,0.0,[56],3.0,0.0,0.0,"[0.0, 0.0]",1.4197081178426743,0.0001,resnet50,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9955555555555555,"[0.9933333333333333, 0.9977777777777778]",0.018788453293058813,0.0,[56],4.0,0.0,0.9909508054669339,"[0.9861751152073727, 0.9957264957264952]",0.3952964673439662,0.0001,resnet50,1.0,0.3765080139040947,0.9976744186046511,"[0.9953488372093023, 1.0]",[0.1],0.9843291557369085,"[0.9771689497716894, 0.9914893617021276]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",4.519155561923981,0.0,[56],4.0,0.0,0.0,"[0.0, 0.0]",4.519155561923981,0.0001,resnet50,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9980555555555556,"[0.9972222222222222, 0.9988888888888889]",0.011315648323701074,0.0,[56],5.0,0.0,0.9960702134882773,"[0.9942726231386019, 0.9978678038379526]",0.36269292881091436,0.0001,resnet50,1.0,0.35137728055318196,0.9988505747126437,"[0.9977011494252873, 1.0]",[0.1],0.9933061303798698,"[0.9908675799086758, 0.9957446808510638]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",6.558746576309204,0.0,[56],5.0,0.0,0.0,"[0.0, 0.0]",6.558746576309204,0.0001,resnet50,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
