acc,acc_labels,epoch,exp,f1,f1_labels,loss,lr,model,prec,prec_labels,recall,recall_labels,train_mode
0.7268888888888888,"[0.6588888888888889, 0.6227777777777778, 0.86, 0.55, 0.9427777777777778]",0.0,0.0,0.2775275534053528,"[0.27251184834123166, 0.2530253025302525, 0.08695652173912993, 0.6263837638376379, 0.1487603305785119]",1.0481031728287538,0.0001,vgg16,0.28850379797131165,"[0.2832512315270936, 0.2619589977220957, 0.09022556390977443, 0.6155938349954669, 0.19148936170212766]",0.2700668639346231,"[0.2625570776255708, 0.24468085106382978, 0.08391608391608392, 0.6375586854460094, 0.12162162162162163]",train
0.7498740554156171,"[0.6977329974811083, 0.6498740554156172, 0.8841309823677582, 0.5680100755667506, 0.9496221662468514]",0.0,0.0,0.22940423602852272,"[0.25925925925925875, 0.19186046511627858, 0.0799999999999995, 0.6159014557670768, 0.0]",0.9065646189938551,0.0001,vgg16,0.24436130991108218,"[0.2641509433962264, 0.25, 0.07547169811320754, 0.632183908045977, 0.0]",0.2191497792210752,"[0.2545454545454545, 0.15566037735849056, 0.0851063829787234, 0.6004366812227074, 0.0]",valid
0.7353333333333334,"[0.6666666666666666, 0.6166666666666667, 0.8727777777777778, 0.5888888888888889, 0.9316666666666666]",1.0,0.0,0.2483549082019258,"[0.255583126550868, 0.23841059602648956, 0.05761316872427935, 0.6586715867158665, 0.031496062992125505]",0.9466189223445124,0.0001,vgg16,0.25653181027947863,"[0.2798913043478261, 0.24770642201834864, 0.07, 0.6473254759746147, 0.03773584905660377]",0.24226953251669897,"[0.23515981735159816, 0.2297872340425532, 0.04895104895104895, 0.6704225352112676, 0.02702702702702703]",train
0.728463476070529,"[0.6649874055415617, 0.6536523929471033, 0.8614609571788413, 0.5390428211586902, 0.9231738035264484]",1.0,0.0,0.26787237353662186,"[0.2692307692307688, 0.29305912596400974, 0.06779661016949105, 0.5933333333333327, 0.11594202898550678]",0.86536986497963,0.0001,vgg16,0.2643397472513984,"[0.24623115577889448, 0.3220338983050847, 0.056338028169014086, 0.6040723981900452, 0.09302325581395349]",0.27755191812745733,"[0.296969696969697, 0.2688679245283019, 0.0851063829787234, 0.5829694323144105, 0.15384615384615385]",valid
0.7315555555555555,"[0.6577777777777778, 0.6305555555555555, 0.8783333333333333, 0.555, 0.9361111111111111]",2.0,0.0,0.2662685466034867,"[0.24509803921568576, 0.24858757062146844, 0.09876543209876495, 0.6303645592985689, 0.10852713178294524]",0.8791657612141636,0.0001,vgg16,0.27933308938858536,"[0.26455026455026454, 0.26506024096385544, 0.12, 0.6197822141560798, 0.12727272727272726]",0.2564356575951766,"[0.228310502283105, 0.23404255319148937, 0.08391608391608392, 0.6413145539906103, 0.0945945945945946]",train
0.7292191435768262,"[0.646095717884131, 0.628463476070529, 0.8967254408060453, 0.535264483627204, 0.9395465994962217]",2.0,0.0,0.23855058590909226,"[0.26246719160104937, 0.28915662650602364, 0.023809523809523316, 0.5773195876288655, 0.0399999999999995]",0.8020791490122957,0.0001,vgg16,0.24059411866017597,"[0.23148148148148148, 0.2955665024630542, 0.02702702702702703, 0.6072289156626506, 0.041666666666666664]",0.23920112915448088,"[0.30303030303030304, 0.2830188679245283, 0.02127659574468085, 0.5502183406113537, 0.038461538461538464]",valid
0.7390000000000001,"[0.67, 0.6433333333333333, 0.8766666666666667, 0.5638888888888889, 0.9411111111111111]",3.0,0.0,0.29118193135318393,"[0.26485148514851437, 0.281879194630872, 0.09756097560975563, 0.6397430013767779, 0.17187499999999953]",0.7938324054496155,0.0001,vgg16,0.3064481616267493,"[0.2891891891891892, 0.2971698113207547, 0.11650485436893204, 0.625673249551167, 0.2037037037037037]",0.2798804340574695,"[0.24429223744292236, 0.2680851063829787, 0.08391608391608392, 0.6544600938967137, 0.14864864864864866]",train
0.7493702770780857,"[0.6863979848866498, 0.6964735516372796, 0.8879093198992444, 0.5478589420654912, 0.9282115869017632]",3.0,0.0,0.2554037172332312,"[0.26548672566371634, 0.22508038585208962, 0.02197802197802148, 0.6152197213290453, 0.14925373134328312]",0.7645824404445084,0.0001,vgg16,0.2722090123491567,"[0.25862068965517243, 0.35353535353535354, 0.022727272727272728, 0.6042105263157894, 0.12195121951219512]",0.25560869099748806,"[0.2727272727272727, 0.1650943396226415, 0.02127659574468085, 0.6266375545851528, 0.19230769230769232]",valid
0.7486666666666666,"[0.69, 0.6527777777777778, 0.8822222222222222, 0.5805555555555556, 0.9377777777777778]",4.0,0.0,0.2864467120318858,"[0.2972292191435763, 0.2690058479532159, 0.10169491525423682, 0.6531924666972894, 0.11111111111111063]",0.7505818546646171,0.0001,vgg16,0.3066396209494272,"[0.33146067415730335, 0.2987012987012987, 0.12903225806451613, 0.6393884892086331, 0.1346153846153846]",0.2720407112142778,"[0.2694063926940639, 0.24468085106382978, 0.08391608391608392, 0.6676056338028169, 0.0945945945945946]",train
0.752896725440806,"[0.6649874055415617, 0.681360201511335, 0.8879093198992444, 0.5667506297229219, 0.9634760705289672]",4.0,0.0,0.2630214925936193,"[0.26519337016574535, 0.18649517684887415, 0.04301075268817154, 0.6489795918367341, 0.17142857142857104]",0.7148021651701357,0.0001,vgg16,0.30451822235321346,"[0.2436548223350254, 0.29292929292929293, 0.043478260869565216, 0.6091954022988506, 0.33333333333333326]",0.25599249894361203,"[0.2909090909090909, 0.13679245283018868, 0.0425531914893617, 0.6943231441048034, 0.11538461538461539]",valid
0.7418888888888888,"[0.6727777777777778, 0.6472222222222223, 0.8838888888888888, 0.5672222222222222, 0.9383333333333334]",5.0,0.0,0.260580752812742,"[0.2665006226650057, 0.255568581477139, 0.07111111111111065, 0.6424965580541527, 0.06722689075630205]",0.730168185217513,0.0001,vgg16,0.27851241948941663,"[0.29315068493150687, 0.2845953002610966, 0.0975609756097561, 0.6283662477558348, 0.08888888888888889]",0.24869644727264362,"[0.24429223744292236, 0.23191489361702128, 0.055944055944055944, 0.6572769953051644, 0.05405405405405406]",train
0.7503778337531486,"[0.6801007556675063, 0.6435768261964736, 0.9030226700251889, 0.5856423173803527, 0.9395465994962217]",5.0,0.0,0.276309396436788,"[0.2062499999999995, 0.33096926713947944, 0.09411764705882303, 0.6732869910625615, 0.07692307692307643]",0.6891715794614276,0.0001,vgg16,0.2688658707848898,"[0.2129032258064516, 0.33175355450236965, 0.10526315789473684, 0.6174863387978142, 0.07692307692307693]",0.28647856232723323,"[0.2, 0.330188679245283, 0.0851063829787234, 0.740174672489083, 0.07692307692307693]",valid
0.7501111111111112,"[0.6866666666666666, 0.6605555555555556, 0.8905555555555555, 0.5744444444444444, 0.9383333333333334]",6.0,0.0,0.2814845059980897,"[0.2860759493670881, 0.2820211515863684, 0.124444444444444, 0.647654093836246, 0.06722689075630205]",0.6710868361095588,0.0001,vgg16,0.30608201701001686,"[0.3210227272727273, 0.31496062992125984, 0.17073170731707318, 0.6348061316501352, 0.08888888888888889]",0.2652598064643992,"[0.2579908675799087, 0.2553191489361702, 0.0979020979020979, 0.6610328638497652, 0.05405405405405406]",train
0.7473551637279597,"[0.6801007556675063, 0.6851385390428212, 0.8652392947103275, 0.5541561712846348, 0.9521410579345088]",6.0,0.0,0.2703138231856458,"[0.2616279069767437, 0.21383647798742092, 0.10084033613445328, 0.6013513513513508, 0.17391304347826037]",0.6938566673289305,0.0001,vgg16,0.2952829861834595,"[0.25139664804469275, 0.32075471698113206, 0.08333333333333333, 0.6209302325581395, 0.2]",0.25951595836929764,"[0.2727272727272727, 0.16037735849056603, 0.1276595744680851, 0.5829694323144105, 0.15384615384615385]",valid
0.7497777777777778,"[0.6838888888888889, 0.6561111111111111, 0.8816666666666667, 0.5816666666666667, 0.9455555555555556]",7.0,0.0,0.2912632088217394,"[0.2639068564036217, 0.2691853600944505, 0.06167400881057222, 0.6518723994452144, 0.20967741935483825]",0.6587398257106543,0.0001,vgg16,0.31845494318207634,"[0.3044776119402985, 0.30238726790450926, 0.08333333333333333, 0.6420765027322405, 0.26]",0.27240569188615377,"[0.2328767123287671, 0.2425531914893617, 0.04895104895104895, 0.6619718309859155, 0.17567567567567569]",train
0.7642317380352645,"[0.7128463476070529, 0.6788413098236776, 0.9055415617128464, 0.5654911838790933, 0.9584382871536524]",7.0,0.0,0.23243914472357577,"[0.17985611510791322, 0.20062695924764842, 0.0, 0.6736045411542094, 0.10810810810810767]",0.6735147388663681,0.0001,vgg16,0.25928928271077933,"[0.22123893805309736, 0.29906542056074764, 0.0, 0.5943238731218697, 0.1818181818181818]",0.2313348402167715,"[0.15151515151515152, 0.1509433962264151, 0.0, 0.777292576419214, 0.07692307692307693]",valid
