acc,acc_labels,aux,aux_batch,bce_loss,cell,cell_size,epoch,exp,f1,f1_labels,freeze_mode,loss,lr,mask_use,prec,prec_labels,prob,recall,recall_labels,std_loss,train_mode
0.6468421052631579,"[0.7331578947368421, 0.5605263157894737]",0.0,4.0,0.6475980187717237,0.0,[56],0.0,0.0,0.37134740054215165,"[0.07312614259597788, 0.6695686584883255]",0.0,0.6475980187717237,0.0001,0.0,0.49800562623336275,"[0.39215686274509803, 0.6038543897216274]",[0.1],0.39582736492293585,"[0.04032258064516129, 0.7513321492007105]",0.0,train
0.6505763688760807,"[0.7305475504322767, 0.5706051873198847]",0.0,4.0,3.869898693902152,0.0,[56],0.0,0.0,0.3675830570470124,"[0.010582010582010552, 0.7245841035120142]",0.0,3.869898693902152,0.0001,0.0,0.45279805352798047,"[0.33333333333333326, 0.5722627737226277]",[0.1],0.4963909428238672,"[0.005376344086021506, 0.9874055415617129]",0.0,valid
0.6631578947368422,"[0.7389473684210527, 0.5873684210526315]",0.0,4.0,0.6299856807056227,0.0,[56],1.0,0.0,0.36792452830188654,"[0.0, 0.7358490566037731]",0.0,0.6299856807056227,0.0001,0.0,0.2964169381107492,"[0.0, 0.5928338762214984]",[0.1],0.4849023090586146,"[0.0, 0.9698046181172292]",0.0,train
0.6527377521613833,"[0.7305475504322767, 0.5749279538904899]",0.0,4.0,3.8085900715419223,0.0,[56],1.0,0.0,0.3638042474607569,"[0.0, 0.7276084949215138]",0.0,3.8085900715419223,0.0001,0.0,0.28717201166180756,"[0.0, 0.5743440233236151]",[0.1],0.49622166246851385,"[0.0, 0.9924433249370277]",0.0,valid
0.6657894736842105,"[0.7389473684210527, 0.5926315789473684]",0.0,4.0,0.6325450978781048,0.0,[56],2.0,0.0,0.37039517749497625,"[0.0, 0.7407903549899525]",0.0,0.6325450978781048,0.0001,0.0,0.29731182795698924,"[0.0, 0.5946236559139785]",[0.1],0.4911190053285968,"[0.0, 0.9822380106571936]",0.0,train
0.6520172910662825,"[0.7305475504322767, 0.5734870317002881]",0.0,4.0,3.7767824104854038,0.0,[56],2.0,0.0,0.3637200736648248,"[0.0, 0.7274401473296496]",0.0,3.7767824104854038,0.0001,0.0,0.28664731494920176,"[0.0, 0.5732946298984035]",[0.1],0.49748110831234255,"[0.0, 0.9949622166246851]",0.0,valid
0.6642105263157895,"[0.7389473684210527, 0.5894736842105263]",0.0,4.0,0.6309588896600824,0.0,[56],3.0,0.0,0.368243243243243,"[0.0, 0.736486486486486]",0.0,0.6309588896600824,0.0001,0.0,0.29716466739367503,"[0.0, 0.5943293347873501]",[0.1],0.48401420959147423,"[0.0, 0.9680284191829485]",0.0,train
0.649135446685879,"[0.7305475504322767, 0.5677233429394812]",0.0,4.0,3.7598845277513777,0.0,[56],3.0,0.0,0.36085343228200345,"[0.0, 0.7217068645640069]",0.0,3.7598845277513777,0.0001,0.0,0.2856093979441997,"[0.0, 0.5712187958883994]",[0.1],0.4899244332493703,"[0.0, 0.9798488664987406]",0.0,valid
0.6657894736842105,"[0.7389473684210527, 0.5926315789473684]",0.0,4.0,0.6309361206857782,0.0,[56],4.0,0.0,0.36969696969696936,"[0.0, 0.7393939393939387]",0.0,0.6309361206857782,0.0001,0.0,0.2977223427331887,"[0.0, 0.5954446854663774]",[0.1],0.48756660746003555,"[0.0, 0.9751332149200711]",0.0,train
0.649135446685879,"[0.7305475504322767, 0.5677233429394812]",0.0,4.0,3.679386172975813,0.0,[56],4.0,0.0,0.36691462152716736,"[0.010582010582010552, 0.7232472324723241]",0.0,3.679386172975813,0.0001,0.0,0.45196506550218335,"[0.33333333333333326, 0.5705967976710334]",[0.1],0.4963909428238672,"[0.005376344086021506, 0.9874055415617129]",0.0,valid
0.6705263157894736,"[0.7389473684210527, 0.6021052631578947]",0.0,4.0,0.6313075140902871,0.0,[56],5.0,0.0,0.372641509433962,"[0.0, 0.745283018867924]",0.0,0.6313075140902871,0.0001,0.0,0.3002171552660152,"[0.0, 0.6004343105320304]",[0.1],0.4911190053285968,"[0.0, 0.9822380106571936]",0.0,train
0.6527377521613833,"[0.729106628242075, 0.5763688760806917]",0.0,4.0,3.8229517255510603,0.0,[56],5.0,0.0,0.36439114391143884,"[0.0, 0.7287822878228777]",0.0,3.8229517255510603,0.0001,0.0,0.28748180494905384,"[0.0, 0.5749636098981077]",[0.1],0.49748110831234255,"[0.0, 0.9949622166246851]",0.0,valid
0.6644736842105263,"[0.7389473684210527, 0.59]",0.0,4.0,0.6323454881969252,0.0,[56],6.0,0.0,0.36827866080486954,"[0.0, 0.7365573216097391]",0.0,0.6323454881969252,0.0001,0.0,0.2973784817039869,"[0.0, 0.5947569634079738]",[0.1],0.4835701598579041,"[0.0, 0.9671403197158082]",0.0,train
0.6476945244956773,"[0.729106628242075, 0.5662824207492796]",0.0,4.0,3.9320436205182756,0.0,[56],6.0,0.0,0.36154553817847257,"[0.0, 0.7230910763569451]",0.0,3.9320436205182756,0.0001,0.0,0.2847826086956522,"[0.0, 0.5695652173913044]",[0.1],0.49496221662468515,"[0.0, 0.9899244332493703]",0.0,valid
0.6589473684210527,"[0.7389473684210527, 0.5789473684210527]",0.0,4.0,0.6318497720517611,0.0,[56],7.0,0.0,0.36486486486486464,"[0.0, 0.7297297297297293]",0.0,0.6318497720517611,0.0001,0.0,0.29443838604143946,"[0.0, 0.5888767720828789]",[0.1],0.47957371225577267,"[0.0, 0.9591474245115453]",0.0,train
0.6527377521613833,"[0.7305475504322767, 0.5749279538904899]",0.0,4.0,4.009362970079694,0.0,[56],7.0,0.0,0.3632993512511582,"[0.0, 0.7265987025023164]",0.0,4.009362970079694,0.0001,0.0,0.2873900293255132,"[0.0, 0.5747800586510264]",[0.1],0.49370277078085645,"[0.0, 0.9874055415617129]",0.0,valid
