mask_use,aux,aux_batch,freeze_mode,lr,exp,cell,cell_size,prob,train_mode,epoch,acc,f1,loss,prec,recall
True,False,4,False,0.0001,0,True,14,0.2,train,0,0.7966870095902354,0.8698951126980585,0.45048871636390686,0.8480365495485696,0.8929103195510251
True,False,4,False,0.0001,0,True,14,0.2,valid,0,0.7926666666666666,0.8688317165752847,0.45172831416130066,0.8373983739837398,0.9027169149868537
True,False,4,False,0.0001,0,True,14,0.2,train,1,0.7963382737576286,0.8695846359982136,0.48711350560188293,0.8482736085393748,0.8919940442102852
True,False,4,False,0.0001,0,True,14,0.2,valid,1,0.798,0.8716645489199493,0.43504446744918823,0.8434426229508196,0.901840490797546
True,False,4,False,0.0001,0,True,14,0.2,train,2,0.7962510897994769,0.8695360911070172,0.4405975937843323,0.8481812241341755,0.8919940442102852
True,False,4,False,0.0001,0,True,14,0.2,valid,2,0.7933333333333333,0.8694187026116259,0.4435344338417053,0.8369829683698297,0.9044697633654689
True,False,4,False,0.0001,0,True,14,0.2,train,3,0.7959023539668701,0.8692981966389369,0.43543410301208496,0.8480392156862745,0.8916504409575078
True,False,4,False,0.0001,0,True,14,0.2,valid,3,0.7946666666666666,0.8701517706576729,0.4533689022064209,0.8383428107229894,0.9044697633654689
True,False,4,False,0.0001,0,True,14,0.2,train,4,0.7967741935483871,0.8699000948819556,0.4296657145023346,0.8483561942085782,0.8925667162982476
True,False,4,False,0.0001,0,True,14,0.2,valid,4,0.792,0.8685762426284751,0.449494868516922,0.8361719383617194,0.9035933391761612
True,False,4,False,0.0001,0,True,14,0.2,train,5,0.7967741935483871,0.8699436478268147,0.43390893936157227,0.8481288076588338,0.8929103195510251
True,False,4,False,0.0001,0,True,14,0.2,valid,5,0.7993333333333333,0.8737945492662473,0.44020065665245056,0.837620578778135,0.9132340052585451
True,False,4,False,0.0001,0,True,14,0.2,train,6,0.7964254577157803,0.8696913890284056,0.41824400424957275,0.8480626904658249,0.8924521818806551
True,False,4,False,0.0001,0,True,14,0.2,valid,6,0.7913333333333333,0.8687631027253669,0.49337801337242126,0.8327974276527331,0.9079754601226994
True,False,4,False,0.0001,0,True,14,0.2,train,7,0.7972101133391456,0.8702443378333147,0.4054054915904999,0.8482871125611745,0.893368457221395
True,False,4,False,0.0001,0,True,14,0.2,valid,7,0.7926666666666666,0.8699289000418234,0.45798566937446594,0.832,0.9114811568799299
True,False,4,False,0.0001,0,True,14,0.2,train,8,0.7971229293809939,0.8702247504322125,0.4208301603794098,0.8480434782608696,0.89359752605658
True,False,4,False,0.0001,0,True,14,0.2,valid,8,0.7946666666666666,0.8714524207011687,0.4329122006893158,0.8318725099601594,0.9149868536371604
True,False,4,False,0.0001,0,True,14,0.2,train,9,0.798256320836966,0.8712011577424023,0.4613913595676422,0.847428262046562,0.8963463520787996
True,False,4,False,0.0001,0,True,14,0.2,valid,9,0.79,0.8690228690228691,0.45938724279403687,0.8267405063291139,0.915863277826468
True,False,4,False,0.0001,0,True,14,0.2,train,10,0.8,0.8724421708185054,0.39089515805244446,0.8478331351993947,0.8985225060130569
True,False,4,False,0.0001,0,True,14,0.2,valid,10,0.7926666666666666,0.8710078805474907,0.4758957326412201,0.8267716535433071,0.9202453987730062
True,False,4,False,0.0001,0,True,14,0.2,train,11,0.798517872711421,0.871461149118416,0.4744407534599304,0.8471020761245674,0.8972626274195395
True,False,4,False,0.0001,0,True,14,0.2,valid,11,0.796,0.8735537190082645,0.4500594735145569,0.8264268960125097,0.9263803680981595
True,False,4,False,0.0001,0,True,14,0.2,train,12,0.7988666085440279,0.8717549613652789,0.49302080273628235,0.8469431842730611,0.898064368342687
True,False,4,False,0.0001,0,True,14,0.2,valid,12,0.7913333333333333,0.8702859510982179,0.49079787731170654,0.8254716981132075,0.9202453987730062
True,False,4,False,0.0001,0,True,14,0.2,train,13,0.8002615518744551,0.8728140787209238,0.41462334990501404,0.8469079939668175,0.9003550566945367
True,False,4,False,0.0001,0,True,14,0.2,valid,13,0.788,0.8682684341342172,0.46959516406059265,0.8232521602513747,0.9184925503943909
True,False,4,False,0.0001,0,True,14,0.2,train,14,0.7993025283347864,0.8721821210438646,0.40647006034851074,0.8464274167474943,0.8995533157713893
True,False,4,False,0.0001,0,True,14,0.2,valid,14,0.7886666666666666,0.8690623709211069,0.48001667857170105,0.821875,0.9219982471516214
True,False,4,False,0.0001,0,True,14,0.2,train,15,0.8003487358326068,0.8731161347517731,0.43269282579421997,0.8456584737576474,0.9024166762112015
True,False,4,False,0.0001,0,True,14,0.2,valid,15,0.798,0.8753599341834637,0.48394569754600525,0.8248062015503876,0.9325153374233128
True,False,4,False,0.0001,0,True,14,0.2,train,16,0.8015693112467306,0.8739058171745152,0.4405488073825836,0.846335443717137,0.9033329515519414
True,False,4,False,0.0001,0,True,14,0.2,valid,16,0.7913333333333333,0.8705006206040546,0.47187983989715576,0.8244514106583072,0.9219982471516214
True,False,4,False,0.0001,0,True,14,0.2,train,17,0.8000871839581517,0.873097570424484,0.4292025864124298,0.84472049689441,0.9034474859695338
True,False,4,False,0.0001,0,True,14,0.2,valid,17,0.7906666666666666,0.8707818930041152,0.42564648389816284,0.8207913110938713,0.9272567922874672
True,False,4,False,0.0001,0,True,14,0.2,train,18,0.8015693112467306,0.8741150442477875,0.4343887269496918,0.8452240881377687,0.9050509678158286
True,False,4,False,0.0001,0,True,14,0.2,valid,18,0.7906666666666666,0.8706754530477759,0.4756276607513428,0.8212898212898213,0.9263803680981595
True,False,4,False,0.0001,0,True,14,0.2,train,19,0.8019180470793374,0.8745028722934158,0.4422430396080017,0.8445535047476795,0.9066544496621235
True,False,4,False,0.0001,0,True,14,0.2,valid,19,0.79,0.870530209617756,0.4408327639102936,0.8196594427244582,0.9281332164767747
True,False,4,False,0.0001,0,True,14,0.2,train,20,0.8028770706190062,0.8753239591949269,0.38139545917510986,0.844002552105487,0.9090596724315657
True,False,4,False,0.0001,0,True,14,0.2,valid,20,0.786,0.8681724845995894,0.4734421670436859,0.8168469860896446,0.9263803680981595
True,False,4,False,0.0001,0,True,14,0.2,train,21,0.8019180470793374,0.8747519294377067,0.4154491424560547,0.8432352003400999,0.9087160691787882
True,False,4,False,0.0001,0,True,14,0.2,valid,21,0.7906666666666666,0.8715220949263504,0.4368039667606354,0.8173445894090561,0.9333917616126205
True,False,4,False,0.0001,0,True,14,0.2,train,22,0.8022667829119442,0.8751101321585905,0.42351704835891724,0.8427192703361969,0.9100904821898981
True,False,4,False,0.0001,0,True,14,0.2,valid,22,0.792,0.8725490196078431,0.45674675703048706,0.8171384850803366,0.9360210341805434
True,False,4,False,0.0001,0,True,14,0.2,train,23,0.8034001743679163,0.875846501128668,0.4250064194202423,0.8432994062765055,0.911006757530638
True,False,4,False,0.0001,0,True,14,0.2,valid,23,0.7933333333333333,0.8730548730548731,0.4910266697406769,0.819369715603382,0.9342681858019282
True,False,4,False,0.0001,0,True,14,0.2,train,24,0.805492589363557,0.8774781701356472,0.4657328426837921,0.8428993458535556,0.915015462146375
True,False,4,False,0.0001,0,True,14,0.2,valid,24,0.7946666666666666,0.8740801308258381,0.449682354927063,0.8191570881226053,0.936897458369851
True,False,4,False,0.0001,0,True,14,0.2,train,25,0.8068003487358326,0.8783086216364634,0.5045714378356934,0.8436543939234097,0.9159317374871149
True,False,4,False,0.0001,0,True,14,0.2,valid,25,0.7986666666666666,0.8766339869281046,0.45056331157684326,0.8209640397857689,0.9404031551270815
True,False,4,False,0.0001,0,True,14,0.2,train,26,0.8020924149956408,0.8750825445740699,0.41879594326019287,0.8421777354093846,0.9106631542778605
True,False,4,False,0.0001,0,True,14,0.2,valid,26,0.79,0.8710601719197707,0.42775261402130127,0.8172043010752689,0.9325153374233128
True,False,4,False,0.0001,0,True,14,0.2,train,27,0.8048823016564952,0.8771544626193875,0.41955456137657166,0.8422051227996206,0.9151299965639674
True,False,4,False,0.0001,0,True,14,0.2,valid,27,0.7926666666666666,0.8731130150958792,0.46063345670700073,0.816793893129771,0.9377738825591586
True,False,4,False,0.0001,0,True,14,0.2,train,28,0.8080209241499564,0.8794349540078844,0.4257538914680481,0.8424420434280919,0.9198259076852594
True,False,4,False,0.0001,0,True,14,0.2,valid,28,0.7946666666666666,0.8743882544861338,0.40682074427604675,0.8176964149504196,0.9395267309377738
True,False,4,False,0.0001,0,True,14,0.2,train,29,0.8059285091543156,0.8782009192383454,0.4316085875034332,0.8407543216343636,0.9191387011797045
True,False,4,False,0.0001,0,True,14,0.2,valid,29,0.7973333333333333,0.8759183673469387,0.4616626501083374,0.8197097020626433,0.9404031551270815
True,False,4,False,0.0001,0,True,14,0.2,train,30,0.8061900610287707,0.8783850320039389,0.4021156132221222,0.8408043569333892,0.9194823044324819
True,False,4,False,0.0001,0,True,14,0.2,valid,30,0.79,0.8713760718660678,0.46057167649269104,0.8157492354740061,0.9351446099912357
True,False,4,False,0.0001,0,True,14,0.2,train,31,0.8068003487358326,0.8788806296458241,0.4361293613910675,0.8405645582854155,0.9208567174435918
True,False,4,False,0.0001,0,True,14,0.2,valid,31,0.7913333333333333,0.8725050916496946,0.4553065896034241,0.815068493150685,0.9386503067484663
True,False,4,False,0.0001,0,True,14,0.2,train,32,0.8077593722755013,0.8793565683646112,0.41740748286247253,0.8418185627487953,0.9203985797732218
True,False,4,False,0.0001,0,True,14,0.2,valid,32,0.79,0.8717948717948718,0.4437641501426697,0.8138297872340425,0.9386503067484663
