acc,acc_labels,bce1_loss,bce2_loss,epoch,exp,f1,f1_labels,loss,lr,model,prec,prec_labels,recall,recall_labels,train_mode
0.7383333333333333,"[0.7461111111111111, 0.7305555555555555]",0.5832789831691318,0.3917428864373101,0.0,0.0,0.048687900273073334,"[0.0654396728016358, 0.03193612774451086]",0.9750218682818943,0.0001,Y_net,0.28589500316255534,"[0.3137254901960784, 0.25806451612903225]",0.02677547848052074,"[0.0365296803652968, 0.01702127659574468]",train
0.7613350125944585,"[0.7896725440806045, 0.7329974811083123]",0.5518254935741425,0.31624048203229904,0.0,0.0,0.005917159763313586,"[0.011834319526627172, 0.0]",0.8680659681558609,0.0001,Y_net,0.12499999999999997,"[0.24999999999999994, 0.0]",0.0030303030303030303,"[0.006060606060606061, 0.0]",valid
0.7441666666666666,"[0.7516666666666667, 0.7366666666666667]",0.5758557120958964,0.33832695566945603,1.0,0.0,0.037696540880503046,"[0.06289308176100614, 0.012499999999999957]",0.8533434682422214,0.0001,Y_net,0.3423076923076923,"[0.38461538461538464, 0.29999999999999993]",0.020314777032935005,"[0.03424657534246575, 0.006382978723404255]",train
0.7304785894206549,"[0.7947103274559194, 0.6662468513853904]",0.5736713409423828,0.28639819473028183,1.0,0.0,0.09134112726927074,"[0.023952095808383207, 0.15873015873015828]",0.8520730882883072,0.0001,Y_net,0.6213592233009706,"[0.9999999999999996, 0.24271844660194175]",0.06502287021154946,"[0.012121212121212121, 0.1179245283018868]",valid
0.7416666666666667,"[0.7483333333333333, 0.735]",0.573148254553477,0.30530204855733445,2.0,0.0,0.03140531741725437,"[0.04631578947368407, 0.01649484536082468]",0.8069855749607087,0.0001,Y_net,0.281981981981982,"[0.2972972972972973, 0.2666666666666666]",0.016812396774506945,"[0.02511415525114155, 0.00851063829787234]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",0.5637515733639399,0.26234160363674164,2.0,0.0,0.0,"[0.0, 0.0]",0.7581404745578766,0.0001,Y_net,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",valid
0.7408333333333333,"[0.7488888888888889, 0.7327777777777778]",0.5716936950882275,0.27967186971671054,3.0,0.0,0.0676838810641626,"[0.10317460317460295, 0.032193158953722226]",0.7701113508807288,0.0001,Y_net,0.3451178451178451,"[0.3939393939393939, 0.2962962962962963]",0.03819100359467599,"[0.0593607305936073, 0.01702127659574468]",train
0.7065491183879093,"[0.6801007556675063, 0.7329974811083123]",0.573376826941967,0.24293355736881495,3.0,0.0,0.13294797687861246,"[0.2658959537572249, 0.0]",0.7869620025157928,0.0001,Y_net,0.1270718232044199,"[0.2541436464088398, 0.0]",0.1393939393939394,"[0.2787878787878788, 0.0]",valid
0.7419444444444444,"[0.7505555555555555, 0.7333333333333333]",0.5693385628196929,0.25834896412160663,4.0,0.0,0.04496364821288,"[0.03854389721627397, 0.05138339920948603]",0.7329753723409441,0.0001,Y_net,0.335727969348659,"[0.3103448275862069, 0.3611111111111111]",0.024103759836782278,"[0.02054794520547945, 0.027659574468085105]",train
0.7550377833753148,"[0.7770780856423174, 0.7329974811083123]",0.5725317746400833,0.22586947306990623,4.0,0.0,0.04615384615384602,"[0.09230769230769204, 0.0]",0.7267646938562393,0.0001,Y_net,0.15,"[0.3, 0.0]",0.02727272727272727,"[0.05454545454545454, 0.0]",valid
0.746388888888889,"[0.7566666666666667, 0.7361111111111112]",0.568112186756399,0.2400794059590057,5.0,0.0,0.05623026163760997,"[0.07594936708860746, 0.036511156186612485]",0.7107119235727523,0.0001,Y_net,0.44565217391304346,"[0.5, 0.391304347826087]",0.030122413290585834,"[0.0410958904109589, 0.019148936170212766]",train
0.7619647355163728,"[0.7909319899244333, 0.7329974811083123]",0.5714211439092954,0.21078385847310224,5.0,0.0,0.005952380952380936,"[0.011904761904761871, 0.0]",0.7012237757444382,0.0001,Y_net,0.16666666666666663,"[0.33333333333333326, 0.0]",0.0030303030303030303,"[0.006060606060606061, 0.0]",valid
0.7466666666666666,"[0.7583333333333333, 0.735]",0.5666950037082036,0.22421777041421997,6.0,0.0,0.09295272078501321,"[0.08421052631578933, 0.1016949152542371]",0.68723986281289,0.0001,Y_net,0.4915817456801064,"[0.5405405405405406, 0.4426229508196721]",0.05155445448362965,"[0.045662100456621, 0.0574468085106383]",train
0.7613350125944585,"[0.792191435768262, 0.7304785894206549]",0.5696257799863815,0.19767030913914954,6.0,0.0,0.0,"[0.0, 0.0]",0.6778426021337509,0.0001,Y_net,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",valid
0.7424999999999999,"[0.7527777777777778, 0.7322222222222222]",0.5658884276532464,0.21034020133730438,7.0,0.0,0.028989010989010897,"[0.021978021978021903, 0.035999999999999886]",0.6734396159648895,0.0001,Y_net,0.29705882352941176,"[0.29411764705882354, 0.3]",0.015282230642184008,"[0.01141552511415525, 0.019148936170212766]",train
0.7607052896725441,"[0.7871536523929471, 0.7342569269521411]",0.5656925700604916,0.18597076972946525,7.0,0.0,0.021837692823608257,"[0.034285714285714176, 0.009389671361502335]",0.6422341018915176,0.0001,Y_net,0.6499999999999995,"[0.29999999999999993, 0.9999999999999989]",0.011449399656946826,"[0.01818181818181818, 0.0047169811320754715]",valid
0.7452777777777778,"[0.7494444444444445, 0.7411111111111112]",0.56415440109041,0.19812879624926014,8.0,0.0,0.08115063433435024,"[0.05845511482254682, 0.10384615384615367]",0.6507197492652469,0.0001,Y_net,0.44073170731707323,"[0.34146341463414637, 0.54]",0.0447051394151365,"[0.0319634703196347, 0.0574468085106383]",train
