mask_use,freeze_mode,lr,exp,train_mode,epoch,loss,prec,recall,acc,f1
False,False,0.0001,0,train,0,0.6574074029922485,0.6941463414634146,0.5406534954407295,0.5998256320836965,0.607859888936352
False,False,0.0001,0,valid,0,0.6158627867698669,0.7378048780487805,0.6894586894586895,0.675,0.7128129602356407
False,False,0.0001,0,train,1,0.5472805500030518,0.7261275904104023,0.6789513677811551,0.668918918918919,0.7017474965639113
False,False,0.0001,0,valid,1,0.6929566860198975,0.7340720221606648,0.7549857549857549,0.6966666666666667,0.7443820224719101
False,False,0.0001,0,train,2,0.5623797178268433,0.7184808144087705,0.6971884498480243,0.6695727986050567,0.7076745082915541
False,False,0.0001,0,valid,2,0.6459255814552307,0.75,0.6923076923076923,0.685,0.7199999999999999
False,False,0.0001,0,train,3,0.6345340609550476,0.718859820382663,0.699468085106383,0.6706625980819529,0.7090313884074716
False,False,0.0001,0,valid,3,0.5657610893249512,0.7418397626112759,0.7122507122507122,0.6866666666666666,0.7267441860465115
False,False,0.0001,0,train,4,0.6123874187469482,0.7202692595362753,0.7317629179331308,0.6830863121185702,0.7259705993215229
False,False,0.0001,0,valid,4,0.5586952567100525,0.7090909090909091,0.7777777777777778,0.6833333333333333,0.7418478260869565
False,False,0.0001,0,train,5,0.5834829807281494,0.7177330895795246,0.7458206686930091,0.6859197907585004,0.7315073597913172
False,False,0.0001,0,valid,5,0.5573537349700928,0.725130890052356,0.7891737891737892,0.7016666666666667,0.7557980900409277
False,False,0.0001,0,train,6,0.5383381843566895,0.720854453294714,0.7564589665653495,0.6922406277244987,0.7382276603633667
False,False,0.0001,0,valid,6,0.6096785068511963,0.7301587301587301,0.7863247863247863,0.705,0.757201646090535
False,False,0.0001,0,train,7,0.6568974256515503,0.7173835762531106,0.7667173252279635,0.6928945074106364,0.7412304866850322
False,False,0.0001,0,valid,7,0.5951755046844482,0.7157360406091371,0.8034188034188035,0.6983333333333334,0.7570469798657719
False,False,0.0001,0,train,8,0.5633495450019836,0.7176220806794055,0.770516717325228,0.6944202266782912,0.7431293514107732
False,False,0.0001,0,valid,8,0.555304229259491,0.7296587926509186,0.792022792022792,0.7066666666666667,0.7595628415300547
False,False,0.0001,0,train,9,0.6233711242675781,0.7157857892894645,0.7769756838905775,0.6950741063644289,0.7451266168701038
False,False,0.0001,0,valid,9,0.5856373906135559,0.7135549872122762,0.7948717948717948,0.6933333333333334,0.7520215633423181
False,False,0.0001,0,train,10,0.5960525274276733,0.7202090592334495,0.7853343465045592,0.7018308631211857,0.7513631406761176
False,False,0.0001,0,valid,10,0.5867051482200623,0.7310704960835509,0.7977207977207977,0.71,0.7629427792915532
False,False,0.0001,0,train,11,0.654792070388794,0.7151182721974632,0.7925531914893617,0.6998692240627724,0.7518471796720131
False,False,0.0001,0,valid,11,0.5641840696334839,0.7398843930635838,0.7293447293447294,0.6916666666666667,0.7345767575322812
False,False,0.0001,0,train,12,0.5903315544128418,0.7194868238557559,0.7883738601823708,0.7022667829119442,0.7523567802755621
False,False,0.0001,0,valid,12,0.5895770788192749,0.7270408163265306,0.811965811965812,0.7116666666666667,0.7671601615074023
False,False,0.0001,0,train,13,0.5176260471343994,0.7222414389484607,0.7933130699088146,0.70640802092415,0.7561108093427485
False,False,0.0001,0,valid,13,0.6431518793106079,0.7237851662404092,0.8062678062678063,0.7066666666666667,0.7628032345013477
False,False,0.0001,0,train,14,0.5499980449676514,0.7196581196581197,0.7997720364741642,0.70640802092415,0.7576030232139643
False,False,0.0001,0,valid,14,0.5851597189903259,0.7409326424870466,0.8148148148148148,0.725,0.7761194029850745
False,False,0.0001,0,train,15,0.5619153380393982,0.720653283429738,0.8047112462006079,0.7090235396687009,0.760366182014001
False,False,0.0001,0,valid,15,0.6259254813194275,0.739946380697051,0.7863247863247863,0.7133333333333334,0.7624309392265194
False,False,0.0001,0,train,16,0.5644814372062683,0.7206837606837607,0.8009118541033434,0.7077157802964255,0.7586827424869533
False,False,0.0001,0,valid,16,0.5751569867134094,0.7356020942408377,0.8005698005698005,0.715,0.7667121418826739
False,False,0.0001,0,train,17,0.594194769859314,0.7309166957127919,0.7967325227963525,0.71512641673932,0.7624068351208871
False,False,0.0001,0,valid,17,0.5768943428993225,0.7153652392947103,0.8091168091168092,0.7,0.7593582887700534
False,False,0.0001,0,train,18,0.5054133534431458,0.7254364943512496,0.8050911854103343,0.713382737576286,0.7631910678912299
False,False,0.0001,0,valid,18,0.6438708305358887,0.7338501291989664,0.8091168091168092,0.7166666666666667,0.7696476964769647
False,False,0.0001,0,train,19,0.5565239191055298,0.7250673854447439,0.817629179331307,0.7175239755884917,0.7685714285714286
False,False,0.0001,0,valid,19,0.6040830016136169,0.7427055702917772,0.7977207977207977,0.72,0.7692307692307693
False,False,0.0001,0,train,20,0.583899736404419,0.7287847929395791,0.8157294832826748,0.7201394943330427,0.7698099677303692
False,False,0.0001,0,valid,20,0.5426192283630371,0.7263157894736842,0.7863247863247863,0.7016666666666667,0.7551299589603284
False,False,0.0001,0,train,21,0.5232312083244324,0.7254570074475287,0.814209726443769,0.7166521360069747,0.7672753311851056
False,False,0.0001,0,valid,21,0.5606482625007629,0.7445652173913043,0.7806267806267806,0.715,0.7621696801112656
False,False,0.0001,0,train,22,0.5989758372306824,0.7237843202117102,0.831306990881459,0.7212292938099389,0.7738284703801945
False,False,0.0001,0,valid,22,0.5916049480438232,0.7275132275132276,0.7834757834757835,0.7016666666666667,0.7544581618655694
False,False,0.0001,0,train,23,0.509334921836853,0.7336752136752137,0.8153495440729484,0.7242807323452485,0.772359186611481
False,False,0.0001,0,valid,23,0.5858595967292786,0.7164556962025317,0.8062678062678063,0.7,0.7587131367292226
