acc,acc_labels,bce1_loss,bce2_loss,epoch,exp,f1,f1_labels,loss,lr,prec,prec_labels,recall,recall_labels,train_mode,train_type
0.913,"[0.933, 0.893]",0.24651067331433296,0.5901652921491595,0.0,0.0,0.8201221372714824,"[0.8533916849015313, 0.7868525896414337]",0.8366759659639046,0.0001,0.86042762274001,"[0.8944954128440367, 0.8263598326359832]",0.7834250759660817,"[0.8158995815899581, 0.7509505703422054]",train,ynet
0.7457912457912459,"[0.7710437710437711, 0.7205387205387206]",0.7728003859519958,0.4876128822565079,0.0,0.0,0.37556454330974,"[0.4728682170542631, 0.27826086956521695]",1.2604132622480393,0.0001,0.44553952448689293,"[0.45864661654135336, 0.43243243243243246]",0.3465641025641025,"[0.488, 0.20512820512820512]",valid,ynet
0.968,"[0.972, 0.964]",0.17047867768291217,0.5291280168205944,1.0,0.0,0.9357661742479639,"[0.9412997903563936, 0.9302325581395342]",0.5625374241551356,0.0001,0.9459469558574418,"[0.9432773109243697, 0.9486166007905138]",0.9259390362250823,"[0.9393305439330544, 0.9125475285171103]",train,ynet
0.760942760942761,"[0.8063973063973064, 0.7154882154882155]",0.7878834903240204,0.46013219133019445,1.0,0.0,0.35384846727245345,"[0.3502824858757058, 0.3574144486692011]",1.2356180638074874,0.0001,0.5177030913012222,"[0.5961538461538461, 0.4392523364485981]",0.27464102564102566,"[0.248, 0.30128205128205127]",valid,ynet
0.978,"[0.9865, 0.9695]",0.13428423642667373,0.4877672717345888,2.0,0.0,0.9567947055404009,"[0.9719626168224293, 0.9416267942583726]",0.4669411360327877,0.0001,0.956462666110482,"[0.9649484536082474, 0.9479768786127167]",0.9572203573189939,"[0.9790794979079498, 0.935361216730038]",train,ynet
0.7255892255892256,"[0.7407407407407407, 0.7104377104377104]",0.7989245126644771,0.4326842695474625,2.0,0.0,0.400459583671262,"[0.43795620437956156, 0.3629629629629625]",1.1987949788570404,0.0001,0.416254562580949,"[0.40268456375838924, 0.4298245614035088]",0.39705128205128204,"[0.48, 0.3141025641025641]",valid,ynet
0.98175,"[0.987, 0.9765]",0.11525125853689526,0.45502427264825623,3.0,0.0,0.9638707082893474,"[0.9726315789473678, 0.9551098376313271]",0.41494760139664605,0.0001,0.9692532287972933,"[0.9788135593220338, 0.9596928982725528]",0.9585487694290215,"[0.9665271966527197, 0.9505703422053232]",train,ynet
0.7575757575757576,"[0.7929292929292929, 0.7222222222222222]",0.7906347259879112,0.40890360474586485,3.0,0.0,0.478925669455229,"[0.5060240963855416, 0.45182724252491646]",1.1033269703388213,0.0001,0.4885150166852058,"[0.5080645161290323, 0.4689655172413793]",0.46994871794871795,"[0.504, 0.4358974358974359]",valid,ynet
0.984,"[0.9875, 0.9805]",0.1017016495577991,0.4273570851603551,4.0,0.0,0.9682588838744781,"[0.9737670514165787, 0.9627507163323776]",0.3641915485930087,0.0001,0.9721062733609456,"[0.9768421052631578, 0.9673704414587332]",0.9644431010070478,"[0.9707112970711297, 0.9581749049429658]",train,ynet
0.7441077441077442,"[0.7828282828282829, 0.7053872053872053]",0.8077608603239059,0.3863252633810043,4.0,0.0,0.40361512178992565,"[0.3886255924170612, 0.41860465116279016]",1.1722773015499115,0.0001,0.4556134723336006,"[0.47674418604651164, 0.43448275862068964]",0.3659230769230769,"[0.328, 0.40384615384615385]",valid,ynet
