mask_use,freeze_mode,lr,exp,cell_size,prob,train_mode,epoch,loss,prec,recall,acc,f1
True,False,0.0001,0,56,0.2,train,0,1.4298630952835083,0.7355478861087144,0.6477963525835866,0.6643417611159547,0.6888888888888889
True,False,0.0001,0,56,0.2,valid,0,1.762286901473999,0.7566666666666667,0.6467236467236467,0.6716666666666666,0.6973886328725039
True,False,0.0001,0,56,0.2,train,1,1.2720067501068115,0.7345248474280732,0.6401975683890577,0.6608544027898866,0.6841250507511165
True,False,0.0001,0,56,0.2,valid,1,1.5898642539978027,0.7566666666666667,0.6467236467236467,0.6716666666666666,0.6973886328725039
True,False,0.0001,0,56,0.2,train,2,1.4093281030654907,0.7399658411614005,0.6584346504559271,0.6713164777680907,0.6968234821069562
True,False,0.0001,0,56,0.2,valid,2,1.5454598665237427,0.7566666666666667,0.6467236467236467,0.6716666666666666,0.6973886328725039
True,False,0.0001,0,56,0.2,train,3,1.2430262565612793,0.7569875776397516,0.7408814589665653,0.7149084568439407,0.7488479262672811
True,False,0.0001,0,56,0.2,valid,3,1.510420322418213,0.75,0.6495726495726496,0.6683333333333333,0.6961832061068703
True,False,0.0001,0,56,0.2,train,4,1.2422137260437012,0.77683711479851,0.871580547112462,0.7826939843068875,0.8214861235452104
True,False,0.0001,0,56,0.2,valid,4,1.8351107835769653,0.7208588957055214,0.6695156695156695,0.655,0.6942392909896603
True,False,0.0001,0,56,0.2,train,5,1.29826021194458,0.776474421635712,0.9053951367781155,0.796207497820401,0.8359936853183653
True,False,0.0001,0,56,0.2,valid,5,1.5552160739898682,0.73125,0.6666666666666666,0.6616666666666666,0.6974664679582712
True,False,0.0001,0,56,0.2,train,6,1.2500011920928955,0.7759771210676835,0.9278115501519757,0.8049258936355711,0.8451289150372037
True,False,0.0001,0,56,0.2,valid,6,1.880957007408142,0.7016574585635359,0.7236467236467237,0.6583333333333333,0.7124824684431978
True,False,0.0001,0,56,0.2,train,7,1.0994715690612793,0.7770839837652201,0.9456686930091185,0.8132083696599826,0.853127677806341
True,False,0.0001,0,56,0.2,valid,7,1.7667758464813232,0.7005347593582888,0.7464387464387464,0.665,0.7227586206896551
True,False,0.0001,0,56,0.2,train,8,1.0752906799316406,0.777195685670262,0.9582066869300911,0.8184394071490846,0.8582610175259486
True,False,0.0001,0,56,0.2,valid,8,1.7625552415847778,0.7081081081081081,0.7464387464387464,0.6716666666666666,0.7267683772538142
True,False,0.0001,0,56,0.2,train,9,1.2451415061950684,0.7760968229954615,0.9745440729483282,0.824106364428945,0.8640727640222335
True,False,0.0001,0,56,0.2,valid,9,1.5964453220367432,0.6986666666666667,0.7464387464387464,0.6633333333333333,0.721763085399449
True,False,0.0001,0,56,0.2,train,10,1.0920836925506592,0.7768318637883855,0.9707446808510638,0.8232345248474281,0.8630298935990541
True,False,0.0001,0,56,0.2,valid,10,1.8558521270751953,0.7011173184357542,0.7150997150997151,0.655,0.7080394922425952
True,False,0.0001,0,56,0.2,train,11,1.0814237594604492,0.7784485360700272,0.9798632218844985,0.8284655623365301,0.8676198486122793
True,False,0.0001,0,56,0.2,valid,11,1.848785161972046,0.7142857142857143,0.698005698005698,0.66,0.7060518731988473
True,False,0.0001,0,56,0.2,train,12,1.0047988891601562,0.7823849878934624,0.9821428571428571,0.8330427201394943,0.8709568733153639
True,False,0.0001,0,56,0.2,valid,12,1.7149901390075684,0.7146892655367232,0.7207977207977208,0.6683333333333333,0.7177304964539006
True,False,0.0001,0,56,0.2,train,13,0.9570327401161194,0.7798798798798798,0.9867021276595744,0.8326068003487358,0.8711841663871184
True,False,0.0001,0,56,0.2,valid,13,2.1251139640808105,0.7210682492581603,0.6923076923076923,0.6633333333333333,0.7063953488372092
True,False,0.0001,0,56,0.2,train,14,1.0850882530212402,0.7825824009676444,0.9832826747720365,0.833696599825632,0.8715271931301566
True,False,0.0001,0,56,0.2,valid,14,1.9512848854064941,0.7209302325581395,0.7065527065527065,0.6683333333333333,0.7136690647482015
True,False,0.0001,0,56,0.2,train,15,0.9706031084060669,0.7818620066285026,0.9859422492401215,0.8341325196163906,0.8721223323811125
True,False,0.0001,0,56,0.2,valid,15,1.9233789443969727,0.7130434782608696,0.7008547008547008,0.66,0.7068965517241379
True,False,0.0001,0,56,0.2,train,16,0.9296377897262573,0.7806490384615384,0.9870820668693009,0.8334786399302528,0.8718120805369128
True,False,0.0001,0,56,0.2,valid,16,1.8035378456115723,0.7183908045977011,0.7122507122507122,0.6683333333333333,0.7153075822603718
True,False,0.0001,0,56,0.2,train,17,0.9978512525558472,0.7855195395334748,0.9851823708206687,0.8371839581517001,0.8740940502275409
True,False,0.0001,0,56,0.2,valid,17,1.9071109294891357,0.7398119122257053,0.6723646723646723,0.67,0.7044776119402986
True,False,0.0001,0,56,0.2,train,18,1.0374103784561157,0.7833935018050542,0.9893617021276596,0.8369659982563208,0.8744123572867696
True,False,0.0001,0,56,0.2,valid,18,1.954009771347046,0.7323076923076923,0.6780626780626781,0.6666666666666666,0.7041420118343196
True,False,0.0001,0,56,0.2,train,19,1.0513560771942139,0.7816161009312106,0.9886018237082067,0.8350043591979076,0.8730078845831237
True,False,0.0001,0,56,0.2,valid,19,2.059039354324341,0.7423312883435583,0.6894586894586895,0.6783333333333333,0.7149187592319055
True,False,0.0001,0,56,0.2,train,20,1.0173448324203491,0.7827524038461539,0.9897416413373861,0.8365300784655624,0.8741610738255033
True,False,0.0001,0,56,0.2,valid,20,2.077305316925049,0.7491961414790996,0.6638176638176638,0.6733333333333333,0.7039274924471299
