acc,acc_labels,cell,cell_size,epoch,exp,f1,f1_labels,freeze_mode,loss,lr,mask_use,model,prec,prec_labels,prob,recall,recall_labels,train_mode
0.7481052631578947,"[0.6926315789473684, 0.6642105263157895, 0.8878947368421053, 0.54, 0.9557894736842105]",1.0,14.0,0.0,0.0,0.2120905946199557,"[0.1933701657458559, 0.194444444444444, 0.036199095022623994, 0.6364392678868547, 0.0]",0.0,0.5993737823476917,0.0001,1.0,vgg16,0.23666365225779223,"[0.2631578947368421, 0.2646048109965636, 0.05555555555555555, 0.6, 0.0]",0.2,0.20219349372203746,"[0.15283842794759825, 0.1536926147704591, 0.026845637583892617, 0.6775907883082374, 0.0]",train
0.772622478386167,"[0.7593659942363112, 0.6858789625360231, 0.9394812680115274, 0.5115273775216138, 0.9668587896253602]",1.0,14.0,0.0,0.0,0.16910481805102268,"[0.05649717514124264, 0.21014492753623146, 0.0, 0.5788819875776392, 0.0]",0.0,0.48844206108034943,0.0001,1.0,vgg16,0.2056846267127673,"[0.15625, 0.30526315789473685, 0.0, 0.5669099756690997, 0.0]",0.2,0.15721486229429246,"[0.034482758620689655, 0.16022099447513813, 0.0, 0.5913705583756346, 0.0]",valid
0.7638947368421053,"[0.7426315789473684, 0.6594736842105263, 0.9194736842105263, 0.5389473684210526, 0.9589473684210527]",1.0,14.0,1.0,0.0,0.1716929046429872,"[0.06857142857142835, 0.1757961783439486, 0.0, 0.614096916299559, 0.0]",0.0,0.5033595718443393,0.0001,1.0,vgg16,0.22449642456883961,"[0.26865671641791045, 0.24295774647887325, 0.0, 0.6108676599474145, 0.0]",0.2,0.15887727139120872,"[0.039301310043668124, 0.1377245508982036, 0.0, 0.6173604960141719, 0.0]",train
0.7682997118155619,"[0.776657060518732, 0.6642651296829971, 0.9394812680115274, 0.4942363112391931, 0.9668587896253602]",1.0,14.0,1.0,0.0,0.1701932180182096,"[0.12429378531073418, 0.16487455197132572, 0.0, 0.5617977528089881, 0.0]",0.0,0.4829840083345235,0.0001,1.0,vgg16,0.22625388607531463,"[0.34375, 0.23469387755102042, 0.0, 0.5528255528255528, 0.0]",0.2,0.15479997640353055,"[0.07586206896551724, 0.1270718232044199, 0.0, 0.5710659898477157, 0.0]",valid
0.761157894736842,"[0.7431578947368421, 0.6647368421052632, 0.92, 0.5189473684210526, 0.9589473684210527]",1.0,14.0,2.0,0.0,0.17363013933325794,"[0.0895522388059699, 0.18018018018017973, 0.0, 0.5984182776801401, 0.0]",0.0,0.5112747930382427,0.0001,1.0,vgg16,0.23100765022223646,"[0.3076923076923077, 0.2536231884057971, 0.0, 0.5937227550130776, 0.0]",0.2,0.15906219362806834,"[0.05240174672489083, 0.13972055888223553, 0.0, 0.6031886625332152, 0.0]",train
0.7792507204610951,"[0.770893371757925, 0.6974063400576369, 0.9423631123919308, 0.5201729106628242, 0.9654178674351584]",1.0,14.0,2.0,0.0,0.18547546064665976,"[0.07017543859649097, 0.2222222222222218, 0.04761904761904757, 0.5873605947955385, 0.0]",0.0,0.48724532577631285,0.0001,1.0,vgg16,0.4283395522778495,"[0.23076923076923078, 0.33707865168539325, 0.9999999999999989, 0.5738498789346247, 0.0]",0.2,0.16660765064809033,"[0.041379310344827586, 0.16574585635359115, 0.024390243902439025, 0.6015228426395939, 0.0]",valid
0.7654736842105263,"[0.73, 0.6857894736842105, 0.9205263157894736, 0.5326315789473685, 0.958421052631579]",1.0,14.0,3.0,0.0,0.16905528345270193,"[0.048237476808905125, 0.18995929443690593, 0.0, 0.6070796460176986, 0.0]",0.0,0.5075409720602788,0.0001,1.0,vgg16,0.21272937581139412,"[0.16049382716049382, 0.2966101694915254, 0.0, 0.6065428824049514, 0.0]",0.2,0.15514443977084647,"[0.028384279475982533, 0.13972055888223553, 0.0, 0.6076173604960142, 0.0]",train
0.7818443804034582,"[0.7622478386167147, 0.6844380403458213, 0.9394812680115274, 0.5561959654178674, 0.9668587896253602]",1.0,14.0,3.0,0.0,0.19209402204702186,"[0.10810810810810775, 0.22614840989399246, 0.0, 0.6262135922330091, 0.0]",0.0,0.47140034132724185,0.0001,1.0,vgg16,0.23274509803921567,"[0.25, 0.3137254901960784, 0.0, 0.6, 0.0]",0.2,0.18011668647545145,"[0.06896551724137931, 0.17679558011049723, 0.0, 0.6548223350253807, 0.0]",valid
0.764842105263158,"[0.738421052631579, 0.6842105263157895, 0.9210526315789473, 0.5210526315789473, 0.9594736842105264]",1.0,14.0,4.0,0.0,0.17905741165397032,"[0.11408199643493731, 0.1803278688524586, 0.0, 0.6008771929824556, 0.0]",0.0,0.5101111290878371,0.0001,1.0,vgg16,0.23830571257460495,"[0.3106796116504854, 0.2857142857142857, 0.0, 0.5951346655082537, 0.0]",0.2,0.16166742869655,"[0.06986899563318777, 0.1317365269461078, 0.0, 0.6067316209034543, 0.0]",train
0.7855907780979827,"[0.7680115273775217, 0.6858789625360231, 0.9394812680115274, 0.5677233429394812, 0.9668587896253602]",1.0,14.0,4.0,0.0,0.17463209071176014,"[0.10055865921787678, 0.13492063492063452, 0.0, 0.6376811594202894, 0.0]",0.0,0.47319419510501753,0.0001,1.0,vgg16,0.22248748658936543,"[0.2647058823529412, 0.23943661971830985, 0.0, 0.6082949308755761, 0.0]",0.2,0.16520847577445258,"[0.06206896551724138, 0.09392265193370165, 0.0, 0.6700507614213198, 0.0]",valid
