acc,acc_labels,bce1_loss,bce2_loss,epoch,exp,f1,f1_labels,jaccard,loss,lr,prec,prec_labels,recall,recall_labels,train_mode,train_type
0.79925,"[0.8105, 0.788]",0.4874454437941313,0.474905162602663,0.0,0.0,0.6473097721844793,"[0.6576332429990961, 0.6369863013698625]",0.0422042143999364,0.9623506051301957,0.0001,0.5790677978693372,"[0.5786963434022258, 0.5794392523364486]",0.734365305375694,"[0.7615062761506276, 0.7072243346007605]",train,ynet
0.7230639730639731,"[0.7845117845117845, 0.6616161616161617]",0.6251335874199867,0.4380301371216774,0.0,0.0,0.45013618269432176,"[0.5038759689922475, 0.39639639639639596]",0.08500714104162378,1.0631637305021286,0.0001,0.43080158022174075,"[0.48872180451127817, 0.3728813559322034]",0.4715384615384616,"[0.52, 0.4230769230769231]",valid,ynet
0.82925,"[0.833, 0.8255]",0.4490576941519976,0.44269241727888586,1.0,0.0,0.6466927236708244,"[0.6484210526315785, 0.6449643947100705]",0.03224494931728516,0.821149614751339,0.0001,0.6730983199198902,"[0.652542372881356, 0.6936542669584245]",0.6235065306966607,"[0.6443514644351465, 0.6026615969581749]",train,ynet
0.7011784511784511,"[0.7407407407407407, 0.6616161616161617]",0.6330836303532124,0.4135255607465903,1.0,0.0,0.41947779683628683,"[0.515723270440251, 0.3232323232323227]",0.05862030032742462,1.0300546596447626,0.0001,0.38264799911806857,"[0.42487046632124353, 0.3404255319148936]",0.48184615384615387,"[0.656, 0.3076923076923077]",valid,ynet
0.8454999999999999,"[0.869, 0.822]",0.4232827165474494,0.41520682781934737,2.0,0.0,0.6727114463948928,"[0.7101769911504417, 0.6352459016393438]",0.004763947351468386,0.7319684118032456,0.0001,0.7212050078247261,"[0.7535211267605634, 0.6888888888888889]",0.630450864661056,"[0.6715481171548117, 0.5893536121673004]",train,ynet
0.7601010101010102,"[0.7777777777777778, 0.7424242424242424]",0.6108761037389437,0.3882563860880004,2.0,0.0,0.44452213035019406,"[0.4843749999999995, 0.40466926070038867]",0.008868680912884506,0.9041790932416915,0.0001,0.49406696394830324,"[0.4732824427480916, 0.5148514851485149]",0.41466666666666663,"[0.496, 0.3333333333333333]",valid,ynet
0.84325,"[0.861, 0.8255]",0.4112410993129015,0.39021446119993924,3.0,0.0,0.6668445864780937,"[0.6991341991341985, 0.634554973821989]",0.01065832724189579,0.6903536057472229,0.0001,0.7152544764652388,"[0.7242152466367713, 0.7062937062937062]",0.6258889224748239,"[0.6757322175732218, 0.5760456273764258]",train,ynet
0.7567340067340067,"[0.803030303030303, 0.7104377104377104]",0.59522685687989,0.36564672328531744,3.0,0.0,0.4565621100890805,"[0.5145228215767629, 0.3986013986013981]",0.11244667218193909,0.8460968474547068,0.0001,0.48647214854111404,"[0.5344827586206896, 0.43846153846153846]",0.4306923076923077,"[0.496, 0.36538461538461536]",valid,ynet
0.85775,"[0.876, 0.8395]",0.39842417660355567,0.36718746411800385,4.0,0.0,0.6984274819924621,"[0.718820861678004, 0.6780341023069202]",0.011964153516462107,0.6222359609603881,0.0001,0.75113777301297,"[0.7846534653465347, 0.7176220806794055]",0.6528827338243951,"[0.6631799163179917, 0.6425855513307985]",train,ynet
0.7668350168350169,"[0.8249158249158249, 0.7087542087542088]",0.5883743936320146,0.3433685140311718,4.0,0.0,0.4621599314307477,"[0.5229357798165132, 0.4013840830449822]",0.08741916077605652,0.8152202198902766,0.0001,0.5244967256851807,"[0.6129032258064516, 0.43609022556390975]",0.4138974358974359,"[0.456, 0.3717948717948718]",valid,ynet
0.8505,"[0.879, 0.822]",0.3911494486282269,0.34595731608569624,5.0,0.0,0.685726720828497,"[0.73695652173913, 0.6344969199178639]",0.015330865831127978,0.5945823878049851,0.0001,0.7283502343244991,"[0.7669683257918553, 0.6897321428571429]",0.6483287462016959,"[0.7092050209205021, 0.5874524714828897]",train,ynet
0.76010101010101,"[0.8265993265993266, 0.6936026936026936]",0.5965858831587765,0.32313747906850443,5.0,0.0,0.425256825218125,"[0.4491978609625664, 0.4013157894736836]",0.007499077482334928,0.8596256439884503,0.0001,0.5447907585004359,"[0.6774193548387096, 0.41216216216216217]",0.3635128205128205,"[0.336, 0.391025641025641]",valid,ynet
0.85975,"[0.883, 0.8365]",0.3843792136865003,0.3263430107278483,6.0,0.0,0.7038867578668653,"[0.7370786516853928, 0.6706948640483378]",0.010876484299094942,0.5524149829149246,0.0001,0.7545893016777199,"[0.7961165048543689, 0.7130620985010707]",0.659636158263996,"[0.6861924686192469, 0.6330798479087453]",train,ynet
0.7617845117845118,"[0.7794612794612794, 0.7441077441077442]",0.5964930595386596,0.3046869816879431,6.0,0.0,0.45546630968317664,"[0.4738955823293167, 0.43703703703703656]",0.00944437283265162,0.7899201159675916,0.0001,0.49667515563101305,"[0.47580645161290325, 0.5175438596491229]",0.4251025641025641,"[0.472, 0.3782051282051282]",valid,ynet
0.8714999999999999,"[0.9035, 0.8395]",0.37606831978075206,0.3082941646873951,7.0,0.0,0.733228986462366,"[0.7890710382513656, 0.6773869346733663]",0.01863551157009585,0.499844304472208,0.0001,0.7723185315657737,"[0.8260869565217391, 0.7185501066098081]",0.6979572680847002,"[0.7552301255230126, 0.6406844106463878]",train,ynet
