mask_use,aux,aux_batch,freeze_mode,lr,exp,cell,cell_size,prob,train_mode,epoch,acc,f1,loss,bce_loss,std_loss,prec,recall
True,True,10,False,0.0001,0,False,[56],0.1,train,0,0.6507192676547515,0.7221403429681132,6.841696652122166,0.6380859203960585,6.203610729134601,0.6641788664561605,0.7911854103343465
True,True,10,False,0.0001,0,False,[56],0.1,valid,0,0.6816666666666666,0.7298444130127298,0.6009834657112757,0.6009834657112757,0.0,0.7247191011235955,0.7350427350427351
True,True,10,False,0.0001,0,False,[56],0.1,train,1,0.6543374019180471,0.7215129857586878,6.85066761555879,0.6377251983984656,6.212942399149355,0.6707806837104515,0.780547112462006
True,True,10,False,0.0001,0,False,[56],0.1,valid,1,0.6666666666666666,0.7041420118343196,0.6040752281745275,0.6040752281745275,0.0,0.7323076923076923,0.6780626780626781
True,True,10,False,0.0001,0,False,[56],0.1,train,2,0.6522231909328684,0.7127219041446115,6.860565410489621,0.6394971692043802,6.221068238175434,0.6773321470125249,0.7520136778115502
True,True,10,False,0.0001,0,False,[56],0.1,valid,2,0.6633333333333333,0.7029411764705882,0.6011722981929779,0.6011722981929779,0.0,0.7264437689969605,0.6809116809116809
True,True,10,False,0.0001,0,False,[56],0.1,train,3,0.6582606800348736,0.7137249173802699,6.861436391913372,0.6359526547400848,6.225483728491741,0.6870188758831594,0.7425911854103343
True,True,10,False,0.0001,0,False,[56],0.1,valid,3,0.665,0.7022222222222222,0.6071095506350199,0.6071095506350199,0.0,0.7314814814814815,0.6752136752136753
True,True,10,False,0.0001,0,False,[56],0.1,train,4,0.6576068003487359,0.7108861691359162,6.853879341871842,0.634755865128144,6.219123479594355,0.6893806889166518,0.7337765957446809
True,True,10,False,0.0001,0,False,[56],0.1,valid,4,0.6783333333333333,0.7097744360902255,0.606975993514061,0.606975993514061,0.0,0.7515923566878981,0.6723646723646723
True,True,10,False,0.0001,0,False,[56],0.1,train,5,0.6545771578029642,0.7068767802315687,6.857521658358366,0.6335084503111632,6.224013217635776,0.6887118863980394,0.7260258358662613
True,True,10,False,0.0001,0,False,[56],0.1,valid,5,0.6716666666666666,0.7019667170953101,0.6052990168333053,0.6052990168333053,0.0,0.7483870967741936,0.6609686609686609
True,True,10,False,0.0001,0,False,[56],0.1,train,6,0.6608326068003487,0.7054347208813675,6.858916093992151,0.6339774708385053,6.224938606179279,0.7029463915192213,0.7079407294832827
True,True,10,False,0.0001,0,False,[56],0.1,valid,6,0.6783333333333333,0.7123695976154992,0.5990062991778056,0.5990062991778056,0.0,0.746875,0.6809116809116809
True,True,10,False,0.0001,0,False,[56],0.1,train,7,0.6559285091543156,0.7072437965950816,6.860555845758189,0.6357883563508158,6.224767480725827,0.6908195058329106,0.7244680851063829
True,True,10,False,0.0001,0,False,[56],0.1,valid,7,0.6733333333333333,0.7065868263473054,0.6072277774413427,0.6072277774413427,0.0,0.7444794952681388,0.6723646723646723
True,True,10,False,0.0001,0,False,[56],0.1,train,8,0.6569965126416739,0.7061196287512371,6.840319334942362,0.6324180801277576,6.207901245614757,0.6943332476403834,0.7183130699088146
True,True,10,False,0.0001,0,False,[56],0.1,valid,8,0.67,0.7009063444108762,0.6087427963813146,0.6087427963813146,0.0,0.7459807073954984,0.6609686609686609
True,True,10,False,0.0001,0,False,[56],0.1,train,9,0.6619006102877071,0.7100669133864156,6.842313725015392,0.6323273682075998,6.209986361213352,0.6988080347288647,0.72169452887538
True,True,10,False,0.0001,0,False,[56],0.1,valid,9,0.6833333333333333,0.7164179104477612,0.6053976138432821,0.6053976138432821,0.0,0.7523510971786834,0.6837606837606838
True,True,10,False,0.0001,0,False,[56],0.1,train,10,0.656952920662598,0.7077305899611892,6.869533917178279,0.6350144304659056,6.23451949617137,0.6921651955976899,0.7240121580547112
True,True,10,False,0.0001,0,False,[56],0.1,valid,10,0.6716666666666666,0.7019667170953101,0.6056030203898748,0.6056030203898748,0.0,0.7483870967741936,0.6609686609686609
True,True,10,False,0.0001,0,False,[56],0.1,train,11,0.6620095902353967,0.706667927740471,6.852254029978877,0.632877995527309,6.21937604157821,0.7036730080994538,0.7096884498480243
True,True,10,False,0.0001,0,False,[56],0.1,valid,11,0.6833333333333333,0.7164179104477612,0.6040895114342372,0.6040895114342372,0.0,0.7523510971786834,0.6837606837606838
True,True,10,False,0.0001,0,False,[56],0.1,train,12,0.6585658238884046,0.7065325315198862,6.860347509384155,0.6341409031463706,6.226206605330757,0.6968845855353117,0.716451367781155
True,True,10,False,0.0001,0,False,[56],0.1,valid,12,0.67,0.7044776119402986,0.6102005690336227,0.6102005690336227,0.0,0.7398119122257053,0.6723646723646723
True,True,10,False,0.0001,0,False,[56],0.1,train,13,0.6581517000871839,0.7078350285011735,6.848134049125339,0.6327044976794202,6.215429549631865,0.6943571376361377,0.7218465045592705
True,True,10,False,0.0001,0,False,[56],0.1,valid,13,0.6633333333333333,0.6930091185410334,0.614560870329539,0.614560870329539,0.0,0.742671009771987,0.6495726495726496
True,True,10,False,0.0001,0,False,[56],0.1,train,14,0.6576068003487359,0.7018429593637899,6.853344268384187,0.635649683294089,6.217694572780443,0.7012174308795085,0.7024696048632219
True,True,10,False,0.0001,0,False,[56],0.1,valid,14,0.67,0.7,0.606038581331571,0.606038581331571,0.0,0.7475728155339806,0.6581196581196581
True,True,10,False,0.0001,0,False,[56],0.1,train,15,0.6571490845684395,0.7022525080446715,6.8377205620641295,0.6327839692001758,6.204936582109203,0.6997359486986043,0.7047872340425532
True,True,10,False,0.0001,0,False,[56],0.1,valid,15,0.6766666666666666,0.706060606060606,0.6054378817478816,0.6054378817478816,0.0,0.7540453074433657,0.6638176638176638
