acc,acc_labels,aux,aux_batch,bce_loss,cell,cell_size,epoch,exp,f1,f1_labels,freeze_mode,loss,lr,mask_use,prec,prec_labels,prob,recall,recall_labels,std_loss,train_mode
0.5385789014821273,"[0.6094158674803836, 0.46774193548387094]",0.0,4.0,11.981782311978547,0.0,[56],0.0,0.0,0.35515681922867504,"[0.27272727272727226, 0.4375863657300778]",0.0,11.981782311978547,0.1,0.0,0.42305961601396314,"[0.2696629213483146, 0.5764563106796117]",0.1,0.3142487776156465,"[0.27586206896551724, 0.3526354862657758]",0.0,train
0.585,"[0.7566666666666667, 0.41333333333333333]",0.0,4.0,4.519070307413737,0.0,[56],0.0,0.0,0.0,"[0.0, 0.0]",0.0,4.519070307413737,0.1,0.0,0.0,"[0.0, 0.0]",0.1,0.0,"[0.0, 0.0]",0.0,valid
0.5472972972972973,"[0.6024411508282476, 0.492153443766347]",0.0,4.0,9.508389151614645,0.0,[56],1.0,0.0,0.37959120946672764,"[0.2962962962962957, 0.46288612263715956]",0.0,9.508389151614645,0.1,0.0,0.44509078931990353,"[0.2794759825327511, 0.610705596107056]",0.1,0.3439754828281055,"[0.31527093596059114, 0.3726800296956199]",0.0,train
0.6833333333333333,"[0.7566666666666667, 0.61]",0.0,4.0,1.7379088004430134,0.0,[56],1.0,0.0,0.33704735376044537,"[0.0, 0.6740947075208907]",0.0,1.7379088004430134,0.1,0.0,0.33060109289617484,"[0.0, 0.6612021857923497]",0.1,0.34375,"[0.0, 0.6875]",0.0,valid
0.5394507410636442,"[0.6002615518744551, 0.47863993025283347]",0.0,4.0,8.253312463345734,0.0,[56],2.0,0.0,0.37181856439719635,"[0.2785208497246257, 0.465116279069767]",0.0,8.253312463345734,0.1,0.0,0.4261492426739709,"[0.2673716012084592, 0.5849268841394826]",0.1,0.3383417263687596,"[0.29064039408866993, 0.3860430586488493]",0.0,train
0.32833333333333337,"[0.24333333333333335, 0.41333333333333333]",0.0,4.0,21.55479685465495,0.0,[56],2.0,0.0,0.1957104557640749,"[0.3914209115281498, 0.0]",0.0,21.55479685465495,0.1,0.0,0.12166666666666667,"[0.24333333333333335, 0.0]",0.1,0.5,"[1.0, 0.0]",0.0,valid
0.5363993025283348,"[0.5928509154315605, 0.479947689625109]",0.0,4.0,8.265649971754655,0.0,[56],3.0,0.0,0.3702058596821237,"[0.29349470499243524, 0.4469170143718122]",0.0,8.265649971754655,0.1,0.0,0.4335757449829446,"[0.2720897615708275, 0.5950617283950618]",0.1,0.3381936139788839,"[0.3185550082101806, 0.3578322197475872]",0.0,train
0.32833333333333337,"[0.24333333333333335, 0.41333333333333333]",0.0,4.0,14.388606707255045,0.0,[56],3.0,0.0,0.1957104557640749,"[0.3914209115281498, 0.0]",0.0,14.388606707255045,0.1,0.0,0.12166666666666667,"[0.24333333333333335, 0.0]",0.1,0.5,"[1.0, 0.0]",0.0,valid
0.5342197035745423,"[0.5989537925021796, 0.46948561464690497]",0.0,4.0,8.040610696958458,0.0,[56],4.0,0.0,0.36474302261543057,"[0.2890262751159191, 0.4404597701149421]",0.0,8.040610696958458,0.1,0.0,0.4257475580944321,"[0.272992700729927, 0.5785024154589372]",0.1,0.33133290179599983,"[0.3070607553366174, 0.3556050482553823]",0.0,train
0.3383333333333334,"[0.24333333333333335, 0.43333333333333335]",0.0,4.0,17.97794469197591,0.0,[56],4.0,0.0,0.2337539340249444,"[0.3914209115281498, 0.07608695652173904]",0.0,17.97794469197591,0.1,0.0,0.5591666666666666,"[0.24333333333333335, 0.8749999999999998]",0.1,0.5198863636363636,"[1.0, 0.03977272727272727]",0.0,valid
