acc,acc_labels,epoch,exp,f1,f1_labels,loss,lr,model,prec,prec_labels,recall,recall_labels,train_mode
0.797111111111111,"[0.7644444444444445, 0.7322222222222222, 0.9161111111111111, 0.6122222222222222, 0.9605555555555556]",1.0,4.0,0.14855208044318496,"[0.01395348837209295, 0.008230452674897068, 0.0, 0.7205764611689347, 0.0]",0.45440183786882293,0.0001,vgg16,0.19449643974538786,"[0.1875, 0.15384615384615383, 0.0, 0.6311360448807855, 0.0]",0.1702053890854579,"[0.007246376811594203, 0.004228329809725159, 0.0, 0.8395522388059702, 0.0]",train
0.8055415617128464,"[0.7619647355163728, 0.7367758186397985, 0.9269521410579346, 0.6448362720403022, 0.9571788413098237]",1.0,4.0,0.14303030303030292,"[0.0, 0.0, 0.0, 0.7151515151515146, 0.0]",0.43868912756443024,0.0001,vgg16,0.1313543599257885,"[0.0, 0.0, 0.0, 0.6567717996289425, 0.0]",0.15698447893569845,"[0.0, 0.0, 0.0, 0.7849223946784922, 0.0]",valid
0.8104444444444445,"[0.7694444444444445, 0.7394444444444445, 0.9266666666666666, 0.6533333333333333, 0.9633333333333334]",2.0,4.0,0.1540558079169369,"[0.0, 0.028985507246376774, 0.0, 0.7412935323383079, 0.0]",0.42950375427802406,0.0001,vgg16,0.27343283582089545,"[0.0, 0.6999999999999998, 0.0, 0.6671641791044776, 0.0]",0.169750875642927,"[0.0, 0.014799154334038054, 0.0, 0.8339552238805971, 0.0]",train
0.8075566750629724,"[0.7619647355163728, 0.7367758186397985, 0.9269521410579346, 0.654911838790932, 0.9571788413098237]",2.0,4.0,0.1451999999999999,"[0.0, 0.0, 0.0, 0.7259999999999995, 0.0]",0.43023087829351425,0.0001,vgg16,0.13224043715846995,"[0.0, 0.0, 0.0, 0.6612021857923497, 0.0]",0.16097560975609757,"[0.0, 0.0, 0.0, 0.8048780487804879, 0.0]",valid
0.8113333333333334,"[0.77, 0.7361111111111112, 0.9266666666666666, 0.6605555555555556, 0.9633333333333334]",3.0,4.0,0.15427333979119567,"[0.0, 0.02862985685071568, 0.0, 0.7427368421052626, 0.0]",0.4210642452041308,0.0001,vgg16,0.22287989255564084,"[0.0, 0.4375, 0.0, 0.6768994627782041, 0.0]",0.16751206967277774,"[0.0, 0.014799154334038054, 0.0, 0.8227611940298507, 0.0]",train
0.810831234256927,"[0.7619647355163728, 0.7367758186397985, 0.9269521410579346, 0.6712846347607053, 0.9571788413098237]",3.0,4.0,0.13923166472642595,"[0.0, 0.0, 0.0, 0.6961583236321298, 0.0]",0.42867572233080864,0.0001,vgg16,0.14656862745098037,"[0.0, 0.0, 0.0, 0.7328431372549019, 0.0]",0.13259423503325943,"[0.0, 0.0, 0.0, 0.6629711751662971, 0.0]",valid
0.8138888888888889,"[0.7677777777777778, 0.7372222222222222, 0.9266666666666666, 0.6744444444444444, 0.9633333333333334]",4.0,4.0,0.15874569746891415,"[0.0, 0.048289738430583415, 0.0, 0.7454387489139873, 0.0]",0.4145963004893727,0.0001,vgg16,0.2395121951219512,"[0.0, 0.5, 0.0, 0.697560975609756, 0.0]",0.1651486226373418,"[0.0, 0.02536997885835095, 0.0, 0.8003731343283582, 0.0]",train
0.810831234256927,"[0.7619647355163728, 0.7355163727959698, 0.9269521410579346, 0.672544080604534, 0.9571788413098237]",4.0,4.0,0.15468171398342437,"[0.0, 0.018691588785046682, 0.0, 0.7547169811320751, 0.0]",0.42665794864296913,0.0001,vgg16,0.21136288998357963,"[0.0, 0.3999999999999999, 0.0, 0.6568144499178982, 0.0]",0.1792974676158245,"[0.0, 0.009569377990430622, 0.0, 0.8869179600886918, 0.0]",valid
0.817,"[0.7727777777777778, 0.7366666666666667, 0.9266666666666666, 0.685, 0.9638888888888889]",5.0,4.0,0.17363002459376595,"[0.028503562945368138, 0.05199999999999989, 0.0, 0.7577958137548051, 0.029850746268656685]",0.4099259193158812,0.0001,vgg16,0.6075199819880668,"[0.857142857142857, 0.48148148148148145, 0.0, 0.6989755713159969, 0.9999999999999989]",0.1769107571344491,"[0.014492753623188406, 0.02748414376321353, 0.0, 0.8274253731343284, 0.015151515151515152]",train
0.8128463476070529,"[0.7619647355163728, 0.7317380352644837, 0.9269521410579346, 0.6863979848866498, 0.9571788413098237]",5.0,4.0,0.14639397201291698,"[0.0, 0.0, 0.0, 0.731969860064585, 0.0]",0.4233115669339895,0.0001,vgg16,0.1422594142259414,"[0.0, 0.0, 0.0, 0.7112970711297071, 0.0]",0.15077605321507762,"[0.0, 0.0, 0.0, 0.753880266075388, 0.0]",valid
0.8160000000000001,"[0.7688888888888888, 0.7366666666666667, 0.9266666666666666, 0.6827777777777778, 0.965]",6.0,4.0,0.18400936005222243,"[0.01886792452830184, 0.06324110671936746, 0.0, 0.7509812472743125, 0.08695652173913034]",0.4095734185228745,0.0001,vgg16,0.5180016380016379,"[0.3999999999999999, 0.48484848484848486, 0.0, 0.7051597051597052, 0.9999999999999997]",0.17842293229443673,"[0.00966183574879227, 0.03382663847780127, 0.0, 0.8031716417910447, 0.045454545454545456]",train
0.8103274559193954,"[0.7619647355163728, 0.7342569269521411, 0.9269521410579346, 0.6712846347607053, 0.9571788413098237]",6.0,4.0,0.153138438473981,"[0.0, 0.00938967136150231, 0.0, 0.7563025210084028, 0.0]",0.4242940302938223,0.0001,vgg16,0.18064516129032254,"[0.0, 0.24999999999999994, 0.0, 0.6532258064516129, 0.0]",0.18055782471700316,"[0.0, 0.004784688995215311, 0.0, 0.8980044345898004, 0.0]",valid
0.8142222222222223,"[0.7716666666666666, 0.7316666666666667, 0.9266666666666666, 0.6761111111111111, 0.965]",7.0,4.0,0.18359663186008163,"[0.03294117647058819, 0.04733727810650874, 0.0, 0.7507481829841808, 0.08695652173913034]",0.40512766564885777,0.0001,vgg16,0.5364560691177525,"[0.6363636363636362, 0.35294117647058826, 0.0, 0.6929755327545383, 0.9999999999999997]",0.1813525175239103,"[0.016908212560386472, 0.02536997885835095, 0.0, 0.8190298507462687, 0.045454545454545456]",train
0.8141057934508815,"[0.7619647355163728, 0.7342569269521411, 0.9269521410579346, 0.690176322418136, 0.9571788413098237]",7.0,4.0,0.1486430062630479,"[0.0, 0.0, 0.0, 0.7432150313152396, 0.0]",0.4204356838017702,0.0001,vgg16,0.14043392504930968,"[0.0, 0.0, 0.0, 0.7021696252465484, 0.0]",0.15787139689578714,"[0.0, 0.0, 0.0, 0.7893569844789357, 0.0]",valid
0.8178888888888889,"[0.7722222222222223, 0.7377777777777778, 0.9266666666666666, 0.6883333333333334, 0.9644444444444444]",8.0,4.0,0.19348710443452619,"[0.055299539170506826, 0.07086614173228334, 0.0, 0.7555555555555551, 0.08571428571428562]",0.40449226324756943,0.0001,vgg16,0.5146396449012965,"[0.6, 0.5142857142857142, 0.0, 0.7089125102207686, 0.7499999999999999]",0.18425273554097332,"[0.028985507246376812, 0.03805496828752643, 0.0, 0.808768656716418, 0.045454545454545456]",train
0.8166246851385391,"[0.7632241813602015, 0.7342569269521411, 0.9269521410579346, 0.7002518891687658, 0.9584382871536524]",8.0,4.0,0.16965476481902417,"[0.010526315789473672, 0.018604651162790642, 0.0, 0.7619999999999995, 0.057142857142857086]",0.41955668292939663,0.0001,vgg16,0.6054644808743165,"[0.9999999999999989, 0.33333333333333326, 0.0, 0.6939890710382514, 0.9999999999999989]",0.17781230099435946,"[0.005291005291005291, 0.009569377990430622, 0.0, 0.844789356984479, 0.029411764705882353]",valid
0.8176666666666665,"[0.7705555555555555, 0.7333333333333333, 0.9266666666666666, 0.6933333333333334, 0.9644444444444444]",9.0,4.0,0.18640592710792225,"[0.03278688524590158, 0.07692307692307676, 0.0, 0.7634961439588683, 0.05882352941176464]",0.4008345280256536,0.0001,vgg16,0.5340031280719819,"[0.5384615384615384, 0.425531914893617, 0.0, 0.7060221870047544, 0.9999999999999996]",0.18413025147571577,"[0.016908212560386472, 0.042283298097251586, 0.0, 0.8311567164179104, 0.030303030303030304]",train
0.8123425692695214,"[0.7632241813602015, 0.7128463476070529, 0.9269521410579346, 0.7015113350125944, 0.9571788413098237]",9.0,4.0,0.1858652669019859,"[0.010526315789473672, 0.1739130434782605, 0.0, 0.7448869752421954, 0.0]",0.4214966092258692,0.0001,vgg16,0.4164116655217633,"[0.9999999999999989, 0.3582089552238806, 0.0, 0.7238493723849372, 0.0]",0.17746151533057825,"[0.005291005291005291, 0.11483253588516747, 0.0, 0.7671840354767184, 0.0]",valid
0.8188888888888888,"[0.7694444444444445, 0.7422222222222222, 0.9266666666666666, 0.6916666666666667, 0.9644444444444444]",10.0,4.0,0.20943685038019466,"[0.04597701149425278, 0.1310861423220972, 0.0, 0.7590099869735123, 0.11111111111111097]",0.4001165447549688,0.0001,vgg16,0.4853239022367147,"[0.47619047619047616, 0.5737704918032787, 0.0, 0.7099918765231519, 0.6666666666666665]",0.19481098582218365,"[0.024154589371980676, 0.07399577167019028, 0.0, 0.8152985074626866, 0.06060606060606061]",train
0.8047858942065492,"[0.7619647355163728, 0.681360201511335, 0.9269521410579346, 0.6964735516372796, 0.9571788413098237]",10.0,4.0,0.20111523402662618,"[0.0, 0.24024024024023974, 0.0, 0.7653359298928912, 0.0]",0.42296743765473366,0.0001,vgg16,0.2009744623655914,"[0.0, 0.3225806451612903, 0.0, 0.6822916666666666, 0.0]",0.21255689111915038,"[0.0, 0.19138755980861244, 0.0, 0.8713968957871396, 0.0]",valid
0.8167777777777777,"[0.7711111111111111, 0.7322222222222222, 0.9266666666666666, 0.6894444444444444, 0.9644444444444444]",11.0,4.0,0.20469050031681907,"[0.0593607305936072, 0.1040892193308548, 0.014925373134328328, 0.7593628928110195, 0.08571428571428562]",0.3963045223719544,0.0001,vgg16,0.5854943737317837,"[0.5416666666666666, 0.4307692307692308, 0.4999999999999998, 0.7050359712230215, 0.7499999999999999]",0.19327781611597616,"[0.03140096618357488, 0.05919661733615222, 0.007575757575757576, 0.8227611940298507, 0.045454545454545456]",train
0.8158690176322418,"[0.7657430730478589, 0.7267002518891688, 0.9269521410579346, 0.7002518891687658, 0.9596977329974811]",11.0,4.0,0.20068061536676943,"[0.0412371134020618, 0.08438818565400824, 0.0, 0.766666666666666, 0.11111111111111098]",0.4199995845556259,0.0001,vgg16,0.5688626663319105,"[0.7999999999999998, 0.35714285714285715, 0.0, 0.687170474516696, 0.9999999999999996]",0.19895934930292705,"[0.021164021164021163, 0.04784688995215311, 0.0, 0.8669623059866962, 0.058823529411764705]",valid
0.8183333333333334,"[0.7677777777777778, 0.7372222222222222, 0.9283333333333333, 0.695, 0.9633333333333334]",12.0,4.0,0.20810335048435152,"[0.04999999999999989, 0.08863198458574166, 0.05839416058394154, 0.7601572739187413, 0.08333333333333318]",0.3959640975627634,0.0001,vgg16,0.5875899121420896,"[0.4230769230769231, 0.5, 0.7999999999999998, 0.714872637633525, 0.49999999999999994]",0.19250411621153965,"[0.026570048309178744, 0.048625792811839326, 0.030303030303030304, 0.8115671641791045, 0.045454545454545456]",train
0.818639798488665,"[0.7670025188916877, 0.7329974811083123, 0.9269521410579346, 0.707808564231738, 0.9584382871536524]",12.0,4.0,0.18466264188486395,"[0.05128205128205121, 0.05357142857142845, 0.0, 0.761316872427983, 0.057142857142857086]",0.41668163426220417,0.0001,vgg16,0.5887012156110043,"[0.8333333333333333, 0.39999999999999997, 0.0, 0.710172744721689, 0.9999999999999989]",0.18099480764284812,"[0.026455026455026454, 0.028708133971291867, 0.0, 0.8203991130820399, 0.029411764705882353]",valid
0.8220000000000001,"[0.7744444444444445, 0.7427777777777778, 0.9261111111111111, 0.7016666666666667, 0.965]",13.0,4.0,0.2236382997004957,"[0.09374999999999988, 0.12144212523719147, 0.0, 0.7660130718954243, 0.13698630136986284]",0.39329555324382254,0.0001,vgg16,0.5286499627560663,"[0.6176470588235294, 0.5925925925925926, 0.0, 0.7187244480784954, 0.7142857142857142]",0.20281963539230036,"[0.050724637681159424, 0.06765327695560254, 0.0, 0.8199626865671642, 0.07575757575757576]",train
0.816624685138539,"[0.7670025188916877, 0.7304785894206549, 0.9269521410579346, 0.698992443324937, 0.9596977329974811]",13.0,4.0,0.2002081010776661,"[0.05128205128205121, 0.06956521739130418, 0.0, 0.769082125603864, 0.11111111111111098]",0.4172082580626011,0.0001,vgg16,0.5791585127201564,"[0.8333333333333333, 0.38095238095238093, 0.0, 0.6815068493150684, 0.9999999999999996]",0.20120788762335237,"[0.026455026455026454, 0.03827751196172249, 0.0, 0.8824833702882483, 0.058823529411764705]",valid
0.820111111111111,"[0.7755555555555556, 0.735, 0.9272222222222222, 0.6972222222222222, 0.9655555555555555]",14.0,4.0,0.22011174628578206,"[0.0818181818181817, 0.07736943907156657, 0.01503759398496239, 0.7641713543920376, 0.16216216216216198]",0.3941770624369383,0.0001,vgg16,0.721904931226965,"[0.6923076923076923, 0.45454545454545453, 0.9999999999999989, 0.7126715092816788, 0.7499999999999999]",0.2015880874604823,"[0.043478260869565216, 0.042283298097251586, 0.007575757575757576, 0.8236940298507462, 0.09090909090909091]",train
0.81183879093199,"[0.7657430730478589, 0.7090680100755667, 0.9269521410579346, 0.698992443324937, 0.9584382871536524]",14.0,4.0,0.20209944376628472,"[0.0412371134020618, 0.14126394052044575, 0.0, 0.7708533077660589, 0.057142857142857086]",0.41782656870782375,0.0001,vgg16,0.5591441441441439,"[0.7999999999999998, 0.31666666666666665, 0.0, 0.6790540540540541, 0.9999999999999989]",0.2065674853336259,"[0.021164021164021163, 0.09090909090909091, 0.0, 0.8913525498891353, 0.029411764705882353]",valid
0.8197777777777777,"[0.7772222222222223, 0.74, 0.9261111111111111, 0.6894444444444444, 0.9661111111111111]",15.0,4.0,0.23244271492191712,"[0.09887640449438188, 0.1268656716417908, 0.01481481481481477, 0.7572731220147627, 0.16438356164383544]",0.39457481126818394,0.0001,vgg16,0.6296406661334204,"[0.7096774193548387, 0.5396825396825397, 0.33333333333333326, 0.7083671811535337, 0.857142857142857]",0.20738787753788582,"[0.05314009661835749, 0.07188160676532769, 0.007575757575757576, 0.8134328358208955, 0.09090909090909091]",train
0.8110831234256926,"[0.7657430730478589, 0.6952141057934509, 0.9269521410579346, 0.707808564231738, 0.9596977329974811]",15.0,4.0,0.2258407143007084,"[0.03124999999999996, 0.23417721518987297, 0.0, 0.7526652452025581, 0.11111111111111098]",0.4175999481230974,0.0001,vgg16,0.6141280776833175,"[0.9999999999999997, 0.34579439252336447, 0.0, 0.7248459958932238, 0.9999999999999996]",0.2068870275772035,"[0.015873015873015872, 0.17703349282296652, 0.0, 0.7827050997782705, 0.058823529411764705]",valid
0.8174444444444445,"[0.77, 0.7355555555555555, 0.9272222222222222, 0.69, 0.9644444444444444]",16.0,4.0,0.21588307350876518,"[0.05909090909090898, 0.12177121771217689, 0.029629629629629586, 0.7578124999999994, 0.11111111111111097]",0.3966553238944875,0.0001,vgg16,0.6040396198004893,"[0.5, 0.4782608695652174, 0.6666666666666665, 0.7086038961038961, 0.6666666666666665]",0.19825833108868135,"[0.03140096618357488, 0.06976744186046512, 0.015151515151515152, 0.8143656716417911, 0.06060606060606061]",train
0.8188916876574307,"[0.7695214105793451, 0.7279596977329975, 0.9269521410579346, 0.7103274559193955, 0.9596977329974811]",16.0,4.0,0.19622395855717994,"[0.061538461538461466, 0.052631578947368265, 0.0, 0.755838641188959, 0.11111111111111098]",0.4165392052382231,0.0001,vgg16,0.608168078036231,"[0.9999999999999999, 0.3157894736842105, 0.0, 0.725050916496945, 0.9999999999999996]",0.1817269359216048,"[0.031746031746031744, 0.028708133971291867, 0.0, 0.7893569844789357, 0.058823529411764705]",valid
0.8219999999999998,"[0.7772222222222223, 0.7427777777777778, 0.9277777777777778, 0.6966666666666667, 0.9655555555555555]",17.0,4.0,0.24165066253003645,"[0.09887640449438188, 0.13457943925233626, 0.029850746268656685, 0.7607361963190179, 0.18421052631578927]",0.3901670216686196,0.0001,vgg16,0.7415355905091975,"[0.7096774193548387, 0.5806451612903226, 0.9999999999999996, 0.7173553719008264, 0.6999999999999998]",0.21203272938856896,"[0.05314009661835749, 0.07610993657505286, 0.015151515151515152, 0.8097014925373134, 0.10606060606060606]",train
0.8198992443324936,"[0.7720403022670025, 0.7304785894206549, 0.9269521410579346, 0.7103274559193955, 0.9596977329974811]",17.0,4.0,0.19771842255520192,"[0.08121827411167504, 0.04464285714285701, 0.0, 0.7516198704103666, 0.11111111111111098]",0.41533186845481396,0.0001,vgg16,0.6131929824561402,"[0.9999999999999998, 0.3333333333333333, 0.0, 0.7326315789473684, 0.9999999999999996]",0.1793387283986091,"[0.042328042328042326, 0.023923444976076555, 0.0, 0.7716186252771619, 0.058823529411764705]",valid
0.8186666666666668,"[0.77, 0.7361111111111112, 0.9283333333333333, 0.6933333333333334, 0.9655555555555555]",18.0,4.0,0.2310821043050213,"[0.08810572687224653, 0.12523020257826864, 0.0444444444444444, 0.7587412587412581, 0.13888888888888873]",0.3873607673164871,0.0001,vgg16,0.7065726817042606,"[0.5, 0.4857142857142857, 0.9999999999999997, 0.7138157894736842, 0.8333333333333333]",0.20567542530629018,"[0.04830917874396135, 0.07188160676532769, 0.022727272727272728, 0.8097014925373134, 0.07575757575757576]",train
