acc,acc_labels,aux,aux_batch,aux_layer_index,bce_loss,cell,cell_size,epoch,exp,f1,f1_labels,loss,lr,model,prec,prec_labels,prob,recall,recall_labels,std_loss,train_mode
0.7873888888888889,"[0.7540555555555556, 0.7346666666666667, 0.9163888888888889, 0.5732222222222222, 0.9586111111111111]",1.0,10.0,9.0,0.4678811559412214,0.0,[56],1.0,0.0,0.1450445148080169,"[0.012491635065804104, 0.004999999999999959, 0.0, 0.7077309389742804, 0.0]",0.5798532130983141,0.0001,vgg16,0.19735319710215848,"[0.27184466019417475, 0.12, 0.0, 0.5949213253166177, 0.0]",[0.1],0.1764558437773244,"[0.006392694063926941, 0.002553191489361702, 0.0, 0.8733333333333333, 0.0]",0.11197205845473542,train
0.8037783375314861,"[0.792191435768262, 0.7329974811083123, 0.9408060453400504, 0.5856423173803527, 0.9672544080604534]",1.0,10.0,9.0,0.43351497799158095,0.0,[56],1.0,0.0,0.14371257485029929,"[0.0, 0.0, 0.0, 0.7185628742514965, 0.0]",0.43351497799158095,0.0001,vgg16,0.11814345991561181,"[0.0, 0.0, 0.0, 0.5907172995780591, 0.0]",[0.1],0.18340611353711792,"[0.0, 0.0, 0.0, 0.9170305676855895, 0.0]",0.0,valid
0.7908888888888889,"[0.7566666666666667, 0.7388888888888889, 0.9205555555555556, 0.5794444444444444, 0.9588888888888889]",1.0,10.0,9.0,0.45566673351658715,0.0,[56],2.0,0.0,0.1445461870925206,"[0.0, 0.0, 0.0, 0.722730935462603, 0.0]",0.5670581252045102,0.0001,vgg16,0.1184962767235167,"[0.0, 0.0, 0.0, 0.5924813836175835, 0.0]",[0.1],0.18527699530516434,"[0.0, 0.0, 0.0, 0.9263849765258216, 0.0]",0.11139139239572816,train
0.8015113350125945,"[0.792191435768262, 0.7329974811083123, 0.9408060453400504, 0.5743073047858942, 0.9672544080604534]",1.0,10.0,9.0,0.4295860558748245,0.0,[56],2.0,0.0,0.14557165861513677,"[0.0, 0.0, 0.0, 0.7278582930756838, 0.0]",0.4295860558748245,0.0001,vgg16,0.1153061224489796,"[0.0, 0.0, 0.0, 0.576530612244898, 0.0]",[0.1],0.19737991266375546,"[0.0, 0.0, 0.0, 0.9868995633187773, 0.0]",0.0,valid
0.792288888888889,"[0.7566666666666667, 0.7388888888888889, 0.9205555555555556, 0.5864444444444444, 0.9588888888888889]",1.0,10.0,9.0,0.45475232700506846,0.0,[56],3.0,0.0,0.1459600725952812,"[0.0, 0.0, 0.0, 0.729800362976406, 0.0]",0.5636043866475423,0.0001,vgg16,0.11897041420118344,"[0.0, 0.0, 0.0, 0.5948520710059172, 0.0]",[0.1],0.1887887323943662,"[0.0, 0.0, 0.0, 0.943943661971831, 0.0]",0.10885205923683114,train
0.8,"[0.792191435768262, 0.7329974811083123, 0.9408060453400504, 0.5667506297229219, 0.9672544080604534]",1.0,10.0,9.0,0.43420829623937607,0.0,[56],3.0,0.0,0.13320388349514553,"[0.0, 0.0, 0.0, 0.6660194174757277, 0.0]",0.43420829623937607,0.0001,vgg16,0.11993006993006994,"[0.0, 0.0, 0.0, 0.5996503496503497, 0.0]",[0.1],0.1497816593886463,"[0.0, 0.0, 0.0, 0.7489082969432315, 0.0]",0.0,valid
0.7909,"[0.7566666666666667, 0.7387222222222222, 0.9205555555555556, 0.5796666666666667, 0.9588888888888889]",1.0,10.0,9.0,0.4555925138460265,0.0,[56],4.0,0.0,0.1448502077410889,"[0.0, 0.0, 0.0, 0.7242510387054445, 0.0]",0.55491962618298,0.0001,vgg16,0.11837026447462473,"[0.0, 0.0, 0.0, 0.5918513223731237, 0.0]",[0.1],0.18659154929577465,"[0.0, 0.0, 0.0, 0.9329577464788732, 0.0]",0.099327112817102,train
0.802015113350126,"[0.792191435768262, 0.7329974811083123, 0.9408060453400504, 0.5768261964735516, 0.9672544080604534]",1.0,10.0,9.0,0.4297168001532555,0.0,[56],4.0,0.0,0.1463258785942491,"[0.0, 0.0, 0.0, 0.7316293929712454, 0.0]",0.4297168001532555,0.0001,vgg16,0.11536523929471032,"[0.0, 0.0, 0.0, 0.5768261964735516, 0.0]",[0.1],0.2,"[0.0, 0.0, 0.0, 1.0, 0.0]",0.0,valid
0.7928555555555554,"[0.7567777777777778, 0.7388888888888889, 0.9205555555555556, 0.5891666666666666, 0.9588888888888889]",1.0,10.0,9.0,0.45470565011103947,0.0,[56],5.0,0.0,0.1483151268483689,"[0.0009128251939753526, 0.0, 0.0, 0.7406628090478691, 0.0]",0.5585349302821689,0.0001,vgg16,0.3182199832073887,"[0.9999999999999996, 0.0, 0.0, 0.5910999160369438, 0.0]",[0.1],0.19840118335584284,"[0.00045662100456621003, 0.0, 0.0, 0.9915492957746479, 0.0]",0.10382927870170938,train
0.802015113350126,"[0.792191435768262, 0.7329974811083123, 0.9408060453400504, 0.5768261964735516, 0.9672544080604534]",1.0,10.0,9.0,0.43141334056854247,0.0,[56],5.0,0.0,0.1463258785942491,"[0.0, 0.0, 0.0, 0.7316293929712454, 0.0]",0.43141334056854247,0.0001,vgg16,0.11536523929471032,"[0.0, 0.0, 0.0, 0.5768261964735516, 0.0]",[0.1],0.2,"[0.0, 0.0, 0.0, 1.0, 0.0]",0.0,valid
