acc,acc_labels,bce1_loss,bce2_loss,epoch,exp,f1,f1_labels,loss,lr,prec,prec_labels,recall,recall_labels,train_mode,train_type
0.9115,"[0.92, 0.903]",0.2510935644160456,0.5048156767638762,0.0,0.0,0.8177571090755422,"[0.8272138228941679, 0.8083003952569164]",0.7559092409575163,0.0001,0.8482372501469724,"[0.8549107142857143, 0.8415637860082305]",0.7894108850247388,"[0.801255230125523, 0.7775665399239544]",train,ynet
0.7609427609427609,"[0.803030303030303, 0.7188552188552189]",0.7883470267057419,0.41660231053829194,0.0,0.0,0.3244749050050115,"[0.353591160220994, 0.2953586497890291]",1.204949325323105,0.0001,0.501763668430335,"[0.5714285714285714, 0.43209876543209874]",0.24017948717948717,"[0.256, 0.22435897435897437]",valid,ynet
0.9624999999999999,"[0.97, 0.955]",0.17841523819005312,0.44891619926957943,1.0,0.0,0.9243231192251474,"[0.936708860759493, 0.9119373776908019]",0.4987536344065595,0.0001,0.942098490048044,"[0.9446808510638298, 0.9395161290322581]",0.9074009259111953,"[0.9288702928870293, 0.8859315589353612]",train,ynet
0.7281144781144782,"[0.8063973063973064, 0.6498316498316499]",0.8048779025673867,0.38659344241023064,1.0,0.0,0.3919353343018758,"[0.385026737967914, 0.3988439306358377]",1.1779933542013168,0.0001,0.47190152801358237,"[0.5806451612903226, 0.3631578947368421]",0.36515384615384616,"[0.288, 0.4423076923076923]",valid,ynet
0.9770000000000001,"[0.9865, 0.9675]",0.14113900253539952,0.41165373930290566,2.0,0.0,0.954821193358482,"[0.9719626168224293, 0.9376797698945346]",0.4037153516242753,0.0001,0.9553949231290754,"[0.9649484536082474, 0.9458413926499033]",0.9543686462923779,"[0.9790794979079498, 0.9296577946768061]",train,ynet
0.7003367003367003,"[0.803030303030303, 0.5976430976430976]",0.8113359699646632,0.3624836747845014,2.0,0.0,0.4191214470284233,"[0.4558139534883716, 0.382428940568475]",1.1385162591934204,0.0001,0.43239538239538233,"[0.5444444444444444, 0.3203463203463203]",0.4331794871794872,"[0.392, 0.47435897435897434]",valid,ynet
0.9824999999999999,"[0.985, 0.98]",0.11963382798399944,0.3828943865512734,3.0,0.0,0.9653731378773283,"[0.9685534591194963, 0.9621928166351601]",0.3517346333211927,0.0001,0.9636775762936753,"[0.9705882352941176, 0.956766917293233]",0.9671039025088694,"[0.9665271966527197, 0.967680608365019]",train,ynet
0.7146464646464646,"[0.7542087542087542, 0.6750841750841751]",0.8175119586288929,0.34165021441876886,3.0,0.0,0.38540163540163486,"[0.4206349206349201, 0.35016835016834963]",1.115189754962921,0.0001,0.39305858044340203,"[0.41732283464566927, 0.36879432624113473]",0.37866666666666665,"[0.424, 0.3333333333333333]",valid,ynet
0.98,"[0.9835, 0.9765]",0.10772734636635478,0.3588115078299793,4.0,0.0,0.9606928929901242,"[0.9655172413793098, 0.9558685446009385]",0.32258141396650625,0.0001,0.9544253837424133,"[0.964509394572025, 0.9443413729128015]",0.9671039025088694,"[0.9665271966527197, 0.967680608365019]",train,ynet
0.7668350168350169,"[0.8148148148148148, 0.7188552188552189]",0.8523133498430252,0.3214565871655941,4.0,0.0,0.34797141539880083,"[0.38888888888888845, 0.3070539419087132]",1.2322009921073913,0.0001,0.5358288770053476,"[0.6363636363636364, 0.43529411764705883]",0.2585897435897436,"[0.28, 0.23717948717948717]",valid,ynet
0.97725,"[0.9805, 0.974]",0.10096351986876063,0.3379469676990414,5.0,0.0,0.9546291364773738,"[0.9591623036649208, 0.9500959692898268]",0.30076865562752114,0.0001,0.9597350202330457,"[0.960167714884696, 0.9593023255813954]",0.9496118172995848,"[0.9581589958158996, 0.94106463878327]",train,ynet
0.734006734006734,"[0.7575757575757576, 0.7104377104377104]",0.8904008453090986,0.30440808534622193,5.0,0.0,0.40508905852417254,"[0.4666666666666661, 0.3435114503816789]",1.3000039160251617,0.0001,0.42950553025374105,"[0.43448275862068964, 0.42452830188679247]",0.3962307692307692,"[0.504, 0.28846153846153844]",valid,ynet
0.97925,"[0.9815, 0.977]",0.09462478737046978,0.3194119566793381,6.0,0.0,0.958765154380586,"[0.9612565445026172, 0.9562737642585546]",0.2647942842832252,0.0001,0.9592689576009756,"[0.9622641509433962, 0.9562737642585551]",0.9582624051418298,"[0.9602510460251046, 0.9562737642585551]",train,ynet
0.7053872053872055,"[0.7070707070707071, 0.7037037037037037]",0.9030138854469572,0.28807264364191465,6.0,0.0,0.3746971532404598,"[0.44230769230769185, 0.30708661417322786]",1.1687521129846572,0.0001,0.3834715704463604,"[0.3689839572192513, 0.3979591836734694]",0.401,"[0.552, 0.25]",valid,ynet
0.978,"[0.9835, 0.9725]",0.09001383634541295,0.3027819563537391,7.0,0.0,0.9566427612404619,"[0.9655172413793098, 0.9477682811016139]",0.24410913239664106,0.0001,0.9556892323903768,"[0.964509394572025, 0.9468690702087287]",0.9575981990868161,"[0.9665271966527197, 0.9486692015209125]",train,ynet
0.7735690235690236,"[0.8198653198653199, 0.7272727272727273]",0.9392807368189097,0.2732033979147673,7.0,0.0,0.2975455046883615,"[0.4216216216216212, 0.17346938775510173]",1.362267369031906,0.0001,0.5375,"[0.65, 0.425]",0.2104871794871795,"[0.312, 0.10897435897435898]",valid,ynet
0.9842500000000001,"[0.9825, 0.986]",0.08570181560327313,0.28774278614651505,8.0,0.0,0.9684438400266432,"[0.963503649635036, 0.9733840304182504]",0.21863507290384662,0.0001,0.9669414954586057,"[0.9604989604989606, 0.973384030418251]",0.9699556135354853,"[0.9665271966527197, 0.973384030418251]",train,ynet
0.7634680134680134,"[0.8080808080808081, 0.7188552188552189]",0.9372129688660303,0.26034103797541724,8.0,0.0,0.3903157489410854,"[0.46226415094339574, 0.31836734693877505]",1.078112968802452,0.0001,0.5007103189978045,"[0.5632183908045977, 0.43820224719101125]",0.321,"[0.392, 0.25]",valid,ynet
0.98525,"[0.988, 0.9825]",0.08170566459311478,0.27409533191083085,9.0,0.0,0.9707069614892498,"[0.9748427672955968, 0.966571155682903]",0.1970085488326514,0.0001,0.9740499846771722,"[0.976890756302521, 0.9712092130518234]",0.9673902667960609,"[0.9728033472803347, 0.9619771863117871]",train,ynet
0.7491582491582491,"[0.7946127946127947, 0.7037037037037037]",0.9521277722716331,0.2490250665694475,9.0,0.0,0.35468509984638974,"[0.41904761904761856, 0.29032258064516087]",1.2335423231124878,0.0001,0.45447570332480824,"[0.5176470588235295, 0.391304347826087]",0.29138461538461535,"[0.352, 0.23076923076923078]",valid,ynet
0.9884999999999999,"[0.987, 0.99]",0.0773064559799451,0.261656149089579,10.0,0.0,0.9769163486005084,"[0.9729166666666662, 0.9809160305343506]",0.17057869016234553,0.0001,0.9767769987758541,"[0.9688796680497925, 0.9846743295019157]",0.9770868797429085,"[0.9769874476987448, 0.9771863117870723]",train,ynet
0.7483164983164983,"[0.7861952861952862, 0.7104377104377104]",0.9502126615155827,0.23802398273890668,10.0,0.0,0.40748299319727843,"[0.48163265306122394, 0.33333333333333287]",1.0590746968984603,0.0001,0.4566176470588235,"[0.49166666666666664, 0.4215686274509804]",0.3738205128205128,"[0.472, 0.27564102564102566]",valid,ynet
