acc,acc_labels,cell,cell_size,epoch,exp,f1,f1_labels,loss,lr,model,prec,prec_labels,prob,recall,recall_labels,train_mode
0.7611111111111111,"[0.73, 0.6916666666666667, 0.8583333333333333, 0.5888888888888889, 0.9366666666666666]",0.0,[56],1.0,0.0,0.21805971676513583,"[0.1066176470588232, 0.15007656967840696, 0.09252669039145857, 0.7410776766969903, 0.0]",0.5088024407625198,0.0001,resnet50,0.2452355191439341,"[0.27358490566037735, 0.2677595628415301, 0.09420289855072464, 0.5906302286670385, 0.0]",[0.1],0.2511481305806452,"[0.06621004566210045, 0.10425531914893617, 0.09090909090909091, 0.9943661971830986, 0.0]",train
0.8052896725440807,"[0.792191435768262, 0.7329974811083123, 0.9408060453400504, 0.593198992443325, 0.9672544080604534]",0.0,[56],1.0,0.0,0.14548523206751046,"[0.0, 0.0, 0.0, 0.7274261603375523, 0.0]",0.4369460567831993,0.0001,resnet50,0.11856946354883083,"[0.0, 0.0, 0.0, 0.5928473177441541, 0.0]",[0.1],0.18820960698689956,"[0.0, 0.0, 0.0, 0.9410480349344978, 0.0]",valid
0.7945555555555556,"[0.7566666666666667, 0.7388888888888889, 0.9205555555555556, 0.5977777777777777, 0.9588888888888889]",0.0,[56],2.0,0.0,0.14857954545454535,"[0.0, 0.0, 0.0, 0.7428977272727267, 0.0]",0.4506903330485026,0.0001,resnet50,0.1194745859508852,"[0.0, 0.0, 0.0, 0.597372929754426, 0.0]",[0.1],0.19643192488262912,"[0.0, 0.0, 0.0, 0.9821596244131455, 0.0]",train
0.8080604534005038,"[0.792191435768262, 0.7329974811083123, 0.9408060453400504, 0.6070528967254408, 0.9672544080604534]",0.0,[56],2.0,0.0,0.14747474747474737,"[0.0, 0.0, 0.0, 0.7373737373737369, 0.0]",0.42844105511903763,0.0001,resnet50,0.12,"[0.0, 0.0, 0.0, 0.6, 0.0]",[0.1],0.19126637554585152,"[0.0, 0.0, 0.0, 0.9563318777292577, 0.0]",valid
0.796,"[0.7566666666666667, 0.7388888888888889, 0.9205555555555556, 0.605, 0.9588888888888889]",0.0,[56],3.0,0.0,0.1491961414790996,"[0.0, 0.0, 0.0, 0.7459807073954979, 0.0]",0.44611163768503403,0.0001,resnet50,0.12041522491349481,"[0.0, 0.0, 0.0, 0.6020761245674741, 0.0]",[0.1],0.19605633802816902,"[0.0, 0.0, 0.0, 0.9802816901408451, 0.0]",train
0.8060453400503779,"[0.792191435768262, 0.7329974811083123, 0.9408060453400504, 0.5969773299748111, 0.9672544080604534]",0.0,[56],3.0,0.0,0.14728171334431622,"[0.0, 0.0, 0.0, 0.7364085667215811, 0.0]",0.42467959597706795,0.0001,resnet50,0.11825396825396825,"[0.0, 0.0, 0.0, 0.5912698412698413, 0.0]",[0.1],0.19519650655021833,"[0.0, 0.0, 0.0, 0.9759825327510917, 0.0]",valid
0.7982222222222223,"[0.7566666666666667, 0.7388888888888889, 0.9205555555555556, 0.6161111111111112, 0.9588888888888889]",0.0,[56],4.0,0.0,0.14961720743711254,"[0.0, 0.0, 0.0, 0.7480860371855627, 0.0]",0.44283588280280434,0.0001,resnet50,0.12228843861740166,"[0.0, 0.0, 0.0, 0.6114421930870083, 0.0]",[0.1],0.19267605633802817,"[0.0, 0.0, 0.0, 0.9633802816901409, 0.0]",train
0.8110831234256928,"[0.792191435768262, 0.7329974811083123, 0.9408060453400504, 0.6221662468513854, 0.9672544080604534]",0.0,[56],4.0,0.0,0.14889267461669495,"[0.0, 0.0, 0.0, 0.7444633730834748, 0.0]",0.42018596455454826,0.0001,resnet50,0.12206703910614525,"[0.0, 0.0, 0.0, 0.6103351955307262, 0.0]",[0.1],0.1908296943231441,"[0.0, 0.0, 0.0, 0.9541484716157205, 0.0]",valid
0.8008888888888889,"[0.7566666666666667, 0.7388888888888889, 0.9205555555555556, 0.6294444444444445, 0.9588888888888889]",0.0,[56],5.0,0.0,0.15090172984909817,"[0.0, 0.0, 0.0, 0.7545086492454908, 0.0]",0.44058669391605587,0.0001,resnet50,0.12409200968523001,"[0.0, 0.0, 0.0, 0.6204600484261501, 0.0]",[0.1],0.19248826291079812,"[0.0, 0.0, 0.0, 0.9624413145539906, 0.0]",train
0.8130982367758186,"[0.792191435768262, 0.7329974811083123, 0.9408060453400504, 0.6322418136020151, 0.9672544080604534]",0.0,[56],5.0,0.0,0.14813499111900524,"[0.0, 0.0, 0.0, 0.7406749555950262, 0.0]",0.4175015538930893,0.0001,resnet50,0.1248502994011976,"[0.0, 0.0, 0.0, 0.624251497005988, 0.0]",[0.1],0.18209606986899562,"[0.0, 0.0, 0.0, 0.9104803493449781, 0.0]",valid
0.8044444444444444,"[0.7566666666666667, 0.7388888888888889, 0.9205555555555556, 0.6472222222222223, 0.9588888888888889]",0.0,[56],6.0,0.0,0.151766046334979,"[0.0, 0.0, 0.0, 0.758830231674895, 0.0]",0.4370725456211302,0.0001,resnet50,0.12742346938775512,"[0.0, 0.0, 0.0, 0.6371173469387755, 0.0]",[0.1],0.1876056338028169,"[0.0, 0.0, 0.0, 0.9380281690140845, 0.0]",train
0.8141057934508817,"[0.792191435768262, 0.7329974811083123, 0.9408060453400504, 0.6372795969773299, 0.9672544080604534]",0.0,[56],6.0,0.0,0.1490265486725663,"[0.0, 0.0, 0.0, 0.7451327433628314, 0.0]",0.4170798324048519,0.0001,resnet50,0.12529761904761905,"[0.0, 0.0, 0.0, 0.6264880952380952, 0.0]",[0.1],0.18384279475982532,"[0.0, 0.0, 0.0, 0.9192139737991266, 0.0]",valid
0.8093333333333333,"[0.7566666666666667, 0.7388888888888889, 0.9205555555555556, 0.6716666666666666, 0.9588888888888889]",0.0,[56],7.0,0.0,0.15420379697791542,"[0.0, 0.0, 0.0, 0.7710189848895771, 0.0]",0.4324364710185263,0.0001,resnet50,0.1312664907651715,"[0.0, 0.0, 0.0, 0.6563324538258575, 0.0]",[0.1],0.18685446009389672,"[0.0, 0.0, 0.0, 0.9342723004694836, 0.0]",train
0.8224181360201511,"[0.792191435768262, 0.7329974811083123, 0.9408060453400504, 0.6788413098236776, 0.9672544080604534]",0.0,[56],7.0,0.0,0.15211267605633794,"[0.0, 0.0, 0.0, 0.7605633802816897, 0.0]",0.4130566529929638,0.0001,resnet50,0.13344316309719934,"[0.0, 0.0, 0.0, 0.6672158154859967, 0.0]",[0.1],0.17685589519650655,"[0.0, 0.0, 0.0, 0.8842794759825328, 0.0]",valid
