mask_use,aux,aux_batch,freeze_mode,lr,exp,cell,cell_size,prob,train_mode,epoch,acc,f1,loss,bce_loss,std_loss,prec,recall
True,False,4,False,0.0001,0,False,[56],0.8,train,0,0.791543156059285,0.8707497702578518,0.4508080780506134,0.4508080780506134,0.0,0.8245290745290745,0.9224601992898867
True,False,4,False,0.0001,0,False,[56],0.8,valid,0,0.788,0.8664987405541562,0.44774887959162396,0.44774887959162396,0.0,0.8315874294923449,0.9044697633654689
True,False,4,False,0.0001,0,False,[56],0.8,train,1,0.7927637314734088,0.8715759900588903,0.44918669436288916,0.44918669436288916,0.0,0.8249130701574964,0.9238346123009964
True,False,4,False,0.0001,0,False,[56],0.8,valid,1,0.7946666666666666,0.8705882352941177,0.449339359998703,0.449339359998703,0.0,0.8361581920903954,0.9079754601226994
True,False,4,False,0.0001,0,False,[56],0.8,train,2,0.7925021795989537,0.8707785861657074,0.4488540680512138,0.4488540680512138,0.0,0.8278104676370394,0.9184514946741495
True,False,4,False,0.0001,0,False,[56],0.8,valid,2,0.79,0.8669201520912547,0.45044896999994916,0.45044896999994916,0.0,0.8368678629690048,0.8992112182296231
True,False,4,False,0.0001,0,False,[56],0.8,train,3,0.793025283347864,0.8705420438433853,0.4474646747112274,0.4474646747112274,0.0,0.8308525033829499,0.9142137212232275
True,False,4,False,0.0001,0,False,[56],0.8,valid,3,0.7893333333333333,0.8666666666666668,0.4504021207491557,0.4504021207491557,0.0,0.8356387306753458,0.9000876424189308
True,False,4,False,0.0001,0,False,[56],0.8,train,4,0.7931996512641674,0.8702548955256536,0.4494319648846336,0.4494319648846336,0.0,0.832897078839912,0.9111212919482304
True,False,4,False,0.0001,0,False,[56],0.8,valid,4,0.7926666666666666,0.8683876428269148,0.4493526816368103,0.4493526816368103,0.0,0.839607201309329,0.8992112182296231
True,False,4,False,0.0001,0,False,[56],0.8,train,5,0.7943330427201395,0.8712547071986028,0.44876244275466254,0.44876244275466254,0.0,0.8321517931609674,0.9142137212232275
True,False,4,False,0.0001,0,False,[56],0.8,valid,5,0.7913333333333333,0.8678767412410299,0.4496300021807353,0.4496300021807353,0.0,0.8371335504885994,0.9009640666082384
True,False,4,False,0.0001,0,False,[56],0.8,train,6,0.7931124673060157,0.8705047748976807,0.44919274553008703,0.44919274553008703,0.0,0.8313529289139046,0.9135265147176727
True,False,4,False,0.0001,0,False,[56],0.8,valid,6,0.79,0.8673684210526317,0.44836972157160443,0.44836972157160443,0.0,0.8346839546191248,0.9027169149868537
True,False,4,False,0.0001,0,False,[56],0.8,train,7,0.795640802092415,0.8718845649322257,0.44765184366184735,0.44765184366184735,0.0,0.8338734971249346,0.9135265147176727
True,False,4,False,0.0001,0,False,[56],0.8,valid,7,0.7873333333333333,0.8651162790697674,0.4489274819691976,0.4489274819691976,0.0,0.8357843137254902,0.8965819456617002
True,False,4,False,0.0001,0,False,[56],0.8,train,8,0.7955536181342633,0.8714434515651553,0.44829917472341785,0.44829917472341785,0.0,0.835751840168244,0.910319551025083
True,False,4,False,0.0001,0,False,[56],0.8,valid,8,0.794,0.8693446088794927,0.4492396414279938,0.4492396414279938,0.0,0.8398692810457516,0.9009640666082384
True,False,4,False,0.0001,0,False,[56],0.8,train,9,0.7958151700087184,0.8713186813186813,0.44662456538366235,0.44662456538366235,0.0,0.8373640299926075,0.9081433970908258
True,False,4,False,0.0001,0,False,[56],0.8,valid,9,0.79,0.8662420382165604,0.45047571261723834,0.45047571261723834,0.0,0.8401976935749588,0.8939526730937774
True,False,4,False,0.0001,0,False,[56],0.8,train,10,0.795640802092415,0.8712936525367888,0.44796140427174774,0.44796140427174774,0.0,0.8368315578525471,0.9087160691787882
True,False,4,False,0.0001,0,False,[56],0.8,valid,10,0.7926666666666666,0.868276154171961,0.4514487286408742,0.4514487286408742,0.0,0.8401639344262295,0.8983347940403155
True,False,4,False,0.0001,0,False,[56],0.8,train,11,0.7960767218831735,0.8715611443632969,0.4478622195513352,0.4478622195513352,0.0,0.8371308016877637,0.9089451380139733
True,False,4,False,0.0001,0,False,[56],0.8,valid,11,0.788,0.8652542372881357,0.45051567753156024,0.45051567753156024,0.0,0.837571780147662,0.894829097283085
True,False,4,False,0.0001,0,False,[56],0.8,train,12,0.7959895379250218,0.8710175283871678,0.4470792788526286,0.4470792788526286,0.0,0.8395494633939008,0.9049364333982362
True,False,4,False,0.0001,0,False,[56],0.8,valid,12,0.7953333333333333,0.8693060876968922,0.4502704441547394,0.4502704441547394,0.0,0.8451986754966887,0.894829097283085
True,False,4,False,0.0001,0,False,[56],0.8,train,13,0.7953792502179599,0.8707243183695951,0.4474078857380411,0.4474078857380411,0.0,0.8387096774193549,0.9052800366510136
