acc,acc_labels,bce1_loss,bce2_loss,epoch,exp,f1,f1_labels,jaccard,loss,lr,prec,prec_labels,recall,recall_labels,train_mode,train_type
0.7370000000000001,"[0.681, 0.658, 0.781, 0.671, 0.894]",0.0,0.5550233229994774,0.0,0.0,0.3059939086583502,"[0.4189435336976316, 0.22624434389140222, 0.13095238095238051, 0.6836538461538457, 0.07017543859649077]",0.0,0.5550233229994774,0.0001,0.31927203906014756,"[0.3709677419354839, 0.27932960893854747, 0.09455587392550144, 0.797085201793722, 0.05442176870748299]",0.316287824589657,"[0.4811715481171548, 0.19011406844106463, 0.2129032258064516, 0.5984848484848485, 0.09876543209876543]",train,ynet
0.8326599326599325,"[0.7946127946127947, 0.7289562289562289, 0.9427609427609428, 0.7289562289562289, 0.968013468013468]",0.0,0.45054355561733245,0.0,0.0,0.21840452298292198,"[0.2738095238095234, 0.012269938650306665, 0.0555555555555555, 0.7503875968992243, 0.0]",0.0,0.45054355561733245,0.0001,0.49167720501553935,"[0.5348837209302325, 0.14285714285714285, 0.9999999999999989, 0.7806451612903226, 0.0]",0.18827394893663552,"[0.184, 0.00641025641025641, 0.02857142857142857, 0.7223880597014926, 0.0]",valid,ynet
0.8257999999999999,"[0.788, 0.7345, 0.9225, 0.7245, 0.9595]",0.0,0.48842659704387187,1.0,0.0,0.22376967405547452,"[0.3248407643312098, 0.014842300556586223, 0.012738853503184688, 0.766426451886392, 0.0]",0.0,0.42182987108826636,0.0001,0.45193641200814555,"[0.68, 0.30769230769230765, 0.4999999999999998, 0.7719897523484202, 0.0]",0.1976776115845083,"[0.21338912133891214, 0.0076045627376425855, 0.0064516129032258064, 0.7609427609427609, 0.0]",train,ynet
0.8255892255892257,"[0.7861952861952862, 0.7272727272727273, 0.9393939393939394, 0.7070707070707071, 0.968013468013468]",0.0,0.44761523778239887,1.0,0.0,0.19833239062538405,"[0.19108280254777035, 0.03571428571428558, 0.0, 0.7648648648648644, 0.0]",0.0,0.4446869199474653,0.0001,0.2835030864197531,"[0.46875, 0.24999999999999997, 0.0, 0.6987654320987654, 0.0]",0.19680137772675085,"[0.12, 0.019230769230769232, 0.0, 0.844776119402985, 0.0]",valid,ynet
0.8263999999999999,"[0.7975, 0.7355, 0.923, 0.7165, 0.9595]",0.0,0.45930213302373885,2.0,0.0,0.22979631746301116,"[0.3238731218697826, 0.053667262969588445, 0.012820512820512808, 0.7586206896551718, 0.0]",0.0,0.4010532049834728,0.0001,0.6047280415145107,"[0.8016528925619835, 0.45454545454545453, 0.9999999999999989, 0.7674418604651163, 0.0]",0.1975795186924545,"[0.20292887029288703, 0.028517110266159697, 0.0064516129032258064, 0.75, 0.0]",train,ynet
0.8390572390572391,"[0.8013468013468014, 0.7306397306397306, 0.9410774410774411, 0.7542087542087542, 0.968013468013468]",0.0,0.4289748522142569,2.0,0.0,0.2038807676488834,"[0.23376623376623346, 0.012345679012345605, 0.0, 0.773291925465838, 0.0]",0.0,0.39169408107797304,0.0001,0.3186363129115054,"[0.6206896551724138, 0.16666666666666663, 0.0, 0.8058252427184466, 0.0]",0.17873876769996172,"[0.144, 0.00641025641025641, 0.0, 0.7432835820895523, 0.0]",valid,ynet
0.8295999999999999,"[0.801, 0.74, 0.923, 0.7245, 0.9595]",0.0,0.4420055279508233,3.0,0.0,0.24600247636698058,"[0.372239747634069, 0.06137184115523456, 0.025316455696202493, 0.771084337349397, 0.0]",0.0,0.3901157127320766,0.0001,0.5582999035419052,"[0.7564102564102564, 0.6071428571428571, 0.6666666666666665, 0.7612797374897456, 0.0]",0.21464586465448124,"[0.24686192468619247, 0.03231939163498099, 0.012903225806451613, 0.7811447811447811, 0.0]",train,ynet
0.8383838383838385,"[0.7895622895622896, 0.7323232323232324, 0.9427609427609428, 0.7592592592592593, 0.968013468013468]",0.0,0.4230678751443823,3.0,0.0,0.25268549764612735,"[0.33862433862433816, 0.0, 0.14999999999999977, 0.7748031496062987, 0.0]",0.0,0.4053469439347585,0.0001,0.384,"[0.5, 0.0, 0.5999999999999999, 0.82, 0.0]",0.21520852878464822,"[0.256, 0.0, 0.08571428571428572, 0.7343283582089553, 0.0]",valid,ynet
0.8327,"[0.8075, 0.7405, 0.924, 0.732, 0.9595]",0.0,0.4304686006307602,4.0,0.0,0.2709922739741375,"[0.4104134762633993, 0.10671256454388967, 0.061728395061728315, 0.7761069340016702, 0.0]",0.0,0.38432089135050773,0.0001,0.5627902909693955,"[0.7657142857142857, 0.5636363636363636, 0.7142857142857142, 0.7703150912106136, 0.0]",0.23070293715057275,"[0.2803347280334728, 0.058935361216730035, 0.03225806451612903, 0.781986531986532, 0.0]",train,ynet
0.836026936026936,"[0.8131313131313131, 0.7272727272727273, 0.9427609427609428, 0.7289562289562289, 0.968013468013468]",0.0,0.4169262364010016,4.0,0.0,0.2793176024667111,"[0.343195266272189, 0.12903225806451585, 0.19047619047619016, 0.7338842975206605, 0.0]",0.0,0.3923596814274788,0.0001,0.4905483405483405,"[0.6590909090909091, 0.4, 0.5714285714285714, 0.8222222222222222, 0.0]",0.21717907167459405,"[0.232, 0.07692307692307693, 0.11428571428571428, 0.6626865671641791, 0.0]",valid,ynet
0.8320000000000001,"[0.8065, 0.7395, 0.925, 0.7295, 0.9595]",0.0,0.42213083917895955,5.0,0.0,0.2638201474591989,"[0.4055299539170502, 0.06463195691202862, 0.074074074074074, 0.7748647523928418, 0.0]",0.0,0.3804420319199562,0.0001,0.5934097885625844,"[0.7630057803468208, 0.5806451612903226, 0.857142857142857, 0.7662551440329218, 0.0]",0.22655017420476858,"[0.27615062761506276, 0.034220532319391636, 0.03870967741935484, 0.7836700336700336, 0.0]",train,ynet
0.8356902356902356,"[0.7929292929292929, 0.7441077441077442, 0.9410774410774411, 0.7323232323232324, 0.968013468013468]",0.0,0.413663745050629,5.0,0.0,0.25233427616296633,"[0.32044198895027587, 0.10588235294117633, 0.054054054054053946, 0.7812929848693255, 0.0]",0.0,0.3973512882987658,0.0001,0.4770408163265305,"[0.5178571428571429, 0.6428571428571428, 0.4999999999999998, 0.7244897959183674, 0.0]",0.2332049860587174,"[0.232, 0.057692307692307696, 0.02857142857142857, 0.8477611940298507, 0.0]",valid,ynet
0.8362,"[0.8095, 0.7385, 0.9265, 0.747, 0.9595]",0.0,0.41598141595721244,6.0,0.0,0.2825121728919067,"[0.43219076005961204, 0.08406304728546395, 0.10909090909090897, 0.7872161480235486, 0.0]",0.0,0.37908487662672996,0.0001,0.5942366583939275,"[0.7512953367875648, 0.5333333333333333, 0.8999999999999998, 0.7865546218487395, 0.0]",0.23898359215368076,"[0.303347280334728, 0.045627376425855515, 0.05806451612903226, 0.7878787878787878, 0.0]",train,ynet
