epoch,exp,loss,lr,metric,train_mode,train_type
0.0,0.0,0.324866446018219,0.0001,0.26590719015131675,train,ynet
0.0,0.0,0.20536578005110775,0.0001,0.4708370061324005,valid,ynet
1.0,0.0,0.19586404395103454,0.0001,0.4233870527378263,train,ynet
1.0,0.0,0.1752561984790696,0.0001,0.5144007193694808,valid,ynet
2.0,0.0,0.18514942542711893,0.0001,0.4578595114700076,train,ynet
2.0,0.0,0.16892259374812799,0.0001,0.5401731799990162,valid,ynet
3.0,0.0,0.1803174737294515,0.0001,0.4742688382407356,train,ynet
3.0,0.0,0.16808907687664032,0.0001,0.5362195827285655,valid,ynet
4.0,0.0,0.1758289937575658,0.0001,0.49192726333364956,train,ynet
4.0,0.0,0.16057773196586855,0.0001,0.5633257566815615,valid,ynet
5.0,0.0,0.1711253354549408,0.0001,0.5111114474460005,train,ynet
5.0,0.0,0.1594260642649951,0.0001,0.5669237985287847,valid,ynet
6.0,0.0,0.16902914565801622,0.0001,0.5205183470816852,train,ynet
6.0,0.0,0.15498808426437555,0.0001,0.5858360684492525,valid,ynet
7.0,0.0,0.1672607653538386,0.0001,0.5260394509400215,train,ynet
7.0,0.0,0.1540176945704001,0.0001,0.5869136148308234,valid,ynet
8.0,0.0,0.16604558569192887,0.0001,0.5328846270394166,train,ynet
8.0,0.0,0.15200607892539766,0.0001,0.5945206069625041,valid,ynet
9.0,0.0,0.16254863746960957,0.0001,0.546732271545167,train,ynet
9.0,0.0,0.14917650197943053,0.0001,0.6080521213021983,valid,ynet
10.0,0.0,0.1610221909681956,0.0001,0.5538598147774955,train,ynet
10.0,0.0,0.14869974691558768,0.0001,0.6146995370827015,valid,ynet
11.0,0.0,0.15823482088247934,0.0001,0.5651644646061398,train,ynet
11.0,0.0,0.1462375687228309,0.0001,0.6203069493479142,valid,ynet
12.0,0.0,0.15667831911643346,0.0001,0.5722843730835196,train,ynet
12.0,0.0,0.14622378832212202,0.0001,0.6170034672539905,valid,ynet
13.0,0.0,0.1559764721194903,0.0001,0.5750940750927556,train,ynet
13.0,0.0,0.14592524148799754,0.0001,0.6222468667993504,valid,ynet
14.0,0.0,0.15232244304815928,0.0001,0.5907510210967772,train,ynet
14.0,0.0,0.14214213496005093,0.0001,0.6339260967124223,valid,ynet
15.0,0.0,0.15096880561113357,0.0001,0.5964569974705385,train,ynet
15.0,0.0,0.14096134611301953,0.0001,0.6387955625868705,valid,ynet
16.0,0.0,0.14893208307027817,0.0001,0.6040732410587109,train,ynet
16.0,0.0,0.14028567379271542,0.0001,0.6434350807961666,valid,ynet
17.0,0.0,0.1468994381229083,0.0001,0.6123672155757691,train,ynet
17.0,0.0,0.14062113949546107,0.0001,0.640862881941542,valid,ynet
18.0,0.0,0.14522910686333973,0.0001,0.6194696218859984,train,ynet
18.0,0.0,0.14248445768047263,0.0001,0.6323098748997127,valid,ynet
19.0,0.0,0.1435260800520579,0.0001,0.6246912351127574,train,ynet
19.0,0.0,0.14033221412036154,0.0001,0.6414292859856003,valid,ynet
20.0,0.0,0.1416236401597659,0.0001,0.6346779820627846,train,ynet
20.0,0.0,0.13667072107394537,0.0001,0.6579329206872268,valid,ynet
21.0,0.0,0.1389657156864802,0.0001,0.6452582815796538,train,ynet
21.0,0.0,0.141506374710136,0.0001,0.6365053706323274,valid,ynet
22.0,0.0,0.13816678416728972,0.0001,0.6483876301021997,train,ynet
22.0,0.0,0.1401001234297399,0.0001,0.6484084924928522,valid,ynet
23.0,0.0,0.13665631556510927,0.0001,0.6533746326434474,train,ynet
23.0,0.0,0.1364585037032763,0.0001,0.6604737285280852,valid,ynet
24.0,0.0,0.13468694442510604,0.0001,0.6639834685645636,train,ynet
24.0,0.0,0.13693510078721577,0.0001,0.659612843579892,valid,ynet
25.0,0.0,0.1328949680328369,0.0001,0.6704867586512844,train,ynet
25.0,0.0,0.1368902699538955,0.0001,0.6552023913944525,valid,ynet
26.0,0.0,0.1302094330191612,0.0001,0.6813729292633582,train,ynet
26.0,0.0,0.13642981634647758,0.0001,0.6620768734061687,valid,ynet
27.0,0.0,0.1289613373875618,0.0001,0.6857469313908042,train,ynet
27.0,0.0,0.13872990012168884,0.0001,0.6491627029061516,valid,ynet
28.0,0.0,0.12731338256597519,0.0001,0.691742250271931,train,ynet
28.0,0.0,0.13286878623896176,0.0001,0.6746267867198454,valid,ynet
29.0,0.0,0.12589840350548426,0.0001,0.6973068670947269,train,ynet
29.0,0.0,0.13265819530244227,0.0001,0.6723423235114898,valid,ynet
30.0,0.0,0.12360471260547638,0.0001,0.7070383721044503,train,ynet
30.0,0.0,0.13593527081388015,0.0001,0.6611985752065406,valid,ynet
31.0,0.0,0.12170280625422795,0.0001,0.7134892571712917,train,ynet
31.0,0.0,0.1319153202628648,0.0001,0.681023765515522,valid,ynet
32.0,0.0,0.1207972127199173,0.0001,0.7174420151776972,train,ynet
32.0,0.0,0.1336176165000156,0.0001,0.6673663911766413,valid,ynet
33.0,0.0,0.11857128308216731,0.0001,0.725172800422946,train,ynet
33.0,0.0,0.13323668942407327,0.0001,0.6717577904826216,valid,ynet
34.0,0.0,0.11661533413330714,0.0001,0.7330082323116318,train,ynet
34.0,0.0,0.1326211446689235,0.0001,0.6818998337796014,valid,ynet
35.0,0.0,0.11500392220417659,0.0001,0.7394612998290278,train,ynet
35.0,0.0,0.1323795462096179,0.0001,0.6852010026597027,valid,ynet
36.0,0.0,0.11407201095422109,0.0001,0.7423043149598002,train,ynet
36.0,0.0,0.12967360757843213,0.0001,0.6880769271967522,valid,ynet
