mask_use,freeze_mode,lr,exp,cell,cell_size,prob,train_mode,epoch,loss,prec,recall,acc,f1
True,False,0.0001,0,True,14,0.01,train,0,0.6035340428352356,0.7399086062452399,0.7382218844984803,0.7009590235396687,0.7390642829973375
True,False,0.0001,0,True,14,0.01,valid,0,0.6272265315055847,0.7333333333333333,0.6894586894586895,0.6716666666666666,0.71071953010279
True,False,0.0001,0,True,14,0.01,train,1,0.5813080668449402,0.7297297297297297,0.7488601823708206,0.696817785527463,0.7391711981998874
True,False,0.0001,0,True,14,0.01,valid,1,0.6281059980392456,0.7119113573407202,0.7321937321937322,0.67,0.7219101123595505
True,False,0.0001,0,True,14,0.01,train,2,0.6120277643203735,0.7301758162899175,0.773176291793313,0.7059721011333915,0.7510610813803286
True,False,0.0001,0,True,14,0.01,valid,2,0.6236199736595154,0.7183098591549296,0.7264957264957265,0.6733333333333333,0.7223796033994335
True,False,0.0001,0,True,14,0.01,train,3,0.608442485332489,0.7262237762237762,0.7891337386018237,0.7083696599825632,0.7563729060451566
True,False,0.0001,0,True,14,0.01,valid,3,0.5523552298545837,0.7044198895027625,0.7264957264957265,0.6616666666666666,0.7152875175315568
True,False,0.0001,0,True,14,0.01,train,4,0.5919830203056335,0.7218955378761674,0.7929331306990881,0.7059721011333915,0.7557486873076226
True,False,0.0001,0,True,14,0.01,valid,4,0.6161634922027588,0.7060367454068242,0.7663817663817664,0.6766666666666666,0.7349726775956285
True,False,0.0001,0,True,14,0.01,train,5,0.5774267911911011,0.7285961871750434,0.7986322188449848,0.7138186573670444,0.7620083378647815
True,False,0.0001,0,True,14,0.01,valid,5,0.627895712852478,0.6907216494845361,0.7635327635327636,0.6616666666666666,0.7253044654939107
True,False,0.0001,0,True,14,0.01,train,6,0.6095104217529297,0.7169811320754716,0.8085106382978723,0.7070619006102877,0.76
True,False,0.0001,0,True,14,0.01,valid,6,0.6348348259925842,0.6866840731070496,0.7492877492877493,0.6533333333333333,0.7166212534059947
True,False,0.0001,0,True,14,0.01,train,7,0.5928567051887512,0.7249234954097246,0.8100303951367781,0.7146904969485615,0.7651175309528082
True,False,0.0001,0,True,14,0.01,valid,7,0.6000739336013794,0.6868686868686869,0.7749287749287749,0.6616666666666666,0.7282463186077643
True,False,0.0001,0,True,14,0.01,train,8,0.5326886773109436,0.726063829787234,0.8297872340425532,0.7227550130775937,0.7744680851063829
True,False,0.0001,0,True,14,0.01,valid,8,0.6419775485992432,0.6839378238341969,0.7521367521367521,0.6516666666666666,0.7164179104477612
True,False,0.0001,0,True,14,0.01,train,9,0.6292865872383118,0.7254700854700855,0.8062310030395137,0.7138186573670444,0.7637214324275688
True,False,0.0001,0,True,14,0.01,valid,9,0.6078271865844727,0.6835443037974683,0.7692307692307693,0.6566666666666666,0.7238605898123325
True,False,0.0001,0,True,14,0.01,train,10,0.5862132906913757,0.7270868824531517,0.810790273556231,0.716870095902354,0.7666606790012575
True,False,0.0001,0,True,14,0.01,valid,10,0.6158129572868347,0.6784810126582278,0.7635327635327636,0.65,0.7184986595174263
True,False,0.0001,0,True,14,0.01,train,11,0.5953614711761475,0.7181185823120239,0.8237082066869301,0.713382737576286,0.7672978233940896
True,False,0.0001,0,True,14,0.01,valid,11,0.6675341129302979,0.6867167919799498,0.7806267806267806,0.6633333333333333,0.7306666666666667
True,False,0.0001,0,True,14,0.01,train,12,0.5296750068664551,0.7209617338300034,0.8088905775075987,0.710767218831735,0.7623992837958818
True,False,0.0001,0,True,14,0.01,valid,12,0.6454348564147949,0.6851385390428212,0.7749287749287749,0.66,0.7272727272727272
True,False,0.0001,0,True,14,0.01,train,13,0.5416485071182251,0.7217970049916805,0.8240881458966566,0.716870095902354,0.7695582756785525
True,False,0.0001,0,True,14,0.01,valid,13,0.6194530129432678,0.6835443037974683,0.7692307692307693,0.6566666666666666,0.7238605898123325
True,False,0.0001,0,True,14,0.01,train,14,0.5802245736122131,0.7174129353233831,0.8218085106382979,0.7120749782040104,0.7660704799008324
True,False,0.0001,0,True,14,0.01,valid,14,0.6545631289482117,0.6843434343434344,0.7720797720797721,0.6583333333333333,0.7255689424364122
True,False,0.0001,0,True,14,0.01,train,15,0.5809465050697327,0.7261744966442953,0.8221884498480243,0.7201394943330427,0.7712045616535994
True,False,0.0001,0,True,14,0.01,valid,15,0.6507444381713867,0.6806930693069307,0.7834757834757835,0.6583333333333333,0.728476821192053
True,False,0.0001,0,True,14,0.01,train,16,0.5527862310409546,0.718564845292956,0.8294072948328267,0.7157802964254577,0.7700176366843033
True,False,0.0001,0,True,14,0.01,valid,16,0.667373538017273,0.6838235294117647,0.7948717948717948,0.665,0.7351778656126481
True,False,0.0001,0,True,14,0.01,train,17,0.6394003629684448,0.7184115523465704,0.8316869300911854,0.7164341761115954,0.7709103715442861
True,False,0.0001,0,True,14,0.01,valid,17,0.6216431856155396,0.678391959798995,0.7692307692307693,0.6516666666666666,0.7209612817089454
True,False,0.0001,0,True,14,0.01,train,18,0.558712899684906,0.7123602892833663,0.8233282674772037,0.7079337401918047,0.763835037010927
True,False,0.0001,0,True,14,0.01,valid,18,0.6291106343269348,0.6893939393939394,0.7777777777777778,0.665,0.7309236947791166
