mask_use,aux,aux_batch,freeze_mode,lr,exp,cell,cell_size,prob,train_mode,epoch,acc,f1,loss,prec,recall
False,False,4,False,0.0001,0,False,[56],0.1,train,0,0.6562772449869224,0.6844106463878327,0.6652776598930359,0.7230443974630021,0.6496960486322189
False,False,4,False,0.0001,0,False,[56],0.1,valid,0,0.6716666666666666,0.6973886328725039,0.5720585584640503,0.7566666666666667,0.6467236467236467
False,False,4,False,0.0001,0,False,[56],0.1,train,1,0.6606364428945074,0.6847539987851792,0.6550960540771484,0.7329865626354573,0.6424772036474165
False,False,4,False,0.0001,0,False,[56],0.1,valid,1,0.6716666666666666,0.6973886328725039,0.6168932318687439,0.7566666666666667,0.6467236467236467
False,False,4,False,0.0001,0,False,[56],0.1,train,2,0.6610723626852659,0.6845201866504361,0.600357711315155,0.7344362211580322,0.6409574468085106
False,False,4,False,0.0001,0,False,[56],0.1,valid,2,0.6716666666666666,0.6973886328725039,0.6132680177688599,0.7566666666666667,0.6467236467236467
False,False,4,False,0.0001,0,False,[56],0.1,train,3,0.6608544027898866,0.6841250507511165,0.5923783183097839,0.7345248474280732,0.6401975683890577
False,False,4,False,0.0001,0,False,[56],0.1,valid,3,0.6716666666666666,0.6973886328725039,0.627164363861084,0.7566666666666667,0.6467236467236467
False,False,4,False,0.0001,0,False,[56],0.1,train,4,0.6608544027898866,0.6842532467532468,0.6057539582252502,0.7343205574912892,0.6405775075987842
False,False,4,False,0.0001,0,False,[56],0.1,valid,4,0.6716666666666666,0.6973886328725039,0.6216839551925659,0.7566666666666667,0.6467236467236467
False,False,4,False,0.0001,0,False,[56],0.1,train,5,0.6617262423714037,0.6857027136492507,0.6333151459693909,0.7341717259323504,0.6432370820668692
False,False,4,False,0.0001,0,False,[56],0.1,valid,5,0.6716666666666666,0.6973886328725039,0.6299513578414917,0.7566666666666667,0.6467236467236467
False,False,4,False,0.0001,0,False,[56],0.1,train,6,0.6580209241499564,0.6839879154078549,0.6483646631240845,0.727818259751393,0.6451367781155015
False,False,4,False,0.0001,0,False,[56],0.1,valid,6,0.6716666666666666,0.6973886328725039,0.5757070779800415,0.7566666666666667,0.6467236467236467
False,False,4,False,0.0001,0,False,[56],0.1,train,7,0.6580209241499564,0.6846231155778896,0.6069954037666321,0.7268459240290226,0.6470364741641338
False,False,4,False,0.0001,0,False,[56],0.1,valid,7,0.6716666666666666,0.6973886328725039,0.607886016368866,0.7566666666666667,0.6467236467236467
False,False,4,False,0.0001,0,False,[56],0.1,train,8,0.6610723626852659,0.6845201866504361,0.6399633884429932,0.7344362211580322,0.6409574468085106
False,False,4,False,0.0001,0,False,[56],0.1,valid,8,0.6733333333333333,0.6993865030674847,0.5909217000007629,0.7574750830564784,0.6495726495726496
False,False,4,False,0.0001,0,False,[56],0.1,train,9,0.6604184829991282,0.6843598055105349,0.6176063418388367,0.7330729166666666,0.6417173252279635
False,False,4,False,0.0001,0,False,[56],0.1,valid,9,0.6683333333333333,0.6952526799387442,0.6104452013969421,0.7516556291390728,0.6467236467236467
False,False,4,False,0.0001,0,False,[56],0.1,train,10,0.6582388840453357,0.6834880904319741,0.6370148062705994,0.7291128337639966,0.6432370820668692
False,False,4,False,0.0001,0,False,[56],0.1,valid,10,0.6716666666666666,0.6973886328725039,0.5824792385101318,0.7566666666666667,0.6467236467236467
False,False,4,False,0.0001,0,False,[56],0.1,train,11,0.6623801220575414,0.6882672569933588,0.6359484195709229,0.7317073170731707,0.6496960486322189
False,False,4,False,0.0001,0,False,[56],0.1,valid,11,0.6733333333333333,0.7003058103975535,0.5619136691093445,0.7557755775577558,0.6524216524216524
False,False,4,False,0.0001,0,False,[56],0.1,train,12,0.661944202266783,0.6894894894894894,0.6385454535484314,0.7287346593313584,0.6542553191489362
False,False,4,False,0.0001,0,False,[56],0.1,valid,12,0.67,0.696319018404908,0.598332941532135,0.7541528239202658,0.6467236467236467
False,False,4,False,0.0001,0,False,[56],0.1,train,13,0.6612903225806451,0.6895725129844187,0.628715991973877,0.7270429654591407,0.6557750759878419
False,False,4,False,0.0001,0,False,[56],0.1,valid,13,0.6716666666666666,0.6983154670750383,0.641568124294281,0.7549668874172185,0.6495726495726496
False,False,4,False,0.0001,0,False,[56],0.1,train,14,0.6643417611159547,0.6939586645468999,0.6036357283592224,0.7275,0.6633738601823708
False,False,4,False,0.0001,0,False,[56],0.1,valid,14,0.6666666666666666,0.6951219512195123,0.6268603801727295,0.7475409836065574,0.6495726495726496
False,False,4,False,0.0001,0,False,[56],0.1,train,15,0.6604184829991282,0.6842318605593839,0.6377144455909729,0.733275412684622,0.6413373860182371
False,False,4,False,0.0001,0,False,[56],0.1,valid,15,0.6683333333333333,0.6980273141122914,0.5926334857940674,0.7467532467532467,0.6552706552706553
False,False,4,False,0.0001,0,False,[56],0.1,train,16,0.6608544027898866,0.6866693515908175,0.589121401309967,0.7305055698371894,0.6477963525835866
False,False,4,False,0.0001,0,False,[56],0.1,valid,16,0.665,0.6959152798789713,0.5928073525428772,0.7419354838709677,0.6552706552706553
False,False,4,False,0.0001,0,False,[56],0.1,train,17,0.6615082824760244,0.6900818199960087,0.6183301210403442,0.726775956284153,0.6569148936170213
False,False,4,False,0.0001,0,False,[56],0.1,valid,17,0.6683333333333333,0.6998491704374057,0.606238067150116,0.7435897435897436,0.6609686609686609
False,False,4,False,0.0001,0,False,[56],0.1,train,18,0.6628160418482999,0.6938452404512172,0.6176249384880066,0.7240809582817018,0.666033434650456
False,False,4,False,0.0001,0,False,[56],0.1,valid,18,0.6616666666666666,0.6983655274888559,0.6317713260650635,0.7298136645962733,0.6695156695156695
False,False,4,False,0.0001,0,False,[56],0.1,train,19,0.6634699215344376,0.6915701158609668,0.6751343607902527,0.7291491154170177,0.6576747720364742
False,False,4,False,0.0001,0,False,[56],0.1,valid,19,0.6616666666666666,0.693815987933635,0.6260756850242615,0.7371794871794872,0.6552706552706553
False,False,4,False,0.0001,0,False,[56],0.1,train,20,0.6654315605928509,0.6965803518481914,0.6061946749687195,0.7259991759373713,0.6694528875379939
False,False,4,False,0.0001,0,False,[56],0.1,valid,20,0.6716666666666666,0.6973886328725039,0.6135688424110413,0.7566666666666667,0.6467236467236467
False,False,4,False,0.0001,0,False,[56],0.1,train,21,0.6639058413251961,0.6929510155316607,0.6506654024124146,0.7280334728033473,0.6610942249240122
False,False,4,False,0.0001,0,False,[56],0.1,valid,21,0.67,0.698170731707317,0.6128073930740356,0.7508196721311475,0.6524216524216524
False,False,4,False,0.0001,0,False,[56],0.1,train,22,0.6615082824760244,0.6904524616304565,0.6269727349281311,0.7262054507337526,0.6580547112462006
False,False,4,False,0.0001,0,False,[56],0.1,valid,22,0.6716666666666666,0.6992366412213741,0.6121901273727417,0.7532894736842105,0.6524216524216524
False,False,4,False,0.0001,0,False,[56],0.1,train,23,0.6658674803836094,0.6979310344827587,0.6389476656913757,0.7249283667621776,0.6728723404255319
False,False,4,False,0.0001,0,False,[56],0.1,valid,23,0.6766666666666666,0.7069486404833837,0.5784108638763428,0.752411575562701,0.6666666666666666
False,False,4,False,0.0001,0,False,[56],0.1,train,24,0.6641238012205755,0.6977838791919984,0.6196993589401245,0.72111876773409,0.6759118541033434
False,False,4,False,0.0001,0,False,[56],0.1,valid,24,0.6683333333333333,0.7120115774240232,0.5682266354560852,0.7235294117647059,0.7008547008547008
False,False,4,False,0.0001,0,False,[56],0.1,train,25,0.6691368788142982,0.7033997655334114,0.6208366751670837,0.7240547063555913,0.6838905775075987
False,False,4,False,0.0001,0,False,[56],0.1,valid,25,0.6633333333333333,0.7055393586005831,0.6100664734840393,0.7223880597014926,0.6894586894586895
False,False,4,False,0.0001,0,False,[56],0.1,train,26,0.6669572798605057,0.6975455265241488,0.6358057260513306,0.728099173553719,0.6694528875379939
False,False,4,False,0.0001,0,False,[56],0.1,valid,26,0.655,0.7272727272727272,0.6110511422157288,0.6764705882352942,0.7863247863247863
False,False,4,False,0.0001,0,False,[56],0.1,train,27,0.6673931996512642,0.7063125481139338,0.662355363368988,0.7156786271450858,0.6971884498480243
False,False,4,False,0.0001,0,False,[56],0.1,valid,27,0.66,0.6946107784431137,0.5682987570762634,0.7318611987381703,0.6609686609686609
False,False,4,False,0.0001,0,False,[56],0.1,train,28,0.6639058413251961,0.6972909305064782,0.6622132658958435,0.7213647441104792,0.6747720364741642
False,False,4,False,0.0001,0,False,[56],0.1,valid,28,0.6716666666666666,0.6983154670750383,0.6219308972358704,0.7549668874172185,0.6495726495726496
