acc,acc_labels,bce_loss,cell,cell_size,epoch,exp,f1,f1_labels,loss,lr,model,pair,pair_loss,prec,prec_labels,prob,recall,recall_labels,train_mode
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",3.8600511252880096,0.0,[56],73.0,0.0,0.0,"[0.0, 0.0]",3.8600511252880096,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9977777777777778,"[0.9972222222222222, 0.9983333333333333]",0.09561339345657163,0.0,[56],74.0,0.0,0.9955288821470183,"[0.9942594718714116, 0.9967982924226249]",0.2236381326077713,0.0001,vgg16,1.0,0.1280247394202484,1.0,"[1.0, 1.0]",[0.1],0.9911007480812203,"[0.9885844748858448, 0.9936170212765958]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",2.1822298765182495,0.0,[56],74.0,0.0,0.0,"[0.0, 0.0]",2.1822298765182495,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9944444444444445,"[0.9938888888888889, 0.995]",0.09885158093853129,0.0,[56],75.0,0.0,0.9888081061448,"[0.987283236994219, 0.9903329752953808]",0.2273162123022808,0.0001,vgg16,1.0,0.12846463091878427,1.0,"[1.0, 1.0]",[0.1],0.9778684542893228,"[0.9748858447488584, 0.9808510638297873]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",2.268591284751892,0.0,[56],75.0,0.0,0.0,"[0.0, 0.0]",2.268591284751892,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9997222222222222,"[0.9994444444444445, 1.0]",0.0919159270512561,0.0,[56],76.0,0.0,0.9994285714285709,"[0.9988571428571423, 0.9999999999999996]",0.21739282134092516,0.0001,vgg16,1.0,0.12547689387574792,1.0,"[1.0, 1.0]",[0.1],0.9988584474885844,"[0.997716894977169, 1.0]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",2.3389602601528168,0.0,[56],76.0,0.0,0.0,"[0.0, 0.0]",2.3389602601528168,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9994444444444445,"[0.9994444444444445, 0.9994444444444445]",0.09131687332669067,0.0,[56],77.0,0.0,0.9988960900654187,"[0.9988571428571423, 0.9989350372736949]",0.21691006330980195,0.0001,vgg16,1.0,0.12559319016420178,1.0,"[1.0, 1.0]",[0.1],0.9977946177013505,"[0.997716894977169, 0.997872340425532]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",2.3888323605060577,0.0,[56],77.0,0.0,0.0,"[0.0, 0.0]",2.3888323605060577,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9994444444444445,"[0.9988888888888889, 1.0]",0.09071068895419658,0.0,[56],78.0,0.0,0.9988558352402741,"[0.9977116704805487, 0.9999999999999996]",0.21623641518991563,0.0001,vgg16,1.0,0.12552572560967448,1.0,"[1.0, 1.0]",[0.1],0.9977168949771689,"[0.9954337899543378, 1.0]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",2.4502150118350983,0.0,[56],78.0,0.0,0.0,"[0.0, 0.0]",2.4502150118350983,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9997222222222222,"[0.9994444444444445, 1.0]",0.09131742849787972,0.0,[56],79.0,0.0,0.9994285714285709,"[0.9988571428571423, 0.9999999999999996]",0.2167351652250646,0.0001,vgg16,1.0,0.12541773662369657,1.0,"[1.0, 1.0]",[0.1],0.9988584474885844,"[0.997716894977169, 1.0]",train
