freeze_mode,lr,exp,train_mode,epoch,loss,prec,recall
False,0.01,0,train,0,0.056495905,0.5804272013949433,0.5974280732345248
False,0.01,0,valid,0,1.0451648,0.55,0.5083333333333333
False,0.01,0,train,1,0.14751175,0.7022667829119442,0.6933304272013949
False,0.01,0,valid,1,0.8757331,0.415,0.4033333333333333
False,0.01,0,train,2,0.016721953,0.7033565823888405,0.6972537053182214
False,0.01,0,valid,2,1.2649616,0.49333333333333335,0.485
False,0.01,0,train,3,0.023029521,0.7059721011333915,0.6989973844812555
False,0.01,0,valid,3,1.633168,0.5466666666666666,0.5166666666666667
False,0.01,0,train,4,0.034005146,0.7046643417611159,0.7009590235396687
False,0.01,0,valid,4,1.4242964,0.495,0.5333333333333333
False,0.01,0,train,5,0.045361023,0.7051002615518744,0.7013949433304272
False,0.01,0,valid,5,1.0852127,0.45166666666666666,0.49666666666666665
False,0.01,0,train,6,0.01948508,0.7051002615518744,0.7042284219703574
False,0.01,0,valid,6,1.7800359,0.5533333333333333,0.505
False,0.01,0,train,7,0.0097115915,0.7059721011333915,0.702920662598082
False,0.01,0,valid,7,1.6154295,0.495,0.4716666666666667
False,0.01,0,train,8,0.0068733157,0.705536181342633,0.7042284219703574
False,0.01,0,valid,8,1.270902,0.4766666666666667,0.43833333333333335
False,0.01,0,train,9,0.0013270556,0.7053182214472538,0.7042284219703574
False,0.01,0,valid,9,1.7142539,0.5333333333333333,0.49833333333333335
False,0.01,0,train,10,0.005703563,0.7066259808195292,0.7048823016564952
False,0.01,0,valid,10,1.7263021,0.515,0.52
False,0.01,0,train,11,0.013357652,0.7066259808195292,0.7046643417611159
False,0.01,0,valid,11,1.6338409,0.4716666666666667,0.5266666666666666
False,0.01,0,train,12,0.03142205,0.7057541412380122,0.7035745422842197
False,0.01,0,valid,12,1.7316855,0.5316666666666666,0.5183333333333333
False,0.01,0,train,13,0.014474345,0.7051002615518744,0.7027027027027027
False,0.01,0,valid,13,2.2958486,0.5,0.5166666666666667
False,0.01,0,train,14,0.007499516,0.7048823016564952,0.7033565823888405
False,0.01,0,valid,14,1.9893609,0.49833333333333335,0.48
False,0.01,1,train,0,0.100532375,0.5878378378378378,0.5758500435919791
False,0.01,1,valid,0,1.173671,0.5616666666666666,0.5216666666666666
False,0.01,1,train,1,0.07269407,0.6981255448997384,0.6848299912816042
False,0.01,1,valid,1,1.0707034,0.5066666666666667,0.48
False,0.01,1,train,2,0.07202085,0.7016129032258065,0.6920226678291195
False,0.01,1,valid,2,1.3480879,0.5233333333333333,0.5566666666666666
False,0.01,1,train,3,0.03807912,0.7024847428073234,0.6920226678291195
False,0.01,1,valid,3,1.0659984,0.5416666666666666,0.5183333333333333
False,0.01,1,train,4,0.009695667,0.7044463818657367,0.6965998256320837
False,0.01,1,valid,4,1.1574161,0.5516666666666666,0.5233333333333333
False,0.01,1,train,5,0.022854805,0.7031386224934612,0.6974716652136007
False,0.01,1,valid,5,1.9442929,0.555,0.5316666666666666
False,0.01,1,train,6,0.026461588,0.7040104620749782,0.7018308631211857
False,0.01,1,valid,6,1.0968575,0.495,0.5133333333333333
False,0.01,1,train,7,0.027859444,0.7048823016564952,0.7022667829119442
False,0.01,1,valid,7,1.8452711,0.535,0.55
False,0.01,1,train,8,0.008893222,0.7040104620749782,0.701176983435048
False,0.01,1,valid,8,1.2058136,0.5,0.5133333333333333
False,0.01,1,train,9,0.0027391722,0.705536181342633,0.702920662598082
False,0.01,1,valid,9,2.063315,0.555,0.5333333333333333
False,0.01,1,train,10,0.011202728,0.7035745422842197,0.7031386224934612
False,0.01,1,valid,10,1.406604,0.5433333333333333,0.5016666666666667
False,0.01,1,train,11,0.0076178396,0.7053182214472538,0.7033565823888405
False,0.01,1,valid,11,1.8955357,0.49833333333333335,0.5316666666666666
False,0.01,1,train,12,0.017458944,0.7048823016564952,0.703792502179599
False,0.01,1,valid,12,1.5727586,0.5233333333333333,0.5266666666666666
False,0.01,1,train,13,0.032163374,0.7051002615518744,0.703792502179599
False,0.01,1,valid,13,1.2763268,0.5283333333333333,0.49166666666666664
False,0.01,1,train,14,0.01010965,0.7044463818657367,0.701176983435048
False,0.01,1,valid,14,1.8173639,0.54,0.55
False,0.01,2,train,0,0.039274067,0.5845684394071491,0.5819529206625981
False,0.01,2,valid,0,0.9023964,0.31,0.2816666666666667
False,0.01,2,train,1,0.053415067,0.7020488230165649,0.6944202266782912
False,0.01,2,valid,1,1.5143527,0.5533333333333333,0.505
False,0.01,2,train,2,0.023466613,0.7044463818657367,0.6996512641673932
False,0.01,2,valid,2,1.2930139,0.4683333333333333,0.4483333333333333
False,0.01,2,train,3,0.032117832,0.7044463818657367,0.6983435047951178
False,0.01,2,valid,3,1.6851467,0.5183333333333333,0.5683333333333334
False,0.01,2,train,4,0.008636346,0.7040104620749782,0.7024847428073234
False,0.01,2,valid,4,1.5874873,0.5666666666666667,0.5183333333333333
False,0.01,2,train,5,0.013801275,0.7046643417611159,0.7013949433304272
False,0.01,2,valid,5,1.4081129,0.525,0.5133333333333333
False,0.01,2,train,6,0.014506347,0.7048823016564952,0.7018308631211857
False,0.01,2,valid,6,1.302579,0.49833333333333335,0.5066666666666667
False,0.01,2,train,7,0.008951536,0.705536181342633,0.7048823016564952
False,0.01,2,valid,7,1.514929,0.52,0.47333333333333333
False,0.01,2,train,8,0.0026257518,0.70640802092415,0.705536181342633
False,0.01,2,valid,8,1.6821669,0.56,0.5333333333333333
False,0.01,2,train,9,0.005771616,0.70640802092415,0.7051002615518744
False,0.01,2,valid,9,1.6754591,0.545,0.545
False,0.01,2,train,10,0.0015056693,0.70640802092415,0.705536181342633
False,0.01,2,valid,10,1.513515,0.5433333333333333,0.5266666666666666
False,0.01,2,train,11,0.0057394044,0.7061900610287707,0.7053182214472538
False,0.01,2,valid,11,1.4666709,0.51,0.525
False,0.01,2,train,12,0.010131717,0.7066259808195292,0.7051002615518744
False,0.01,2,valid,12,1.5337977,0.5433333333333333,0.53
False,0.01,2,train,13,0.0014033668,0.7061900610287707,0.705536181342633
False,0.01,2,valid,13,1.4116654,0.5366666666666666,0.5183333333333333
False,0.01,2,train,14,0.004707435,0.70640802092415,0.7057541412380122
False,0.01,2,valid,14,1.6741332,0.535,0.525
False,0.001,0,train,0,0.21151789,0.6009154315605929,0.5481691368788143
False,0.001,0,valid,0,0.69091964,0.53,0.4666666666666667
False,0.001,0,train,1,0.08984502,0.6946381865736705,0.6678291194420227
False,0.001,0,valid,1,0.8119334,0.5766666666666667,0.5233333333333333
False,0.001,0,train,2,0.12776911,0.7005231037489102,0.6859197907585004
False,0.001,0,valid,2,0.86657655,0.53,0.49
False,0.001,0,train,3,0.08390863,0.7024847428073234,0.6911508282476024
False,0.001,0,valid,3,0.890827,0.56,0.5033333333333333
False,0.001,0,train,4,0.051079325,0.7033565823888405,0.6902789886660854
False,0.001,0,valid,4,0.8407101,0.5366666666666666,0.5016666666666667
False,0.001,0,train,5,0.109111294,0.7027027027027027,0.6946381865736705
False,0.001,0,valid,5,0.897049,0.535,0.5116666666666667
False,0.001,0,train,6,0.026154287,0.703792502179599,0.6989973844812555
False,0.001,0,valid,6,0.87472105,0.5466666666666666,0.525
False,0.001,0,train,7,0.09998105,0.7044463818657367,0.6974716652136007
False,0.001,0,valid,7,0.8760446,0.5533333333333333,0.515
False,0.001,0,train,8,0.039527398,0.7048823016564952,0.6979075850043592
False,0.001,0,valid,8,0.9432016,0.5566666666666666,0.5183333333333333
False,0.001,0,train,9,0.019298552,0.7046643417611159,0.7003051438535309
False,0.001,0,valid,9,1.0088592,0.515,0.49333333333333335
False,0.001,0,train,10,0.07256046,0.7051002615518744,0.7000871839581517
False,0.001,0,valid,10,1.0567602,0.5516666666666666,0.5333333333333333
False,0.001,0,train,11,0.050270364,0.7048823016564952,0.7005231037489102
False,0.001,0,valid,11,0.9119309,0.555,0.5383333333333333
False,0.001,0,train,12,0.029348219,0.7057541412380122,0.7033565823888405
False,0.001,0,valid,12,0.9443782,0.5616666666666666,0.5216666666666666
False,0.001,0,train,13,0.031692605,0.7059721011333915,0.7027027027027027
False,0.001,0,valid,13,1.089208,0.56,0.5133333333333333
False,0.001,0,train,14,0.015413932,0.7059721011333915,0.7031386224934612
False,0.001,0,valid,14,1.0065658,0.5433333333333333,0.5283333333333333
False,0.001,1,train,0,0.1983267,0.6076721883173496,0.5547079337401918
False,0.001,1,valid,0,0.71606994,0.5233333333333333,0.47
False,0.001,1,train,1,0.11603031,0.6952920662598082,0.6700087183958152
False,0.001,1,valid,1,0.6776566,0.5366666666666666,0.48833333333333334
False,0.001,1,train,2,0.088101305,0.7018308631211857,0.6878814298169137
False,0.001,1,valid,2,0.78761154,0.5433333333333333,0.5133333333333333
False,0.001,1,train,3,0.08422613,0.703792502179599,0.6891891891891891
False,0.001,1,valid,3,0.98230624,0.55,0.49833333333333335
False,0.001,1,train,4,0.037061993,0.7042284219703574,0.6926765475152572
False,0.001,1,valid,4,0.7863392,0.52,0.5083333333333333
False,0.001,1,train,5,0.050920527,0.7053182214472538,0.6979075850043592
False,0.001,1,valid,5,0.9703957,0.5566666666666666,0.5066666666666667
False,0.001,1,train,6,0.05425086,0.7051002615518744,0.6948561464690497
False,0.001,1,valid,6,0.914843,0.5583333333333333,0.5183333333333333
False,0.001,1,train,7,0.042960014,0.7057541412380122,0.6989973844812555
False,0.001,1,valid,7,1.1202505,0.5516666666666666,0.5316666666666666
False,0.001,1,train,8,0.03648742,0.7053182214472538,0.6998692240627724
False,0.001,1,valid,8,0.917116,0.5083333333333333,0.5066666666666667
False,0.001,1,train,9,0.011814311,0.705536181342633,0.7020488230165649
False,0.001,1,valid,9,0.80797553,0.5333333333333333,0.495
False,0.001,1,train,10,0.011023835,0.70640802092415,0.7035745422842197
False,0.001,1,valid,10,0.97084993,0.525,0.51
False,0.001,1,train,11,0.02484672,0.7059721011333915,0.703792502179599
False,0.001,1,valid,11,1.11994,0.5316666666666666,0.5083333333333333
False,0.001,1,train,12,0.017465888,0.7066259808195292,0.7033565823888405
False,0.001,1,valid,12,1.0303056,0.5433333333333333,0.5066666666666667
False,0.001,1,train,13,0.013289714,0.7061900610287707,0.7044463818657367
False,0.001,1,valid,13,0.99620014,0.53,0.49666666666666665
False,0.001,1,train,14,0.01492105,0.7059721011333915,0.7048823016564952
False,0.001,1,valid,14,1.1524453,0.5616666666666666,0.525
False,0.001,2,train,0,0.30802327,0.5841325196163906,0.5355274629468177
False,0.001,2,valid,0,0.66535294,0.5133333333333333,0.4533333333333333
False,0.001,2,train,1,0.10429395,0.6920226678291195,0.6684829991281604
False,0.001,2,valid,1,0.7589022,0.515,0.47333333333333333
False,0.001,2,train,2,0.08147569,0.703792502179599,0.6870095902353966
False,0.001,2,valid,2,0.86027944,0.5566666666666666,0.5066666666666667
False,0.001,2,train,3,0.048677657,0.7048823016564952,0.6931124673060157
False,0.001,2,valid,3,0.90264094,0.5516666666666666,0.49833333333333335
False,0.001,2,train,4,0.07965331,0.7053182214472538,0.6957279860505667
False,0.001,2,valid,4,1.0570188,0.5783333333333334,0.5216666666666666
False,0.001,2,train,5,0.07270685,0.703792502179599,0.6944202266782912
False,0.001,2,valid,5,0.99878496,0.5383333333333333,0.5016666666666667
False,0.001,2,train,6,0.02872606,0.7057541412380122,0.6974716652136007
False,0.001,2,valid,6,1.0477295,0.5683333333333334,0.5216666666666666
False,0.001,2,train,7,0.03347966,0.7046643417611159,0.6987794245858762
False,0.001,2,valid,7,0.8304582,0.5666666666666667,0.51
False,0.001,2,train,8,0.036151048,0.7051002615518744,0.7007410636442895
False,0.001,2,valid,8,0.9189143,0.5666666666666667,0.525
False,0.001,2,train,9,0.048685044,0.7061900610287707,0.7013949433304272
False,0.001,2,valid,9,1.0370954,0.5416666666666666,0.51
