mask_use,freeze_mode,lr,exp,train_mode,epoch,loss,prec,recall,acc,f1
False,False,0.0001,0,train,0,0.6546146869659424,0.7272727272727273,0.5957446808510638,0.6399302528334786,0.6549707602339181
False,False,0.0001,0,valid,0,0.5932084918022156,0.7566666666666667,0.6467236467236467,0.6716666666666666,0.6973886328725039
False,False,0.0001,0,train,1,0.646685779094696,0.7334782608695652,0.6409574468085106,0.6604184829991282,0.6841038118410382
False,False,0.0001,0,valid,1,0.6093869209289551,0.7516556291390728,0.6467236467236467,0.6683333333333333,0.6952526799387442
False,False,0.0001,0,train,2,0.6289244890213013,0.7299454010919781,0.6603343465045592,0.6649956408020924,0.6933971673648514
False,False,0.0001,0,valid,2,0.6463147401809692,0.6944444444444444,0.7834757834757835,0.6716666666666666,0.7362784471218207
False,False,0.0001,0,train,3,0.6563844084739685,0.7235367372353674,0.6622340425531915,0.6610723626852659,0.6915294584407855
False,False,0.0001,0,valid,3,0.5813836455345154,0.6558441558441559,0.8632478632478633,0.655,0.7453874538745388
False,False,0.0001,0,train,4,0.6060804724693298,0.7140562248995984,0.675531914893617,0.6586748038360941,0.6942600546661459
False,False,0.0001,0,valid,4,0.6068168878555298,0.7566666666666667,0.6467236467236467,0.6716666666666666,0.6973886328725039
False,False,0.0001,0,train,5,0.5700525045394897,0.7178137651821862,0.6736322188449848,0.6608544027898866,0.6950215601724814
False,False,0.0001,0,valid,5,0.5920676589012146,0.7566666666666667,0.6467236467236467,0.6716666666666666,0.6973886328725039
False,False,0.0001,0,train,6,0.7052869200706482,0.7252931323283082,0.6580547112462006,0.6608544027898866,0.6900398406374502
False,False,0.0001,0,valid,6,0.6549609899520874,0.7549668874172185,0.6495726495726496,0.6716666666666666,0.6983154670750383
False,False,0.0001,0,train,7,0.6194023489952087,0.7236787349146899,0.6607142857142857,0.6606364428945074,0.6907646474677258
False,False,0.0001,0,valid,7,0.6080487966537476,0.7291666666666666,0.698005698005698,0.6716666666666666,0.7132459970887919
False,False,0.0001,0,train,8,0.6571415066719055,0.7270042194092827,0.6546352583586627,0.6608544027898866,0.6889244302279088
False,False,0.0001,0,valid,8,0.6260312795639038,0.744408945686901,0.6638176638176638,0.67,0.7018072289156626
False,False,0.0001,0,train,9,0.6500882506370544,0.734341252699784,0.6458966565349544,0.6628160418482999,0.6872852233676976
False,False,0.0001,0,valid,9,0.6204244494438171,0.7420382165605095,0.6638176638176638,0.6683333333333333,0.7007518796992481
False,False,0.0001,0,train,10,0.6009880304336548,0.7279596977329975,0.6588145896656535,0.6630340017436792,0.6916633426406064
False,False,0.0001,0,valid,10,0.5739656686782837,0.7541528239202658,0.6467236467236467,0.67,0.696319018404908
False,False,0.0001,0,train,11,0.6112849116325378,0.7298679164891351,0.6508358662613982,0.6615082824760244,0.6880899779072103
False,False,0.0001,0,valid,11,0.6289463639259338,0.7475409836065574,0.6495726495726496,0.6666666666666666,0.6951219512195123
False,False,0.0001,0,train,12,0.6626939177513123,0.7337354588539423,0.6470364741641338,0.6628160418482999,0.6876640419947506
False,False,0.0001,0,valid,12,0.5754966139793396,0.7430340557275542,0.6837606837606838,0.6766666666666666,0.712166172106825
False,False,0.0001,0,train,13,0.6370140910148621,0.7178257394084733,0.682370820668693,0.6639058413251961,0.6996493961823141
False,False,0.0001,0,valid,13,0.5697792172431946,0.7566666666666667,0.6467236467236467,0.6716666666666666,0.6973886328725039
False,False,0.0001,0,train,14,0.6451821327209473,0.7112871287128713,0.682370820668693,0.6588927637314734,0.696528989722707
False,False,0.0001,0,valid,14,0.6355169415473938,0.7541528239202658,0.6467236467236467,0.67,0.696319018404908
False,False,0.0001,0,train,15,0.6811461448669434,0.7103393843725335,0.6838905775075987,0.6586748038360941,0.6968641114982579
False,False,0.0001,0,valid,15,0.6692384481430054,0.7050938337801609,0.7492877492877493,0.67,0.7265193370165747
False,False,0.0001,0,train,16,0.684860348701477,0.7153753512645524,0.6770516717325228,0.6602005231037489,0.6956861214132345
False,False,0.0001,0,valid,16,0.5995467305183411,0.7452229299363057,0.6666666666666666,0.6716666666666666,0.7037593984962406
False,False,0.0001,0,train,17,0.608047604560852,0.7331052181351583,0.6512158054711246,0.6639058413251961,0.689738430583501
False,False,0.0001,0,valid,17,0.6195813417434692,0.7435064935064936,0.6524216524216524,0.665,0.6949924127465857
False,False,0.0001,0,train,18,0.585817813873291,0.7295464179737177,0.6538753799392097,0.6623801220575414,0.6896413544379884
False,False,0.0001,0,valid,18,0.6168031096458435,0.7283582089552239,0.6951566951566952,0.67,0.7113702623906706
False,False,0.0001,0,train,19,0.665032148361206,0.7277616880430285,0.6683130699088146,0.666303400174368,0.6967716379481086
False,False,0.0001,0,valid,19,0.639478325843811,0.7295774647887324,0.7378917378917379,0.6866666666666666,0.7337110481586403
False,False,0.0001,0,train,20,0.6243120431900024,0.71015625,0.6907294832826748,0.6608544027898866,0.7003081664098614
False,False,0.0001,0,valid,20,0.600346028804779,0.7469879518072289,0.7065527065527065,0.6883333333333334,0.726207906295754
False,False,0.0001,0,train,21,0.6418865323066711,0.7246796196775527,0.666033434650456,0.6632519616390584,0.6941199762423282
False,False,0.0001,0,valid,21,0.6031979918479919,0.7443365695792881,0.6552706552706553,0.6666666666666666,0.696969696969697
False,False,0.0001,0,train,22,0.6241831183433533,0.7237322515212982,0.6778115501519757,0.6667393199651264,0.7000196193839514
False,False,0.0001,0,valid,22,0.5967552661895752,0.7540983606557377,0.6552706552706553,0.6733333333333333,0.7012195121951219
False,False,0.0001,0,train,23,0.6528992056846619,0.7233864207879296,0.6557750759878419,0.6586748038360941,0.6879234754882423
False,False,0.0001,0,valid,23,0.6307722926139832,0.7317784256559767,0.7150997150997151,0.68,0.723342939481268
False,False,0.0001,0,train,24,0.6403008699417114,0.716607213634562,0.6869300911854104,0.6645597210113339,0.701454898157129
False,False,0.0001,0,valid,24,0.5827515721321106,0.7159763313609467,0.6894586894586895,0.6583333333333333,0.702467343976778
False,False,0.0001,0,train,25,0.5789962410926819,0.707869481765835,0.7006079027355623,0.6623801220575414,0.7042199732671376
False,False,0.0001,0,valid,25,0.619343638420105,0.7333333333333333,0.6581196581196581,0.66,0.6936936936936937
False,False,0.0001,0,train,26,0.6532721519470215,0.7306553911205074,0.6565349544072948,0.6641238012205755,0.6916149689813887
False,False,0.0001,0,valid,26,0.6436867117881775,0.7323076923076923,0.6780626780626781,0.6666666666666666,0.7041420118343196
False,False,0.0001,0,train,27,0.6124499440193176,0.7276119402985075,0.6667933130699089,0.6656495204882301,0.6958762886597939
False,False,0.0001,0,valid,27,0.6687908172607422,0.7204610951008645,0.7122507122507122,0.67,0.7163323782234956
False,False,0.0001,0,train,28,0.6126480102539062,0.7154728927582114,0.6869300911854104,0.6636878814298169,0.7009110292692383
False,False,0.0001,0,valid,28,0.5951257944107056,0.7420382165605095,0.6638176638176638,0.6683333333333333,0.7007518796992481
False,False,0.0001,0,train,29,0.653416097164154,0.7216205375050141,0.6835106382978723,0.6671752397558849,0.7020487804878048
False,False,0.0001,0,valid,29,0.5754007697105408,0.6994818652849741,0.7692307692307693,0.6716666666666666,0.7327001356852103
False,False,0.0001,1,train,0,0.6760382652282715,0.6807585934413275,0.6546352583586627,0.6257628596338274,0.6674414100329266
False,False,0.0001,1,valid,0,0.6652243733406067,0.7215568862275449,0.6866096866096866,0.6616666666666666,0.7036496350364964
False,False,0.0001,1,train,1,0.599036693572998,0.7324429125376992,0.6458966565349544,0.6615082824760244,0.6864526549565919
False,False,0.0001,1,valid,1,0.6662827134132385,0.7566666666666667,0.6467236467236467,0.6716666666666666,0.6973886328725039
False,False,0.0001,1,train,2,0.5988152027130127,0.7327288428324698,0.6447568389057751,0.6612903225806451,0.6859337105901374
False,False,0.0001,1,valid,2,0.6251106858253479,0.7566666666666667,0.6467236467236467,0.6716666666666666,0.6973886328725039
False,False,0.0001,1,train,3,0.6099495887756348,0.7346938775510204,0.6428571428571429,0.661944202266783,0.6857142857142857
False,False,0.0001,1,valid,3,0.6488001942634583,0.7549668874172185,0.6495726495726496,0.6716666666666666,0.6983154670750383
False,False,0.0001,1,train,4,0.6227769255638123,0.7330453563714903,0.6447568389057751,0.6615082824760244,0.6860723670911663
False,False,0.0001,1,valid,4,0.5770426988601685,0.749185667752443,0.6552706552706553,0.67,0.6990881458966566
False,False,0.0001,1,train,5,0.6216290593147278,0.734056399132321,0.6428571428571429,0.6615082824760244,0.6854364998987238
False,False,0.0001,1,valid,5,0.6965776085853577,0.7516556291390728,0.6467236467236467,0.6683333333333333,0.6952526799387442
False,False,0.0001,1,train,6,0.6461254954338074,0.7315812149935372,0.6451367781155015,0.6606364428945074,0.6856450635978195
False,False,0.0001,1,valid,6,0.6049143671989441,0.7371794871794872,0.6552706552706553,0.6616666666666666,0.693815987933635
False,False,0.0001,1,train,7,0.6093165278434753,0.7315407597097738,0.6512158054711246,0.6628160418482999,0.6890452261306532
False,False,0.0001,1,valid,7,0.6069245934486389,0.7566666666666667,0.6467236467236467,0.6716666666666666,0.6973886328725039
False,False,0.0001,1,train,8,0.649760901927948,0.7326180257510729,0.6485562310030395,0.6625980819529207,0.6880290205562274
False,False,0.0001,1,valid,8,0.609930694103241,0.7483660130718954,0.6524216524216524,0.6683333333333333,0.6971080669710806
False,False,0.0001,1,train,9,0.6162524223327637,0.7325881341358556,0.6474164133738601,0.6621621621621622,0.6873739411052844
False,False,0.0001,1,valid,9,0.6835485100746155,0.7541528239202658,0.6467236467236467,0.67,0.696319018404908
False,False,0.0001,1,train,10,0.6572601795196533,0.7292020373514432,0.6527355623100304,0.6617262423714037,0.6888532477947074
False,False,0.0001,1,valid,10,0.5990179777145386,0.7483660130718954,0.6524216524216524,0.6683333333333333,0.6971080669710806
False,False,0.0001,1,train,11,0.6151705384254456,0.7286854262914741,0.65919452887538,0.6636878814298169,0.6922002792738879
