mask_use,freeze_mode,lr,exp,cell,cell_size,prob,train_mode,epoch,loss,prec,recall,acc,f1
True,False,0.0001,0,True,14,0.01,train,0,0.6008961796760559,0.7367467149977345,0.6177811550151976,0.6540976460331299,0.6720396776193429
True,False,0.0001,0,True,14,0.01,valid,0,0.5977557897567749,0.7241379310344828,0.717948717948718,0.675,0.7210300429184548
True,False,0.0001,0,True,14,0.01,train,1,0.59624844789505,0.7265020272760782,0.7488601823708206,0.694202266782912,0.737511693171188
True,False,0.0001,0,True,14,0.01,valid,1,0.6871631741523743,0.6768867924528302,0.8176638176638177,0.665,0.7406451612903225
True,False,0.0001,0,True,14,0.01,train,2,0.5809766054153442,0.7164879356568364,0.8123100303951368,0.7079337401918047,0.7613960113960114
True,False,0.0001,0,True,14,0.01,valid,2,0.6220539808273315,0.6719817767653758,0.8404558404558404,0.6666666666666666,0.7468354430379747
True,False,0.0001,0,True,14,0.01,train,3,0.5700119733810425,0.7160611854684512,0.8537234042553191,0.7218831734960767,0.7788561525129982
True,False,0.0001,0,True,14,0.01,valid,3,0.6220987439155579,0.6613995485327314,0.8347578347578347,0.6533333333333333,0.7380352644836272
True,False,0.0001,0,True,14,0.01,train,4,0.5127888917922974,0.7277258566978193,0.8875379939209727,0.7449869224062773,0.7997261211913729
True,False,0.0001,0,True,14,0.01,valid,4,0.6641314029693604,0.6765375854214123,0.8461538461538461,0.6733333333333333,0.7518987341772151
True,False,0.0001,0,True,14,0.01,train,5,0.5202388763427734,0.7294010337488598,0.9114741641337386,0.755231037489102,0.8103360918763722
True,False,0.0001,0,True,14,0.01,valid,5,0.6092237830162048,0.6880733944954128,0.8547008547008547,0.6883333333333334,0.7623888182973316
True,False,0.0001,0,True,14,0.01,train,6,0.5215356349945068,0.7337153196622437,0.9243920972644377,0.7641673931996512,0.8180901143241426
True,False,0.0001,0,True,14,0.01,valid,6,0.657430112361908,0.6809954751131222,0.8575498575498576,0.6816666666666666,0.7591424968474149
True,False,0.0001,0,True,14,0.01,train,7,0.5404762029647827,0.7367792052584404,0.9369300911854104,0.771795989537925,0.8248871048670345
True,False,0.0001,0,True,14,0.01,valid,7,0.7363700866699219,0.6904761904761905,0.8262108262108262,0.6816666666666666,0.7522697795071335
True,False,0.0001,0,True,14,0.01,train,8,0.4905260503292084,0.7391304347826086,0.962386018237082,0.7835658238884046,0.8361115695659349
True,False,0.0001,0,True,14,0.01,valid,8,0.7704092860221863,0.6864608076009501,0.8233618233618234,0.6766666666666666,0.7487046632124352
True,False,0.0001,0,True,14,0.01,train,9,0.4648160934448242,0.7500747384155456,0.9532674772036475,0.7909764603312991,0.8395516145223356
True,False,0.0001,0,True,14,0.01,valid,9,0.80181884765625,0.6830985915492958,0.8290598290598291,0.675,0.7490347490347491
True,False,0.0001,0,True,14,0.01,train,10,0.49278801679611206,0.7452582433615407,0.9703647416413373,0.7927201394943331,0.8430434065027231
True,False,0.0001,0,True,14,0.01,valid,10,0.7125762701034546,0.6990291262135923,0.8205128205128205,0.6883333333333334,0.7549148099606816
True,False,0.0001,0,True,14,0.01,train,11,0.4692533314228058,0.7505917159763313,0.9639057750759878,0.7955536181342633,0.8439787092481703
True,False,0.0001,0,True,14,0.01,valid,11,0.5643120408058167,0.6957605985037406,0.7948717948717948,0.6766666666666666,0.7420212765957446
True,False,0.0001,0,True,14,0.01,train,12,0.48378419876098633,0.7541371158392435,0.9696048632218845,0.8012205754141238,0.848404255319149
True,False,0.0001,0,True,14,0.01,valid,12,0.7063673138618469,0.6977329974811083,0.7891737891737892,0.6766666666666666,0.7406417112299465
True,False,0.0001,0,True,14,0.01,train,13,0.4486202299594879,0.7591824644549763,0.9737841945288754,0.8077593722755013,0.8531957390146472
True,False,0.0001,0,True,14,0.01,valid,13,0.8171409964561462,0.699228791773779,0.7749287749287749,0.6733333333333333,0.7351351351351352
True,False,0.0001,0,True,14,0.01,train,14,0.4900243580341339,0.76027194797517,0.9772036474164134,0.810156931124673,0.8551953449709061
True,False,0.0001,0,True,14,0.01,valid,14,0.7007588148117065,0.7069408740359897,0.7834757834757835,0.6833333333333333,0.7432432432432433
True,False,0.0001,0,True,14,0.01,train,15,0.46631547808647156,0.7592592592592593,0.9813829787234043,0.8108108108108109,0.8561484918793504
True,False,0.0001,0,True,14,0.01,valid,15,0.7431374192237854,0.6911392405063291,0.7777777777777778,0.6666666666666666,0.7319034852546917
True,False,0.0001,0,True,14,0.01,train,16,0.4438454806804657,0.7642011834319526,0.9813829787234043,0.8156059285091544,0.8592814371257486
True,False,0.0001,0,True,14,0.01,valid,16,0.8564504981040955,0.7058823529411765,0.7521367521367521,0.6716666666666666,0.7282758620689654
True,False,0.0001,0,True,14,0.01,train,17,0.4456280767917633,0.7682672233820459,0.9787234042553191,0.8184394071490846,0.8608187134502924
True,False,0.0001,0,True,14,0.01,valid,17,0.9295145869255066,0.6984536082474226,0.7720797720797721,0.6716666666666666,0.733423545331529
True,False,0.0001,0,True,14,0.01,train,18,0.4468047618865967,0.768725753506416,0.9787234042553191,0.8188753269398431,0.8611064683269263
True,False,0.0001,0,True,14,0.01,valid,18,1.0142513513565063,0.7026315789473684,0.7606837606837606,0.6716666666666666,0.7305061559507523
True,False,0.0001,0,True,14,0.01,train,19,0.42468908429145813,0.7670706473544191,0.9859422492401215,0.8201830863121186,0.8628428927680798
True,False,0.0001,0,True,14,0.01,valid,19,0.8358330130577087,0.7046070460704607,0.7407407407407407,0.6666666666666666,0.7222222222222222
True,False,0.0001,0,True,14,0.01,train,20,0.40136808156967163,0.7748502994011977,0.9832826747720365,0.8265039232781168,0.8667113194909578
