acc,acc_labels,bce_loss,cell,cell_size,epoch,exp,f1,f1_labels,loss,lr,model,pair,pair_loss,prec,prec_labels,prob,recall,recall_labels,train_mode
0.9292222222222222,"[0.9127777777777778, 0.8955555555555555, 0.9594444444444444, 0.9088888888888889, 0.9694444444444444]",0.19829694479703902,0.0,[56],1.0,0.0,0.7329864378527093,"[0.8083028083028077, 0.7824074074074069, 0.6970954356846467, 0.9216809933142305, 0.45544554455445496]",0.252168216307958,0.001,resnet50,1.0,0.05387127159370316,0.8746865652808973,"[0.868766404199475, 0.8578680203045685, 0.8571428571428571, 0.9378036929057337, 0.8518518518518519]",[0.1],0.6558366766671331,"[0.7557077625570776, 0.7191489361702128, 0.5874125874125874, 0.9061032863849765, 0.3108108108108108]",train
0.708816120906801,"[0.792191435768262, 0.26700251889168763, 0.9408060453400504, 0.5768261964735516, 0.9672544080604534]",1.8735415935516357,0.0,[56],1.0,0.0,0.23062011318669434,"[0.0, 0.42147117296222625, 0.0, 0.7316293929712454, 0.0]",1.8735415935516357,0.001,resnet50,1.0,0.0,0.16876574307304787,"[0.0, 0.26700251889168763, 0.0, 0.5768261964735516, 0.0]",[0.1],0.4,"[0.0, 1.0, 0.0, 1.0, 0.0]",valid
0.9728888888888889,"[0.9661111111111111, 0.9722222222222222, 0.9838888888888889, 0.9527777777777777, 0.9894444444444445]",0.08504771917230552,0.0,[56],2.0,0.0,0.9163722740602441,"[0.9271206690561523, 0.9446902654867251, 0.8871595330739295, 0.9595815501664284, 0.8633093525179851]",0.1221611491507954,0.001,resnet50,1.0,0.03711342985431353,0.97028812510917,"[0.9724310776942355, 0.9838709677419355, 1.0, 0.9720616570327553, 0.9230769230769231]",[0.1],0.8699573671091029,"[0.8858447488584474, 0.9085106382978724, 0.7972027972027972, 0.9474178403755869, 0.8108108108108109]",train
0.5612090680100755,"[0.20780856423173805, 0.26700251889168763, 0.9408060453400504, 0.42317380352644834, 0.9672544080604534]",2.838931918144226,0.0,[56],2.0,0.0,0.15311592385209066,"[0.344108446298227, 0.42147117296222625, 0.0, 0.0, 0.0]",2.838931918144226,0.001,resnet50,1.0,0.0,0.09496221662468514,"[0.20780856423173805, 0.26700251889168763, 0.0, 0.0, 0.0]",[0.1],0.4,"[1.0, 1.0, 0.0, 0.0, 0.0]",valid
0.9763333333333334,"[0.9605555555555556, 0.9772222222222222, 0.9877777777777778, 0.9611111111111111, 0.995]",0.07424473613500596,0.0,[56],3.0,0.0,0.9380972923681232,"[0.9149700598802389, 0.9553862894450483, 0.917293233082706, 0.9666666666666661, 0.9361702127659569]",0.1073005340165562,0.001,resnet50,1.0,0.03305579825407929,0.9795131567660726,"[0.9622166246851386, 0.977728285077951, 0.991869918699187, 0.9806763285024155, 0.9850746268656716]",[0.1],0.9008558120288368,"[0.8721461187214612, 0.9340425531914893, 0.8531468531468531, 0.9530516431924883, 0.8918918918918919]",train
0.7712846347607053,"[0.792191435768262, 0.7329974811083123, 0.9408060453400504, 0.42317380352644834, 0.9672544080604534]",0.6530007421970367,0.0,[56],3.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.6530007421970367,0.001,resnet50,1.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",[0.1],0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",valid
0.9850000000000001,"[0.9761111111111112, 0.9922222222222222, 0.9872222222222222, 0.975, 0.9944444444444445]",0.051757276182373364,0.0,[56],4.0,0.0,0.9512166756451332,"[0.9493521790341573, 0.9849785407725317, 0.9144981412639399, 0.9786830885836091, 0.9285714285714279]",0.08138737976551055,0.001,resnet50,1.0,0.029630103872881994,0.9845304872143299,"[0.9805352798053528, 0.9935064935064936, 0.9761904761904762, 0.9875717017208413, 0.9848484848484849]",[0.1],0.9210316718086389,"[0.9200913242009132, 0.9765957446808511, 0.8601398601398601, 0.9699530516431925, 0.8783783783783784]",train
0.5612090680100755,"[0.20780856423173805, 0.26700251889168763, 0.9408060453400504, 0.42317380352644834, 0.9672544080604534]",1.6244917511940002,0.0,[56],4.0,0.0,0.15311592385209066,"[0.344108446298227, 0.42147117296222625, 0.0, 0.0, 0.0]",1.6244917511940002,0.001,resnet50,1.0,0.0,0.09496221662468514,"[0.20780856423173805, 0.26700251889168763, 0.0, 0.0, 0.0]",[0.1],0.4,"[1.0, 1.0, 0.0, 0.0, 0.0]",valid
0.9867777777777779,"[0.9733333333333334, 0.9894444444444445, 0.9916666666666667, 0.9844444444444445, 0.995]",0.046345165827208094,0.0,[56],5.0,0.0,0.9582939113552591,"[0.9435294117647054, 0.9795479009687831, 0.9454545454545448, 0.9867674858223057, 0.9361702127659569]",0.07401566257079442,0.001,resnet50,1.0,0.027670496329665183,0.985569832427325,"[0.9733009708737864, 0.9912854030501089, 0.9848484848484849, 0.9933396764985728, 0.9850746268656716]",[0.1],0.9329749423323752,"[0.9155251141552512, 0.9680851063829787, 0.9090909090909091, 0.9802816901408451, 0.8918918918918919]",train
0.7712846347607053,"[0.792191435768262, 0.7329974811083123, 0.9408060453400504, 0.42317380352644834, 0.9672544080604534]",0.6639513671398163,0.0,[56],5.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.6639513671398163,0.001,resnet50,1.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",[0.1],0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",valid
